exemplar,breathes through gills,breaths under water,can have different colors,can swim,comes in different sizes,contains omega 3,does not smell well,doesn't live on land,endangered species,has a tail,has bones,has eyes,has fins,has gills,has scales,is a constellation,is a shark,is a sweet- or salt-water fish,is an animal,is healthy,is slippery,is smooth,is sometimes eaten by man,is sometimes kept as a pet,is tasty,lays eggs,lives in the sea,lives in water,sometimes smells,swims in aquariums,swims in schools,there are many kinds of it
anchovy,4,4,0,4,2,4,3,4,0,4,4,4,4,4,4,0,0,4,4,2,3,4,4,0,4,4,4,4,4,0,3,0
carp,4,3,1,4,3,4,3,4,0,4,4,4,4,4,4,0,0,4,4,1,3,4,2,0,1,4,2,4,4,0,2,1
cod,4,3,1,4,2,4,4,4,1,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,3,4,4,4,4,0,2,0
dolphin,0,1,1,4,4,0,3,4,3,4,2,4,4,0,0,0,0,1,4,0,1,3,1,0,0,0,4,4,3,0,2,3
eel,4,3,1,4,3,3,3,4,0,4,3,4,4,4,2,0,0,4,4,3,4,4,4,0,2,4,3,4,4,0,2,1
flatfish,4,3,0,4,2,4,3,4,0,4,3,4,4,4,4,0,0,4,4,3,3,4,3,0,1,3,4,4,4,0,2,0
goldfish,4,3,3,4,4,3,3,4,0,4,4,4,4,4,4,0,0,4,4,1,3,4,0,4,0,4,1,4,4,4,2,2
herring,4,3,0,4,2,4,3,4,0,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,4,4,4,4,4,0,3,0
orca,1,1,1,4,2,1,3,4,3,4,3,4,4,3,0,0,2,2,4,0,1,3,0,0,0,0,4,4,3,0,1,0
pike,4,3,0,4,3,4,3,4,0,4,4,4,4,4,4,0,0,4,4,2,3,4,4,0,0,4,2,4,4,0,2,0
piranha,4,3,1,4,3,3,3,4,0,4,4,4,4,4,4,0,1,4,4,0,3,3,2,1,0,4,2,4,4,2,1,1
plaice,4,3,0,4,2,4,3,4,0,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,2,4,4,4,4,0,2,0
ray,4,3,0,4,3,4,3,4,0,4,4,4,4,4,3,0,0,4,4,1,3,4,4,0,2,4,4,4,4,0,2,2
salmon,4,3,2,4,3,4,3,4,1,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,4,4,2,4,4,0,3,0
sardine,4,3,0,4,2,4,3,4,0,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,4,4,4,4,4,0,3,0
shark,4,2,2,4,4,3,3,4,2,4,2,4,4,3,0,0,4,4,4,0,1,2,2,0,0,2,4,4,3,0,1,4
sole,4,3,0,4,3,4,3,4,0,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,3,4,4,4,4,0,2,0
sperm whale,2,2,0,4,3,2,3,4,3,4,3,4,4,2,0,0,0,3,4,0,2,3,1,0,0,1,4,4,4,0,1,0
squid,4,3,1,4,4,3,3,4,0,0,1,4,1,1,0,0,0,4,4,2,4,4,4,0,3,4,4,4,4,0,0,3
stickleback,4,3,2,4,3,3,3,4,0,4,4,4,4,4,4,0,0,4,4,1,3,4,3,0,1,4,3,4,4,1,2,1
swordfish,4,3,0,4,3,4,3,4,0,4,4,4,4,3,2,0,0,4,4,1,2,3,2,0,0,3,4,4,4,0,3,0
trout,4,3,1,4,3,4,4,4,0,4,4,4,4,4,4,0,0,4,4,3,3,4,4,0,4,4,1,4,4,0,3,2
whale,0,2,2,4,3,0,3,4,4,4,2,4,4,0,0,0,1,1,4,1,2,3,2,0,0,0,4,4,3,0,2,3
