exemplar,can be dangerous,can be poisonous,can bite,descend from the dinosaur,dies,eats insects,has a long tongue,has a tail,has four paws,has lungs,has no paws,has scales,has teeth,hibernates,is a turtle,is a vertebrate,is an animal,is an exotic animal,is cold-blooded,is creepy,is dangerous,is green,is nasty,is slippery,is sometimes kept as a pet,is terrifying,is ugly,kind of crocodile,kind of snake,lays eggs,lives in the zoo,lives in water,lives on land,lives on land and sea,there are many kinds of it
alligator,4,0,4,2,4,1,0,4,4,4,0,4,4,1,0,4,4,4,4,4,3,3,2,0,0,4,2,4,0,4,4,4,2,4,4
blindworm,0,0,1,0,4,3,2,1,0,4,4,3,1,3,0,3,4,0,4,1,0,0,3,3,0,1,3,0,2,3,2,0,4,0,2
boa,4,1,4,0,4,1,3,1,0,4,4,3,3,2,0,3,4,4,4,4,3,1,1,1,2,4,1,0,4,4,4,0,4,0,3
caiman,4,0,4,2,4,1,0,4,4,4,0,4,3,1,0,4,4,4,4,4,4,3,2,0,0,4,2,4,0,4,4,3,2,3,2
chameleon,0,0,1,2,4,4,3,4,4,4,0,4,2,2,0,4,4,4,4,2,1,2,1,0,0,1,1,0,0,4,4,0,4,0,3
cobra,4,4,4,0,4,1,3,1,0,4,4,3,4,2,0,3,4,4,4,4,4,2,2,1,0,4,2,0,4,4,4,0,4,0,3
crocodile,4,0,4,2,4,1,0,4,4,4,0,4,4,1,0,4,4,4,4,4,4,3,2,0,0,4,2,3,0,4,4,4,2,4,4
dinosaur,4,0,4,3,4,1,0,4,4,4,0,2,4,1,0,4,4,0,4,3,2,3,2,0,0,3,2,0,0,4,0,0,4,0,4
frog,1,2,1,0,4,4,2,0,4,4,0,0,0,3,0,4,4,0,3,1,1,4,1,4,1,1,1,0,0,3,3,4,3,4,4
gecko,1,0,2,2,4,3,1,4,4,4,0,4,3,1,0,4,4,4,4,2,1,3,1,0,0,1,1,0,0,4,4,0,4,0,3
iguana,2,0,2,2,4,2,2,4,4,4,0,4,3,2,0,4,4,4,4,3,1,3,2,0,1,3,1,0,0,4,4,0,4,0,4
lizard,0,0,2,2,4,4,1,4,4,4,0,4,3,3,0,4,4,0,4,2,1,3,1,0,1,1,1,0,0,4,3,0,4,0,4
monitor lizard,4,0,4,3,4,2,1,4,4,4,0,4,3,2,0,4,4,3,4,3,2,3,2,0,0,4,2,0,0,4,3,0,4,0,4
python,4,2,4,0,4,1,3,1,0,4,4,3,3,2,0,3,4,4,4,4,4,2,1,1,2,4,1,0,4,4,4,0,4,0,2
salamander,0,0,1,1,4,3,1,4,4,4,0,2,2,2,0,4,4,0,3,2,1,2,1,2,1,1,1,0,0,3,3,2,2,0,4
snake,4,4,4,0,4,1,3,1,0,4,4,3,4,2,0,3,4,4,4,4,4,2,1,1,3,4,2,0,3,4,4,0,4,1,4
toad,0,2,1,0,4,4,2,0,4,4,0,0,0,3,0,4,4,0,3,1,0,2,2,4,1,1,2,0,0,3,2,3,4,3,4
tortoise,0,0,3,2,4,2,0,1,4,4,0,0,2,2,4,3,4,2,4,1,0,3,1,0,3,0,1,0,0,4,3,0,4,2,4
turtle,0,0,2,0,4,2,0,1,4,4,0,0,2,2,4,3,4,3,4,1,0,4,1,0,3,0,1,0,0,4,3,4,1,2,4
viper,4,4,4,0,4,1,3,1,0,4,4,3,4,3,0,3,4,2,4,3,3,2,2,2,0,3,2,0,4,4,4,0,4,0,4
