exemplar,burns fat,can be a profession,can be practised in competition,can be practised in group,can become addictive,can cause injuries,develop muscles,exists in different kinds,has a lot of media attention,has some rules of play,is a hobby,is a physical activity,is age-old,is an olympic discipline,is expensive,is fun,is good for the condition,is healthy,is popular,is practised alone,is practised in a club,is practised indoor,is practised outdoor,is relaxing,is tiring,needs a good condition,needs a lot of training,needs adapted clothing,needs specific skills,requires concentration / mental effort,requires motivation,supporters encourage the players,sweat
badminton,3,1,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0,3,0,0,4,4,0,0
ballet,3,0,1,0,2,4,1,3,0,0,0,0,0,0,4,0,0,0,1,4,0,2,0,0,0,0,3,0,0,4,4,0,0
baseball,3,2,0,3,2,4,4,0,2,0,0,4,4,1,4,0,0,0,4,2,0,3,0,4,0,0,2,1,1,4,4,0,0
basketball,3,2,0,3,2,4,4,0,0,0,0,4,0,1,4,4,0,0,4,3,0,3,0,4,0,0,3,3,1,4,4,0,0
billiards,0,0,0,4,1,2,1,3,0,0,0,4,0,0,1,0,0,0,4,4,0,0,0,0,0,0,3,0,1,4,4,0,0
boxing,3,0,0,4,2,4,4,4,0,0,0,0,0,0,4,0,4,0,2,4,0,3,0,0,4,0,3,0,1,4,4,0,0
chess,0,0,0,4,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,4,2,0,0,0,0,0,3,0,1,4,4,4,0
cycling,3,3,0,0,2,4,2,3,0,0,0,0,0,4,2,0,0,0,1,4,1,3,0,0,0,0,3,0,0,3,4,0,3
fencing,3,0,0,4,2,4,0,1,0,0,0,0,0,0,2,0,3,0,3,3,0,2,0,0,0,0,3,0,1,4,4,0,0
golfing,1,3,0,2,2,3,3,3,3,0,0,4,0,1,1,0,0,0,3,4,1,0,1,0,0,0,3,0,0,4,4,0,0
gymnastics,3,0,0,0,2,4,3,3,0,0,0,0,0,0,1,0,0,0,2,4,0,3,0,0,0,0,3,0,0,4,4,0,0
handball,3,1,0,3,2,4,1,0,1,0,0,4,0,0,0,0,0,0,2,2,0,3,0,4,0,0,3,4,1,4,4,0,0
horseback riding,0,2,0,0,1,4,2,3,0,0,0,0,0,1,3,0,0,0,2,4,0,3,0,0,0,0,3,1,0,4,4,0,0
ice hockey,3,0,0,3,2,4,3,0,0,0,0,0,0,1,2,0,0,0,3,4,0,4,0,0,0,0,2,0,1,4,4,0,0
judo,3,0,0,4,2,4,0,2,0,0,0,0,0,0,1,0,4,0,4,4,0,3,0,0,0,0,3,0,2,4,4,0,0
long jump,3,2,0,0,2,4,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,4,4,0,0
rugby,3,1,0,3,2,4,3,0,0,0,0,0,0,1,2,0,0,3,3,4,0,4,0,2,0,0,3,2,1,4,4,0,0
running,3,1,2,0,3,4,2,4,0,0,0,0,0,3,2,0,0,0,0,4,0,4,0,0,0,0,3,0,0,4,4,0,1
sailing,3,4,0,0,2,3,1,2,0,0,0,0,0,3,2,0,0,0,1,3,0,3,0,0,0,0,2,0,1,4,4,0,0
shot-put,3,1,0,1,2,3,1,0,0,0,0,1,0,2,0,0,0,0,2,4,0,0,0,1,0,0,3,0,0,4,4,0,0
skiing,3,2,0,0,2,4,0,2,0,0,4,0,0,3,3,0,0,0,2,4,0,4,0,0,0,0,0,0,0,4,4,0,0
soccer,3,1,0,3,2,4,0,3,0,0,0,4,0,1,3,0,0,0,3,4,0,3,0,1,0,1,4,4,3,4,4,0,0
sport fishing,0,2,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,3,0,0,2,4,0,0
squash,3,1,0,4,2,4,0,0,1,0,0,4,0,1,0,0,0,0,3,3,0,3,0,0,0,0,3,0,1,4,4,0,0
surfing,3,3,0,0,2,4,4,3,0,0,0,0,0,2,4,0,0,0,1,3,0,3,0,0,0,0,1,0,0,4,4,0,0
swimming,3,2,4,0,2,4,3,4,0,4,0,0,0,4,2,0,0,0,0,4,0,2,0,0,0,0,3,0,0,4,4,0,4
table tennis,3,0,0,4,2,4,0,0,4,0,0,4,0,0,0,0,0,0,4,3,0,3,4,0,0,0,3,0,1,4,4,0,0
tennis,3,2,1,4,2,4,3,2,1,0,0,4,0,1,2,0,0,0,4,4,0,3,0,0,0,4,3,0,1,4,4,0,0
volleyball,3,0,0,3,2,4,0,2,0,0,0,4,0,0,1,0,0,0,4,4,0,3,0,2,0,0,3,3,1,4,4,0,0
walking,3,3,0,0,1,3,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,4,0,1
