exemplar,can be automatized,can be dangerous,comes in different materials,comes in very handy,exists in different forms,exists in different kinds,exists in different sizes (groottes),has a grip,has gone through a technological revolution,is a collective noun,is a crane,is a good invention,is a hammer,is a handtool,is a tool,is a tractor,is an aid,is big,is electronic,is expensive,is indispensable,is meant for people who are handy,is multifunctional,is operated,is primarily used by men,is used by a professional,is used to make something with,is used to work with,made of metal,made of wood,makes work easier,produces noise,used by everybody,used in construction,used to work with,was used in early ages,you can injure someone with it
adjustable spanner,0,1,1,4,1,2,4,2,1,0,0,4,0,4,4,0,4,0,0,1,1,4,3,0,3,4,4,4,3,0,4,0,3,3,4,0,2
anvil,0,1,2,3,1,1,4,0,1,0,0,4,0,1,4,0,4,2,0,3,0,1,0,0,3,4,4,4,2,0,4,0,0,0,3,0,0
axe,0,4,2,4,2,4,4,4,1,0,0,4,0,4,4,0,4,1,0,1,0,2,1,0,3,4,3,4,3,0,4,0,3,1,4,3,4
chisel,0,2,2,4,1,2,4,3,1,0,0,4,0,4,4,0,4,0,0,0,0,4,2,0,3,4,4,4,4,0,4,0,3,3,4,1,3
clamp,0,1,0,4,2,3,4,1,1,0,0,4,0,4,4,0,4,0,0,0,0,2,0,0,3,4,4,4,4,1,4,0,1,3,3,0,0
crowbar (breekijzer),0,1,0,4,1,3,3,2,1,0,0,4,0,4,4,0,4,0,0,1,0,2,2,0,3,4,1,4,3,0,4,0,2,3,3,0,4
crowbar (koevoet),0,1,1,4,1,2,3,2,1,0,0,4,0,4,4,0,4,0,0,1,0,2,2,0,3,3,1,4,3,0,4,0,3,3,3,0,4
drill,2,3,2,4,4,4,4,4,3,0,0,4,0,4,4,0,4,2,4,4,1,4,1,0,3,4,3,4,4,0,4,4,3,4,4,0,3
file,0,2,1,4,2,3,4,3,1,0,0,4,0,4,4,0,4,0,0,0,0,3,1,0,3,4,4,4,3,0,4,0,3,2,4,0,2
filling knife,0,1,1,4,1,3,3,4,1,0,0,4,0,4,4,0,4,0,0,0,1,4,2,0,3,4,3,4,4,0,4,0,2,4,4,0,2
grinding disc,1,4,2,4,1,3,3,1,3,0,0,4,0,3,4,0,4,1,4,3,0,4,1,1,3,4,4,4,3,0,4,4,0,3,4,0,1
hammer,0,3,4,4,4,4,4,4,1,0,0,4,4,4,4,0,4,0,0,0,2,4,1,0,3,4,4,4,3,0,4,1,3,3,4,2,4
knife,1,4,3,4,3,4,4,4,1,1,0,4,0,3,3,0,3,0,0,0,2,2,3,0,2,3,2,4,4,0,4,0,3,2,3,2,4
lawn mower,2,3,0,4,4,4,4,4,3,0,0,4,0,1,3,0,4,4,3,4,1,1,0,1,3,3,1,4,4,0,4,4,3,0,4,0,2
level,0,0,3,4,1,2,4,0,1,0,0,4,0,4,4,0,4,0,0,1,0,4,0,0,3,4,2,4,3,0,4,0,3,4,3,0,0
nail,0,3,3,4,2,3,4,0,1,0,0,4,0,3,3,0,4,0,0,0,2,3,0,0,3,3,3,4,3,0,4,0,3,3,3,0,4
oil can,1,0,1,4,3,3,2,3,2,0,0,3,0,3,4,0,4,0,0,1,1,2,0,0,3,4,1,3,3,0,3,0,1,2,3,0,0
paint brush,1,0,3,4,4,4,4,3,1,0,0,4,0,3,4,0,4,0,0,1,2,3,0,0,3,4,1,4,0,0,4,0,3,3,4,0,0
pickaxe,0,4,1,4,1,2,3,4,1,0,0,4,0,4,4,0,4,1,0,1,0,1,0,0,3,4,1,4,3,0,4,0,2,2,4,0,4
plane,1,2,1,4,2,3,3,3,1,0,0,4,0,4,4,0,4,0,0,0,0,3,0,0,3,4,4,3,4,1,4,0,0,3,4,0,0
plough,1,3,1,4,3,3,4,0,2,0,0,3,0,0,4,1,4,4,1,4,0,1,0,1,3,4,0,4,4,0,4,0,0,0,4,0,1
rope,0,0,3,4,2,4,4,0,1,0,0,4,0,2,3,0,4,0,0,0,2,1,4,0,3,3,1,3,0,1,3,0,3,3,3,3,2
saw,4,4,2,4,4,4,4,4,2,0,0,4,0,4,4,0,3,1,0,0,2,3,0,0,3,4,4,4,3,0,4,1,3,4,4,0,3
screwdriver,2,0,3,4,4,3,4,4,1,0,0,4,0,4,4,0,4,0,0,0,2,4,2,0,3,4,4,4,3,0,4,0,3,4,4,0,3
shovel,0,1,2,4,4,3,4,4,1,0,0,4,0,4,4,0,4,1,0,1,2,2,1,0,3,3,0,4,4,0,4,0,3,3,4,1,4
tongs,0,0,2,4,4,3,4,4,1,0,0,4,0,4,4,0,4,0,0,0,2,4,2,0,3,3,3,4,3,0,4,0,3,3,4,0,2
vacuum cleaner,1,0,2,4,4,4,3,3,3,0,0,4,0,2,3,0,4,2,4,4,2,0,0,1,1,3,0,4,2,0,4,4,3,1,4,0,0
wheelbarrow,0,0,3,4,1,2,4,4,2,0,0,4,0,1,3,0,4,4,0,3,0,2,1,0,3,3,1,4,4,0,4,0,3,4,4,0,0
wire brush,1,0,1,4,2,2,3,2,1,0,0,4,0,2,4,0,3,0,0,0,0,2,0,0,3,4,1,4,3,0,4,0,1,1,4,0,1
wrench,0,1,1,4,1,3,4,3,1,0,0,4,0,4,4,0,4,0,0,0,1,4,1,0,3,4,4,4,3,0,4,0,3,4,4,0,2
