exemplar,can be shot with,contains bullets,destroys,exists in different forms,exists in different kinds,exists in different sizes (groottes),has a barrel,has a grip,has been existing for a long time,implement/tool,is black,is dangerous,is forbidden,is hard,is heavy,is often found in action movies,is only used by humans,is popular in the United States,is subject to rules,is used to protect you,is violent,made of metal,occurs often in films,used by criminals,used by police men,used by soldiers,used in sports,used to hunt,used to make war,you can injure someone with it,you can kill someone with it,you need a weapon license for it
axe,0,0,0,3,3,4,0,0,4,3,4,1,0,0,2,1,4,0,1,0,0,2,1,4,1,0,2,0,0,4,0,0
bazooka,4,2,0,2,2,3,0,1,0,0,4,2,3,0,0,2,4,0,4,0,3,1,1,4,0,1,2,4,4,4,0,4
bow,4,0,0,3,3,4,0,0,4,0,4,0,2,0,3,0,4,0,1,0,1,2,0,4,0,0,2,0,0,4,0,1
canon,4,2,0,3,3,4,0,3,3,0,4,4,2,0,2,1,4,0,4,0,3,1,2,4,0,1,1,0,4,4,0,3
club,0,0,0,2,3,4,0,0,4,0,4,2,3,0,2,0,4,0,1,0,0,1,0,4,2,0,2,1,0,4,0,0
dagger,0,0,3,4,4,4,0,0,4,0,4,0,0,0,2,1,4,0,2,0,1,1,2,4,2,0,2,0,0,4,0,1
double-barreled shotgun,4,4,1,2,3,3,0,2,1,0,4,0,4,0,0,3,4,0,4,1,2,1,3,4,0,0,2,0,3,4,0,4
grenade,0,0,0,3,3,4,0,1,1,0,4,0,0,0,0,2,4,0,4,0,2,1,2,4,0,4,1,0,4,4,0,3
knuckle dusters,0,0,1,3,3,3,0,0,2,0,4,0,0,0,0,1,4,0,2,0,1,1,0,3,1,0,3,0,0,4,0,1
machine gun,4,4,0,2,2,3,0,3,0,0,4,0,3,0,0,3,4,0,4,0,2,1,3,4,0,0,1,1,4,4,0,4
pistol,4,4,0,3,4,3,0,2,3,0,4,0,1,0,0,4,4,3,4,2,2,1,4,4,0,0,2,0,4,4,0,4
rifle,4,4,1,3,3,4,0,3,3,0,4,0,3,0,0,4,4,3,4,2,2,1,4,4,0,0,2,1,4,4,0,4
rope,0,0,0,2,4,3,4,0,4,4,4,0,3,0,2,0,3,0,0,3,0,2,0,2,2,0,2,0,0,4,1,0
shield,0,0,1,4,3,3,0,0,4,0,4,1,0,4,3,0,4,0,1,0,0,2,1,2,0,0,4,0,0,3,0,0
slingshot,4,0,0,2,2,4,0,0,4,0,4,0,0,0,1,0,4,0,1,1,0,4,0,4,0,0,2,0,0,4,0,0
spear,0,0,0,2,3,3,0,0,4,0,4,0,4,0,2,0,4,0,1,0,1,1,1,4,1,0,2,0,0,4,0,0
stick,0,0,0,3,3,4,1,0,4,1,4,1,2,0,2,0,3,0,0,0,0,3,1,4,2,0,2,0,0,4,2,0
sword,0,0,4,3,3,4,0,0,4,0,4,0,3,0,3,2,4,0,2,0,0,1,3,4,1,0,2,0,0,4,0,1
tank,3,2,0,3,4,4,0,2,1,0,4,1,1,0,1,2,4,0,4,0,3,1,1,3,0,1,2,0,4,4,0,3
whip,0,0,0,2,4,4,0,0,4,1,4,0,3,0,1,0,4,0,0,2,0,1,0,3,4,0,2,0,1,4,4,0
