feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bought in a store,-3,-2,-1,0,0,0,-3,1,2,0,1,1,-0.3333333333333333,1.6143297699232975
can be dangerous,1,1,-2,1,-1,0,0,-1,-3,-2,2,0,-0.3333333333333333,1.497472618255253
can be dishwashed,-3,0,1,0,0,1,2,0,-1,1,2,1,0.3333333333333333,1.3706888336846839
can be electronic,1,1,-3,1,0,2,0,1,0,2,1,1,0.5833333333333334,1.3113721705515065
can be used to cut things,-1,2,-1,0,0,1,2,-1,1,0,2,0,0.4166666666666667,1.164500152881315
can be used to eat with,2,2,1,1,0,1,3,1,1,1,2,2,1.4166666666666667,0.7929614610987591
can stand heat,1,2,-3,0,0,-1,1,0,-1,1,2,1,0.25,1.4222261679238197
comes in different materials,0,0,-3,1,1,0,0,0,-3,1,0,0,-0.25,1.3568010505999362
comes in very handy,3,0,1,1,2,0,-3,-1,-1,1,3,2,0.6666666666666666,1.775250729197189
especially used by women,-2,1,0,1,-1,0,0,-1,2,1,-3,1,-0.08333333333333333,1.4433756729740643
everybody has it,-2,1,1,0,2,0,-3,2,2,1,-2,1,0.25,1.712255291076124
exists in different forms,-2,-3,0,-3,0,0,-3,1,-1,1,2,1,-0.5833333333333334,1.781640374554423
exists in different kinds,-3,-3,0,-3,2,0,-3,1,1,1,2,1,-0.3333333333333333,2.059714602177749
feels cold to the skin,-1,1,-3,-1,0,-2,0,-2,-3,0,-3,0,-1.1666666666666667,1.403458930534474
has a grip,-3,-3,0,0,1,0,-2,0,-2,0,-2,-3,-1.1666666666666667,1.4668044012461754
has been existing for a long time,-3,-3,1,-3,0,0,-3,2,-1,1,-1,2,-0.6666666666666666,1.9694638556693238
has to be washed after use,-3,3,1,0,1,1,2,2,2,1,3,1,1.1666666666666667,1.5859229221975182
is a tool,2,-1,-1,2,1,3,2,2,-1,1,1,-2,0.75,1.6025547785276542
is bought in a specialist shop,1,-1,-3,0,1,1,0,-2,-3,-2,-2,-1,-0.9166666666666666,1.5050420310248864
is electronic,0,1,-3,0,0,0,1,-2,-2,0,-3,0,-0.6666666666666666,1.4354811251305468
is expensive,-3,-3,-1,0,-2,0,-3,-1,-1,0,-3,-3,-1.6666666666666667,1.3026778945578594
is firm,-3,-2,0,0,0,0,-3,0,1,1,2,1,-0.25,1.6025547785276542
is found in a cupboard,-1,2,-1,-1,-1,0,0,1,-3,1,-3,0,-0.5,1.5075567228888183
is functional,3,2,1,1,2,0,0,1,3,3,3,3,1.8333333333333333,1.1934162828797101
is grey,-3,-3,-1,0,-3,0,-3,-2,0,0,-3,-3,-1.75,1.4222261679238197
is indispensable,1,1,-3,-1,-2,0,0,0,-3,2,-3,1,-0.5833333333333334,1.7816403745544227
is multifunctional,-3,2,1,1,1,0,-2,-1,2,2,2,-1,0.3333333333333333,1.7232808737106584
is sharp,-3,1,1,0,0,0,-1,-2,0,0,-3,-2,-0.75,1.4222261679238197
is sometimes given to newly-weds as a present,1,2,-1,-1,0,2,1,0,0,1,-3,0,0.16666666666666666,1.4034589305344742
is used to prepare food,3,3,2,3,3,3,3,0,3,3,1,2,2.4166666666666665,0.996204919895622
is white,-3,-3,-2,0,-2,0,-3,-2,0,0,-3,-3,-1.75,1.3568010505999362
made of metal,-1,-2,1,0,2,0,-3,0,0,1,2,1,0.08333333333333333,1.5050420310248864
made of plastic,-1,-2,1,0,2,0,-3,0,0,1,2,1,0.08333333333333333,1.5050420310248864
made of wood,-2,-2,1,0,-1,0,-3,0,0,1,-1,-3,-0.8333333333333334,1.403458930534474
makes work in the kitchen easier,3,3,2,1,3,3,3,3,2,2,-1,3,2.25,1.2154310870109943
produces noise,-3,-3,-1,0,-3,0,-3,-2,3,1,-3,-3,-1.4166666666666667,2.0207259421636903
used for cooking,3,3,3,2,3,3,3,2,3,3,3,2,2.75,0.45226701686664544
used in the kitchen,-3,3,3,2,3,3,3,3,3,2,3,3,2.3333333333333335,1.723280873710658
used to store food,-3,2,0,1,-1,2,3,1,1,0,1,-3,0.3333333333333333,1.874873733122184
