feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
can be manufactured by yourself,-2,-1,-3,0,-2,0,0,0,2,-2,0,-1,-0.75,1.3568010505999362
can be played on,3,2,3,3,1,3,3,2,2,3,3,3,2.5833333333333335,0.6685579234215214
comes in different materials,-1,0,-2,0,1,1,0,-1,1,-1,0,0,-0.16666666666666666,0.9374368665610923
exists in different colors,0,-3,2,3,-2,-2,2,1,0,3,1,-2,0.25,2.0943647333651407
exists in different forms,-1,0,-2,0,1,-1,0,1,0,1,0,0,-0.08333333333333333,0.90033663737852
exists in different kinds,1,-3,3,3,0,2,2,2,0,3,2,2,1.4166666666666667,1.729862492345632
exists in different sizes (groottes),1,-3,1,3,0,-1,2,2,1,3,3,-2,0.8333333333333334,1.9924098397912438
featured in a brass band,2,1,3,-1,1,1,1,1,1,2,3,2,1.4166666666666667,1.0836246694508316
for sale in a music shop,3,1,3,2,1,2,2,3,2,3,3,2,2.25,0.7537783614444091
has been existing for a long time,3,-3,3,0,-2,-2,0,0,1,0,3,0,0.25,2.0056737702645644
has buttons (toetsen),2,-3,0,-1,2,1,0,1,2,-2,1,2,0.4166666666666667,1.6764862244009227
has snares,1,3,0,1,2,0,1,1,1,-3,1,1,0.75,1.4222261679238197
is a guitar,-1,0,-3,0,1,-1,-1,1,0,1,0,0,-0.25,1.1381803659589922
is a harp,-1,0,-3,0,1,-1,-1,1,0,1,-3,0,-0.5,1.381698559415515
is a recorder,-1,0,-3,0,1,-1,-1,1,0,1,0,0,-0.25,1.1381803659589922
is a sort of piano,1,2,0,-2,2,-2,1,1,1,-3,0,1,0.16666666666666666,1.6422453217986939
is a sort of violin,1,2,0,-1,3,-2,0,2,1,-3,0,1,0.3333333333333333,1.7232808737106584
is available for each price range,-1,-1,-3,-1,-1,-2,0,-2,-1,0,0,-2,-1.1666666666666667,0.9374368665610922
is expensive,2,-3,3,1,-3,-2,1,0,2,2,2,0,0.4166666666666667,2.0652243256245835
is fragile,2,1,-2,0,-3,-1,0,-2,-1,0,1,1,-0.3333333333333333,1.497472618255253
is hard to play,1,2,-2,1,0,1,1,1,-1,2,0,2,0.6666666666666666,1.2309149097933272
is made by hand,1,0,-3,0,0,0,1,-2,-2,-2,0,0,-0.5833333333333334,1.3113721705515067
is meant to make music with,3,3,3,3,3,3,3,3,3,3,2,3,2.9166666666666665,0.28867513459481287
is only used by humans,3,1,-2,1,1,1,1,1,2,2,1,1,1.0833333333333333,1.1645001528813153
is used in combination with other instruments,2,-1,3,1,1,2,3,2,2,3,2,1,1.75,1.1381803659589922
is used in orchestras,3,3,0,2,1,3,3,2,1,3,1,2,2.0,1.044465935734187
made of metal,-3,-3,1,1,-2,-2,0,2,0,0,1,1,-0.3333333333333333,1.7232808737106584
made of wood,0,-3,1,2,0,-1,0,2,2,-2,1,2,0.3333333333333333,1.669694219873444
makes a special noise,2,1,1,0,1,2,2,1,1,3,1,1,1.3333333333333333,0.7784989441615229
one has to learn how to play,2,2,3,2,2,2,3,3,2,3,3,3,2.5,0.5222329678670935
played by a musician,3,3,3,2,2,2,2,3,1,3,3,3,2.5,0.674199862463242
produces different sounds,1,1,3,2,1,3,3,1,1,0,3,1,1.6666666666666667,1.0730867399773196
produces sound,3,1,3,3,3,3,3,3,1,3,3,2,2.5833333333333335,0.7929614610987591
provides entertainment,2,0,-2,0,0,1,1,-1,2,1,1,1,0.5,1.1677484162422844
sometimes used to accompany voice,1,1,3,0,1,3,2,2,2,2,2,1,1.6666666666666667,0.8876253645985945
sounds beautiful,1,2,1,1,1,3,2,1,1,0,0,2,1.25,0.8660254037844386
was used in early ages,1,1,-3,-1,0,-2,0,0,-1,-2,1,1,-0.4166666666666667,1.378954368902449
you have to be able to read notes for it,1,2,3,3,2,1,1,3,3,-3,1,2,1.5833333333333333,1.6764862244009227
you have to blow on it,1,-1,0,0,1,-2,-2,1,0,-3,0,2,-0.25,1.4847711791873706
