feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
can be dangerous,2,1,-3,0,-2,2,1,0,-1,1,1,1,0.25,1.5447859516333116
can be poisonous,3,3,1,1,0,0,2,2,1,2,2,1,1.5,1.0
can bite,2,1,-3,-1,-2,0,1,0,1,-2,1,1,-0.08333333333333333,1.5642792899510294
descend from the dinosaur,1,2,3,-1,3,2,3,1,-1,1,3,0,1.4166666666666667,1.5050420310248867
dies,-2,0,-3,2,-3,1,1,-1,0,-2,0,-1,-0.6666666666666666,1.6143297699232972
eats insects,1,2,2,-1,2,1,0,1,2,3,1,0,1.1666666666666667,1.1146408580454257
has a long tongue,-1,1,1,0,0,2,0,2,1,2,-2,0,0.5,1.243163121016122
has a tail,1,2,3,2,0,2,1,1,2,3,0,0,1.4166666666666667,1.0836246694508316
has four paws,1,1,3,2,-2,0,3,1,2,1,0,0,1.0,1.4142135623730951
has lungs,-2,0,1,3,-2,1,1,-2,1,-1,1,-1,0.0,1.5954480704349312
has no paws,1,1,0,1,1,0,-2,1,1,1,-2,0,0.25,1.1381803659589922
has scales,1,1,1,2,2,2,0,1,1,2,2,1,1.3333333333333333,0.6513389472789296
has teeth,2,2,1,3,0,0,0,1,1,2,1,0,1.0833333333333333,0.996204919895622
hibernates,0,0,1,0,2,1,1,1,2,-1,1,1,0.75,0.8660254037844386
is a turtle,-3,0,-3,0,1,-1,-1,0,0,2,-3,0,-0.6666666666666666,1.6143297699232972
is a vertebrate,1,1,1,3,2,2,2,3,2,0,1,1,1.5833333333333333,0.90033663737852
is an animal,3,3,3,3,0,3,3,2,3,3,3,3,2.6666666666666665,0.8876253645985945
is an exotic animal,1,1,0,-1,0,1,1,0,2,2,3,0,0.8333333333333334,1.1146408580454255
is cold-blooded,2,2,3,3,3,3,3,2,3,3,3,0,2.5,0.9045340337332909
is creepy,1,1,-3,-2,-3,1,1,1,-2,-1,0,1,-0.4166666666666667,1.6764862244009227
is dangerous,2,2,1,0,0,3,2,1,1,2,2,0,1.3333333333333333,0.9847319278346619
is green,0,1,1,1,1,1,-1,1,1,1,0,0,0.5833333333333334,0.6685579234215215
is nasty,0,2,-3,0,-3,1,3,0,-3,-2,1,0,-0.3333333333333333,2.015094553763188
is slippery,1,1,-2,1,2,0,2,1,1,3,-2,3,0.9166666666666666,1.6213537179739277
is sometimes kept as a pet,-2,1,-3,-1,-2,0,1,-3,1,1,1,1,-0.4166666666666667,1.6764862244009227
is terrifying,0,2,1,2,0,1,0,1,-1,1,-2,1,0.5,1.1677484162422844
is ugly,-1,3,-1,0,-3,0,2,-1,1,-1,1,0,0.0,1.5954480704349312
kind of crocodile,1,0,1,-1,2,1,2,1,0,2,1,1,0.9166666666666666,0.90033663737852
kind of snake,1,2,0,-1,1,0,2,2,1,2,-3,0,0.5833333333333334,1.5050420310248864
lays eggs,2,2,3,3,1,3,3,2,2,3,3,0,2.25,0.9653072991634227
lives in the zoo,3,1,3,-1,0,0,2,0,1,-1,-2,0,0.5,1.5666989036012806
lives in water,1,1,0,1,0,1,0,2,2,-2,0,0,0.5,1.087114613009218
lives on land,2,1,1,2,-3,0,3,1,1,3,2,0,1.0833333333333333,1.6213537179739275
lives on land and sea,2,1,0,0,1,3,3,2,2,0,3,0,1.4166666666666667,1.2401124093721456
there are many kinds of it,3,2,3,3,-1,3,3,1,1,3,3,0,2.0,1.4142135623730951
