feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bought in a store,1,-1,-3,0,-1,-2,1,-2,0,-1,0,-2,-0.8333333333333334,1.2673044646258476
can be a status symbol,2,3,3,0,0,2,3,2,1,1,2,-2,1.4166666666666667,1.5050420310248864
can be used to get from one place to the other,3,3,-3,3,1,3,3,3,3,2,3,3,2.25,1.764549903980152
can cause accidents,1,2,-2,1,-1,-1,1,0,-1,0,1,0,0.08333333333333333,1.1645001528813153
can move,3,2,0,2,-1,1,3,-1,2,2,1,2,1.3333333333333333,1.3706888336846836
comes in very handy,2,1,3,2,-2,1,0,1,1,0,2,3,1.1666666666666667,1.403458930534474
different types are available,1,0,-1,0,1,-1,0,2,-1,1,0,1,0.25,0.9653072991634227
exists in different brands,3,3,3,3,-3,-3,-3,3,1,-1,2,-3,0.4166666666666667,2.7784342658585555
exists in different colors,3,3,3,3,-2,3,0,2,1,-2,0,2,1.3333333333333333,1.9227505550564006
exists in different forms,3,3,3,3,0,3,1,1,2,-1,2,-3,1.4166666666666667,1.928651593652148
exists in different kinds,3,3,3,3,0,3,0,3,1,-1,3,2,1.9166666666666667,1.5050420310248864
exists in different sizes (groottes),0,0,-3,0,1,-1,0,-2,-2,2,0,-1,-0.5,1.381698559415515
has a motor,3,3,2,2,3,1,1,3,2,0,1,3,2.0,1.044465935734187
has a steering wheel,3,3,3,3,1,1,1,3,2,-2,3,3,2.0,1.5374122295716148
has been existing for a long time,0,3,3,-2,-2,-3,1,3,1,0,-3,-3,-0.16666666666666666,2.4058010698889443
has gone through a technological revolution,0,1,-3,1,1,2,1,0,2,2,1,2,0.8333333333333334,1.403458930534474
has room for several people,2,2,-3,1,1,0,2,0,2,1,0,1,0.75,1.4222261679238197
has wheels,3,1,3,3,3,-1,2,3,2,0,2,3,2.0,1.348399724926484
is a car (auto),3,-2,3,1,2,3,2,3,0,3,-2,3,1.5833333333333333,1.9286515936521476
is a faster form of transport than going by foot,3,3,2,3,1,3,3,2,2,2,2,2,2.3333333333333335,0.6513389472789297
is driven by meachanical means,3,2,-3,2,1,1,2,0,-2,0,2,1,0.75,1.764549903980152
is environmentally friendly,-2,-2,-2,1,-1,1,3,-3,-2,2,-2,-2,-0.75,1.9598237397554634
is expensive,1,3,1,1,-2,2,-3,3,1,0,-2,-3,0.16666666666666666,2.167249338901663
is fast,1,1,-2,1,1,0,1,2,3,1,0,2,0.9166666666666666,1.2401124093721456
is indispensable,1,-1,-3,-1,-3,-1,0,1,1,2,1,0,-0.25,1.6025547785276542
is operated,3,2,3,2,1,0,2,1,2,3,2,2,1.9166666666666667,0.90033663737852
is polluting,1,1,2,2,-3,0,3,1,2,-1,-2,1,0.5833333333333334,1.781640374554423
is used a lot,2,2,-3,-2,1,-1,0,1,1,3,1,1,0.5,1.7320508075688772
made of metal,2,1,3,3,0,1,1,1,1,0,1,0,1.1666666666666667,1.0298573010888745
produces noise,1,2,2,2,-2,2,2,3,1,0,2,2,1.4166666666666667,1.3113721705515067
provides you with freedom,1,1,0,1,0,0,1,0,1,1,1,-1,0.5,0.674199862463242
used for long distances,3,-1,2,2,3,1,2,3,2,2,1,3,1.9166666666666667,1.1645001528813153
uses fuel,2,2,2,2,0,-1,1,1,2,0,0,0,0.9166666666666666,1.0836246694508318
you can transport things with it,3,3,1,1,1,3,3,3,3,2,2,3,2.3333333333333335,0.8876253645985945
