feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
"a box on the ears (in dutch: een vijg, een draai om je oren)",-3,1,0,1,1,-2,-3,-1,3,-3,-3,-3,-1.0,2.1320071635561044
a delicacy,-1,-1,0,1,0,0,1,0,1,-3,2,-3,-0.25,1.5447859516333116
a kind of bird,-2,-3,-2,0,1,-2,-3,-1,2,-3,-3,-3,-1.5833333333333333,1.729862492345632
a little sourish,3,2,0,0,1,1,0,1,2,-3,2,-2,0.5833333333333334,1.7298624923456323
afrika,1,2,1,0,-1,-2,-1,1,0,-3,-1,-3,-0.5,1.6236882817719773
alcohol is made of it,-2,-3,-1,-3,-3,-1,-1,1,2,-1,1,-3,-1.1666666666666667,1.7494587907710375
are picked,1,2,2,3,3,-1,3,1,1,1,1,-3,1.1666666666666667,1.7494587907710375
as a snack,3,-3,3,2,0,0,3,2,0,-3,3,-3,0.5833333333333334,2.466441431158124
associated with monkeys,0,-3,0,1,0,-1,-1,-1,3,-3,-2,-3,-0.8333333333333334,1.80067327475704
attracts insects,2,3,1,2,0,-1,1,1,0,-2,2,-3,0.5,1.7837651700316894
available mostly in winter,-2,3,-2,1,1,0,-2,-2,1,-3,-1,-3,-0.75,1.9128750375000738
becomes brown when rotting,-1,-3,2,3,3,0,3,2,2,1,1,-3,0.8333333333333334,2.1672493389016636
best when fresh,3,3,3,2,3,1,3,2,0,1,3,2,2.1666666666666665,1.0298573010888745
biblical,-3,0,0,0,-3,-3,-3,-1,0,-3,-1,-3,-1.6666666666666667,1.4354811251305468
big stone,1,3,0,0,0,1,-1,-1,2,-3,0,-3,-0.08333333333333333,1.7816403745544227
birds like to eat it,0,0,0,2,0,-1,0,0,0,0,0,1,0.16666666666666666,0.7177405625652734
brown on the outside,-1,-3,0,-2,2,-1,-1,-1,2,-3,-2,-3,-1.0833333333333333,1.729862492345632
can be bought at the market,1,3,3,1,1,-1,3,2,-2,0,2,-3,0.8333333333333334,1.9924098397912438
can be dried,-1,2,1,1,0,-1,-2,2,1,-1,1,-3,0.0,1.5954480704349312
can be eaten cold or hot,-1,2,0,-1,3,-1,0,1,1,-1,2,-3,0.16666666666666666,1.696699112626596
can be hollowed out,-2,-3,0,-1,2,-1,1,1,0,-3,1,-3,-0.6666666666666666,1.775250729197189
can be poisonous,-3,3,0,-2,2,-2,-2,0,2,1,0,-3,-0.3333333333333333,2.059714602177749
can be squeezed for juice,2,0,3,2,3,0,3,1,-1,-1,2,-3,0.9166666666666666,1.9286515936521478
can be used for making soup,-2,-2,-2,-3,0,-1,-3,-2,0,-3,-2,-3,-1.9166666666666667,1.0836246694508316
can be used for making tea,0,-1,1,1,0,-1,0,2,1,-3,0,-3,-0.25,1.5447859516333116
colourful,3,1,0,-1,2,-1,2,2,0,0,2,-3,0.5833333333333334,1.7298624923456323
comes from Latin-Amerika,1,1,1,0,-1,-1,-1,1,2,-3,1,-3,-0.16666666666666666,1.6422453217986943
comes from Spain,1,1,0,0,-3,-1,-3,1,1,-3,1,-3,-0.6666666666666666,1.8257418583505538
comes from china,-2,3,0,-1,0,-1,-3,1,0,-3,-1,-3,-0.8333333333333334,1.80067327475704
comes from new-zealand,0,-3,0,2,0,-1,-3,0,2,-3,1,0,-0.4166666666666667,1.781640374554423
comes in different colours,3,2,1,0,2,0,1,1,1,1,2,-3,0.9166666666666666,1.5050420310248864
comes in different sizes,2,-2,-2,1,3,-1,1,2,1,2,2,-3,0.5,1.9771421064483223
consists of little 'legs' (in dutch: beentjes),-2,3,-3,1,0,-1,-3,-1,1,-3,-3,-3,-1.1666666666666667,2.0375267241229382
consists of little globules,-2,3,-1,1,0,-1,-1,-1,2,-3,-1,-3,-0.5833333333333334,1.8319554050414562
consists of quarters,1,3,1,1,0,1,2,1,3,-3,1,-3,0.6666666666666666,1.9227505550564006
contains milk,-2,0,3,1,-1,-1,0,-1,3,-3,1,-3,-0.25,2.0056737702645644
contains seeds,1,3,2,2,3,1,2,0,2,-3,2,-3,1.0,2.04494943258218
contains vitamines,3,3,2,3,3,2,3,2,1,3,3,2,2.5,0.674199862463242
dangerous: can fall on your head,-3,-3,2,0,-3,-3,-3,-1,2,-3,-2,-3,-1.6666666666666667,1.9694638556693238
dark red,0,-3,1,-2,1,-1,-1,-1,2,-3,1,-3,-0.75,1.764549903980152
does not grow in Belgium,-2,-2,1,0,-3,-1,-3,-2,1,-3,-1,-3,-1.5,1.5075567228888183
does not hav any particular smell,0,3,2,0,1,-1,-2,2,-1,-3,1,-3,-0.08333333333333333,1.97522534195852
does not taste well,-3,3,-3,1,-3,-2,-3,-2,3,-3,1,-3,-1.1666666666666667,2.443296332763787
downy peel,-2,3,0,1,1,-1,-3,-1,2,-3,1,-3,-0.4166666666666667,2.0652243256245835
eaten with cheese,0,1,0,1,-1,-1,-3,1,1,0,1,-3,-0.25,1.4847711791873706
edible,3,3,3,2,3,1,3,2,-2,2,3,3,2.1666666666666665,1.4668044012461754
exists in different kinds,2,3,3,1,3,0,3,2,1,3,3,-3,1.75,1.815338686155987
exotic,2,1,1,2,3,1,1,2,1,-3,2,-3,0.8333333333333334,1.898963034411309
family of the lemon,2,-1,2,1,-3,2,0,-1,2,-3,1,0,0.16666666666666666,1.8504708655481241
family of the orange,1,1,2,1,0,1,1,-1,2,-3,1,0,0.5,1.381698559415515
family of the peach,0,1,2,1,0,2,1,-1,1,-3,1,0,0.4166666666666667,1.378954368902449
family of the tangerine,1,1,2,1,0,2,1,-1,1,-3,1,0,0.5,1.381698559415515
fleshy,0,3,0,-1,1,1,1,-1,1,-3,2,-3,0.08333333333333333,1.8319554050414564
fragile,1,3,1,-3,0,0,-3,-1,1,2,2,-3,0.0,2.088931871468374
fruit (in dutch: fruit),3,3,3,3,3,3,3,2,-3,0,3,3,2.1666666666666665,1.8504708655481241
fruit (in dutch: vrucht),2,3,2,2,3,2,3,-2,2,3,2,3,2.0833333333333335,1.378954368902449
granular feeling on the tongue,-3,3,0,-1,0,-1,-3,-1,1,-3,-1,-3,-1.0,1.8586407545691703
green,0,-3,1,-2,2,-1,-1,-1,0,-3,1,-3,-0.8333333333333334,1.696699112626596
green peel,2,0,0,1,0,-1,0,0,3,-3,0,-3,-0.08333333333333333,1.729862492345632
green stem,-2,2,2,1,1,-1,-3,1,1,-3,-1,-3,-0.4166666666666667,1.97522534195852
grows around the mediterranean sea,1,2,1,0,0,-1,0,-1,1,0,-1,-3,-0.08333333333333333,1.3113721705515065
grows close to the ground,-2,2,-2,1,1,0,-1,0,0,-3,-1,-3,-0.6666666666666666,1.6143297699232972
grows in a bunch,0,-1,3,2,0,1,0,1,3,-3,1,-3,0.3333333333333333,1.9694638556693238
grows in gardens,1,2,0,1,3,0,1,1,1,1,1,1,1.0833333333333333,0.7929614610987591
grows in our region,1,0,0,0,0,-1,1,2,1,1,0,-3,0.16666666666666666,1.2673044646258473
grows in springtime,1,2,0,1,0,0,1,2,1,-3,-2,-3,0.0,1.7580981459830651
grows in the countryside,1,2,0,1,0,1,3,2,-1,1,1,3,1.1666666666666667,1.1934162828797101
