feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Eddy Wally sings about it,-3,-2,0,-3,-3,2,-3,2,0,-3,0,0,-1.0833333333333333,1.97522534195852
a green cross as symbol,0,0,1,-3,3,3,-2,3,3,-3,2,0,0.5833333333333334,2.314316444667973
acts,1,2,0,-3,3,3,1,3,3,2,2,0,1.4166666666666667,1.7816403745544227
also works on Sunday,1,1,0,-2,0,1,-3,1,0,-1,1,1,0.0,1.348399724926484
appears in the media,0,1,0,-3,1,0,-2,2,-1,2,1,1,0.16666666666666666,1.5275252316519465
appears on television,-1,1,0,-3,1,-2,-2,1,-2,2,1,0,-0.3333333333333333,1.6143297699232975
arranges appointments for the boss,1,2,0,-3,1,1,2,2,1,2,1,0,0.8333333333333334,1.403458930534474
arranges the finances,1,2,0,-2,1,3,1,3,2,2,1,0,1.1666666666666667,1.403458930534474
arrests people,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
asks prescriptions,-1,1,0,-3,0,3,2,2,2,2,2,0,0.8333333333333334,1.696699112626596
assisted by a co-pilot,1,2,1,-3,3,3,1,3,2,2,1,0,1.3333333333333333,1.6696942198734437
assisted by a jury,-2,2,1,-3,2,1,-2,3,1,2,1,0,0.5,1.8829377433825436
assists deliveries of animals,1,2,1,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.6764862244009227
assists the boss,1,1,1,-2,-3,-2,-2,1,0,1,1,1,-0.16666666666666666,1.5859229221975182
"bakes bread, cookies, cake",2,2,2,-3,3,3,1,3,2,2,2,0,1.5833333333333333,1.6764862244009224
belongs to a political party,1,1,0,-3,3,-3,1,3,-1,-2,1,0,0.08333333333333333,2.0207259421636903
bores,-2,1,0,-3,-3,3,1,3,-2,3,1,0,0.16666666666666666,2.2495790852081776
brews coffee,0,1,0,-3,1,-2,-3,-2,0,2,0,0,-0.5,1.6236882817719773
brings food and drinks,-2,1,0,-3,1,-2,-1,2,1,2,1,0,0.0,1.651445647689541
calculates a lot,1,2,0,-3,-1,1,1,2,1,0,1,1,0.5,1.381698559415515
can be a baker who bakes his own bread,2,1,0,-3,3,3,1,3,2,2,1,1,1.3333333333333333,1.6696942198734435
can be a lawyer as well,0,2,0,-3,3,2,1,3,0,2,1,1,1.0,1.651445647689541
can be a vacation job,2,1,1,-2,-3,-2,1,0,-3,2,0,1,-0.16666666666666666,1.8504708655481243
can be called,-3,1,0,-1,-1,-3,-2,-2,-2,1,0,1,-0.9166666666666666,1.5050420310248864
can be selling various things,1,2,0,-2,1,2,1,2,0,2,2,0,0.9166666666666666,1.2401124093721454
can be specialized,1,2,1,2,1,-2,3,3,1,2,1,2,1.4166666666666667,1.3113721705515067
can give a free performance,1,2,1,-3,3,3,1,2,2,1,2,0,1.25,1.6025547785276542
can listen very well ('is a listening ear'),-2,1,0,-3,0,1,0,2,1,1,0,0,0.08333333333333333,1.378954368902449
can't have fear of heights,0,1,0,-3,1,1,-2,2,0,-1,1,0,0.0,1.4142135623730951
controls teeth,1,2,0,-3,3,3,2,3,2,2,3,0,1.5,1.7837651700316894
controls the traffic,1,2,0,-3,3,3,2,3,2,2,2,0,1.4166666666666667,1.729862492345632
counsels,-3,1,0,-2,1,-2,1,2,1,1,1,0,0.08333333333333333,1.5642792899510296
cures animals,1,2,2,-3,3,3,1,3,2,2,2,0,1.5,1.6787441193290353
cures people,1,2,1,-2,3,2,3,3,2,2,2,0,1.5833333333333333,1.443375672974064
defends his client,1,2,0,-3,3,2,1,3,2,2,2,0,1.25,1.6583123951777
delivers the mail,1,2,1,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.6764862244009227
designs buildings,1,2,1,-3,3,3,2,3,2,2,2,0,1.5,1.6787441193290353
designs computer programs,0,2,2,-2,1,3,1,3,2,2,2,0,1.3333333333333333,1.4354811251305466
determines the punishment,-2,2,1,-3,3,3,1,3,2,2,2,0,1.1666666666666667,1.9462473604038075
digs up old things,1,2,1,-3,3,3,1,3,3,2,2,0,1.5,1.7320508075688772
discovers things,0,2,1,-3,2,3,-1,2,0,2,2,0,0.8333333333333334,1.696699112626596
disposes of a lot of patience,-2,1,0,-1,-2,-2,0,-1,-2,1,1,1,-0.5,1.3142574813455419
does a lot of paperwork,0,1,1,0,1,1,2,2,1,2,1,0,1.0,0.7385489458759964
does a work placement at the bar during 3 years,1,1,0,-3,3,3,2,3,2,2,2,0,1.3333333333333333,1.723280873710658
does research,1,2,1,-2,2,1,2,2,0,2,1,0,1.0,1.2060453783110545
does the accountancy,0,1,0,-3,3,3,1,3,2,2,1,0,1.0833333333333333,1.729862492345632
draws a plan,0,1,1,-3,2,-1,2,3,1,2,1,0,0.75,1.6025547785276542
draws teeth,1,2,0,-3,3,3,2,3,2,2,2,0,1.4166666666666667,1.729862492345632
drives a car or rides a bike,-3,1,0,-2,-3,-2,-3,-3,-2,-1,1,0,-1.4166666666666667,1.5642792899510294
drives a fire engine,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
drives a garbage truck,0,2,0,-3,3,3,1,3,1,2,1,0,1.0833333333333333,1.729862492345632
drives a police car,1,2,0,-3,3,3,2,3,1,2,3,0,1.4166666666666667,1.7816403745544227
drives a van,-1,2,0,-2,2,2,2,2,-1,2,0,0,0.6666666666666666,1.497472618255253
earns a lot,1,1,2,1,-2,-2,2,1,-2,1,0,1,0.3333333333333333,1.497472618255253
earns little money,1,1,0,-1,1,-2,-2,1,-2,2,0,1,0.0,1.4142135623730951
earns money,3,2,1,3,-3,-3,3,-2,0,1,0,3,0.6666666666666666,2.309401076758503
educates children,-1,1,1,0,1,2,2,3,1,2,2,0,1.1666666666666667,1.1146408580454255
examines people,1,2,2,-1,2,2,2,3,3,2,2,0,1.6666666666666667,1.1547005383792517
extinguishes the fire,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
fights crime,-1,2,1,-3,3,2,1,3,2,2,2,0,1.1666666666666667,1.7494587907710375
fills shelves,0,2,0,-3,2,3,1,3,1,2,1,0,1.0,1.651445647689541
flies,-3,0,0,-3,3,1,-3,2,2,2,2,0,0.25,2.179449471770337
"gets flowers on ""secretary day""",2,0,0,-3,3,3,1,3,2,-2,3,0,1.0,2.04494943258218
gets help,0,1,0,-3,1,-1,-2,1,-2,1,1,1,-0.16666666666666666,1.4668044012461754
gives advise,-1,1,0,1,1,-2,2,2,2,2,1,0,0.75,1.2880570286640687
gives explanations,-2,1,0,-2,0,1,1,1,1,2,1,0,0.3333333333333333,1.2309149097933274
gives homework,1,2,0,-3,3,1,1,3,1,2,1,0,1.0,1.5954480704349312
gives kinetic exercices,-1,2,0,-3,2,2,1,3,1,2,2,0,0.9166666666666666,1.6764862244009227
gives lessons,1,2,0,1,2,3,1,3,1,2,2,0,1.5,1.0
gives lessons to children,1,2,0,-2,3,3,1,3,2,2,1,0,1.3333333333333333,1.497472618255253
gives massages,1,1,0,-3,3,2,1,3,0,2,1,0,0.9166666666666666,1.6213537179739277
gives safety instructions,1,2,0,-3,0,1,1,3,1,2,1,0,0.75,1.4847711791873706
gives syringes,1,2,1,-3,2,2,2,2,1,2,2,0,1.1666666666666667,1.4668044012461754
gives you braces,1,1,0,-3,3,3,1,3,2,2,2,0,1.25,1.712255291076124
governs the country,2,2,0,-3,3,3,1,3,3,2,2,0,1.5,1.7837651700316894
has a big responsibility,0,1,0,0,0,1,2,1,0,2,1,1,0.75,0.7537783614444091
has a gavel,0,1,1,-3,-1,-1,-2,2,-2,2,0,0,-0.25,1.6025547785276542
has a high function,1,1,0,-2,1,2,2,1,0,-2,1,0,0.4166666666666667,1.3113721705515065
has a lot of vacation,1,1,0,-2,0,1,-1,3,-1,2,0,0,0.3333333333333333,1.3706888336846839
has a particular jurisdiction,2,2,1,2,1,0,2,0,1,-2,1,2,1.0,1.2060453783110545
has a special odor,-3,0,0,-3,0,-2,-3,1,-2,-1,0,0,-1.0833333333333333,1.4433756729740643
has a university degree,1,1,0,1,1,-1,2,1,2,0,1,0,0.75,0.8660254037844386
has an affair with married women,-3,-3,0,-3,-1,-3,-3,-1,-2,-3,0,0,-1.8333333333333333,1.337115846843043
has an own practice,2,2,0,-1,2,3,2,2,0,2,1,0,1.25,1.2154310870109943
has been elected,0,2,0,-3,2,3,1,2,2,2,1,0,1.0,1.5954480704349312
has got a billy club,0,0,0,-3,1,3,-2,2,2,0,2,0,0.4166666666666667,1.729862492345632
has got a boss,3,1,1,1,-2,-1,2,0,2,-1,1,2,0.75,1.4847711791873706
has got a briefcase,-1,1,0,-2,0,1,2,1,-2,-1,1,0,0.0,1.2792042981336627
has got a chic car,-1,0,0,-2,-3,2,1,-1,-2,-2,0,0,-0.6666666666666666,1.4354811251305468
has got a diploma,2,1,1,2,0,-3,3,0,2,0,1,0,0.75,1.5447859516333116
has got a drawing-table,-1,1,0,-3,2,3,2,3,2,2,1,0,1.0,1.7580981459830651
has got a gun,-3,0,0,-3,2,2,-2,3,1,-3,2,0,-0.08333333333333333,2.1933093855190746
has got a letter-case,-2,2,0,-3,3,3,2,3,-3,2,1,0,0.6666666666666666,2.2696949467968492
has got a lot of gear,1,1,0,0,2,2,1,2,2,1,1,0,1.0833333333333333,0.7929614610987591
has got a lot of money,-1,1,1,-1,-3,-2,2,-2,-3,-1,0,0,-0.75,1.6025547785276542
has got a lot of work,1,1,0,0,-1,-2,2,0,-2,2,0,0,0.08333333333333333,1.3113721705515067
has got a loud voice,-3,1,1,-3,-3,0,-3,-3,-1,-2,1,0,-1.25,1.764549903980152
has got a market stall,-2,2,1,-2,3,3,1,3,1,2,1,0,1.0833333333333333,1.729862492345632
has got a name tag,1,0,0,-2,-2,-1,2,-1,-1,-3,0,0,-0.5833333333333334,1.378954368902449
