feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Ali was a famous character,3,2,-3,-3,2,-3,2,3,2,1,2,0,0.6666666666666666,2.3484359721209165
Belgium is doing this well,-1,2,-3,0,2,-1,2,3,-2,0,-1,1,0.16666666666666666,1.8504708655481243
Eddy Merckx was a famous character,3,0,-3,-3,0,1,-2,2,1,1,1,0,0.08333333333333333,1.8809249819912512
Fred Deburgghraeve is a famous character,3,3,-3,-2,3,-3,2,3,-1,1,1,0,0.5833333333333334,2.3532698077098573
Justine Henin is a famous player,3,3,-3,-1,3,-2,2,3,-2,1,3,1,0.9166666666666666,2.314316444667973
Kim Clijsters is a famous player,3,3,-3,-1,3,-1,2,3,-1,1,2,1,1.0,2.04494943258218
Raymond Ceulemans is a famous player,3,1,-3,-3,3,-3,1,3,-1,1,1,0,0.25,2.3011854652449344
Saive is a famous player,3,1,-3,-1,2,1,2,0,2,1,1,0,0.75,1.6025547785276542
Swans Lake is a famous performance,3,-2,-3,-1,-3,1,2,0,-2,-2,1,-3,-0.75,2.0943647333651407
Tour de France is a famous competition,3,0,-3,-3,-2,1,2,0,-2,1,1,-1,-0.25,1.9598237397554634
a referee/umpire supervises the game,-3,3,-2,2,3,2,2,1,2,1,2,3,1.3333333333333333,1.9227505550564006
a team consists of eleven players,2,2,-2,0,3,2,1,0,2,1,2,0,1.0833333333333333,1.378954368902449
afterwards an après-ski takes place,0,-3,-3,-2,1,0,1,3,0,1,1,0,-0.08333333333333333,1.7816403745544227
be sportsmanlike,-2,2,-1,1,2,2,1,0,1,1,1,0,0.6666666666666666,1.2309149097933272
become wet,1,0,-3,-2,-1,-3,2,2,-3,2,2,0,-0.25,2.0943647333651407
begins with service,-2,2,-2,-1,3,1,1,0,2,1,2,0,0.5833333333333334,1.6213537179739277
being quiet,0,3,0,1,3,2,3,3,2,2,2,3,2.0,1.1281521496355325
breast stroke is a style,3,2,0,1,3,1,3,-2,2,1,2,2,1.5,1.4459976109624424
breating is important,0,3,1,2,1,2,2,3,-1,2,2,2,1.5833333333333333,1.1645001528813148
can be a profession,-3,3,2,-2,3,1,3,3,1,0,3,3,1.4166666666666667,2.108783937953269
can be coupled with doping,-1,2,1,0,3,-1,1,3,2,2,2,3,1.4166666666666667,1.4433756729740645
can be dangerous,-1,2,0,0,2,0,1,3,1,1,1,2,1.0,1.1281521496355325
can be fast,-2,3,-2,0,3,2,2,3,-1,2,1,1,1.0,1.8586407545691703
can be practised alone,0,3,2,0,-1,2,3,0,-1,1,0,3,1.0,1.5374122295716148
can be practised at sea,1,3,2,1,3,2,3,3,-1,1,1,3,1.8333333333333333,1.2673044646258476
can be practised both as competition or as relaxing,-2,3,3,2,3,2,2,3,3,1,3,3,2.1666666666666665,1.4668044012461752
can be practised both as professional or as amateur,-2,3,3,1,3,2,2,3,3,1,3,3,2.0833333333333335,1.5050420310248867
can be practised everywhere,-2,1,0,1,3,2,2,3,-1,1,1,3,1.1666666666666667,1.5859229221975182
can be practised in a café,-2,-3,-2,0,-1,1,1,0,-1,1,0,-2,-0.6666666666666666,1.3706888336846839
can be practised in a club,3,1,-3,-2,1,1,2,0,1,1,1,0,0.5,1.6236882817719773
can be practised in all weather conditions,-2,1,-2,-1,2,2,1,3,1,1,-1,1,0.5,1.6236882817719773
can be practised in competition,-3,3,3,2,3,2,3,2,2,2,2,3,2.0,1.651445647689541
can be practised in group,-1,3,3,2,3,2,3,3,-1,2,2,1,1.8333333333333333,1.4668044012461754
can be practised in the garden,-1,1,-1,0,2,2,2,3,-2,1,0,2,0.75,1.5447859516333116
can be practised in the woods,-2,0,-1,-2,-2,1,3,1,-2,1,1,1,-0.08333333333333333,1.6764862244009227
can be practised indoor,-2,1,1,1,3,2,1,0,-1,1,1,3,0.9166666666666666,1.4433756729740643
can be practised indoor or outdoor,1,3,2,2,3,2,3,3,1,1,1,3,2.0833333333333335,0.90033663737852
can be practised on the beach,0,1,-2,-3,1,1,3,0,-1,1,1,1,0.25,1.6025547785276542
can be practised outdoor,1,3,2,1,2,2,2,2,0,1,-1,2,1.4166666666666667,1.0836246694508318
can be practised with a computer,-3,-3,-2,-3,-2,1,-3,1,-3,-3,-1,2,-1.5833333333333333,1.8809249819912508
can be practised with four players,0,0,-2,-1,-2,2,1,0,-1,1,0,1,-0.08333333333333333,1.2401124093721456
can be practised with two or four persons,-2,0,-2,-2,1,1,2,3,-1,1,0,1,0.16666666666666666,1.642245321798694
can best be practised with ski glasses,-1,0,-3,-2,1,1,2,0,-1,2,1,0,0.0,1.5374122295716148
can cause blisters,-3,2,0,3,2,2,3,1,0,1,-2,1,0.8333333333333334,1.8504708655481241
can cause pain,-2,3,1,-2,2,2,2,3,1,1,2,3,1.3333333333333333,1.723280873710658
can cause painful feet,-1,2,1,1,2,1,2,1,-2,1,1,1,0.8333333333333334,1.1934162828797101
can hurt if hit by the ball,0,3,-3,-2,1,2,2,0,2,1,2,0,0.6666666666666666,1.775250729197189
can only take place in water,1,0,-2,-2,2,1,0,2,-3,0,1,0,0.0,1.5954480704349312
catch the ball,2,2,-2,-2,1,1,2,0,1,1,1,0,0.5833333333333334,1.378954368902449
consists of a number of rounds,-1,1,-2,1,3,1,1,0,1,1,-1,1,0.5,1.3142574813455419
consists of several sets,1,2,-2,-1,3,1,2,0,2,1,2,1,1.0,1.4142135623730951
cover a distance,1,2,-2,1,3,2,2,0,-1,1,-1,2,0.8333333333333334,1.5275252316519465
develop muscles,-2,3,-2,-2,-3,0,1,0,-2,1,2,-3,-0.5833333333333334,2.0207259421636903
ends with a knock out,3,0,-3,-2,2,1,1,-3,2,1,1,-3,0.0,2.174229226018436
every team has a goal,2,2,-2,2,2,2,1,0,2,1,1,1,1.1666666666666667,1.1934162828797104
every team has a goalkeeper,-1,1,-3,-1,3,2,1,0,2,1,2,0,0.5833333333333334,1.6764862244009227
everybody can do it,-3,2,2,0,3,2,2,3,-2,1,0,2,1.0,1.9069251784911847
exists in every country,0,3,0,1,3,2,3,3,2,2,2,3,2.0,1.1281521496355325
exists in several classes,-2,3,-1,0,1,1,3,1,1,1,1,2,0.9166666666666666,1.443375672974064
exists in several kinds: classical or jazz,2,0,-3,-2,-2,1,2,0,-3,1,1,-3,-0.5,1.9771421064483223
films are made of it,-3,3,-3,-2,-3,-2,2,3,-3,1,1,0,-0.5,2.4308621740219887
gamble,-1,-3,-3,-3,-3,-1,-1,0,-2,2,-1,-3,-1.5833333333333333,1.5642792899510294
gives a kick,-2,3,0,1,-2,2,3,3,1,2,3,2,1.3333333333333333,1.8257418583505536
go up with a ski lift,2,0,-3,-3,2,-1,3,2,2,1,1,0,0.5,1.9771421064483223
happens on vacantion,-2,2,-1,-1,1,1,1,3,1,2,-1,0,0.5,1.5075567228888183
has a lot of media attention,0,3,1,1,3,-1,3,2,-1,2,2,2,1.4166666666666667,1.4433756729740645
has a pitcher,2,1,-3,-2,1,1,2,0,1,1,0,0,0.3333333333333333,1.497472618255253
has an specific point system,-3,3,2,0,3,2,3,2,3,1,3,3,1.8333333333333333,1.80067327475704
has been practised by knights,2,1,-3,-2,-1,1,2,0,2,2,-1,-1,0.16666666666666666,1.7494587907710375
has bishops,2,-3,-2,1,3,2,2,0,-1,1,1,0,0.5,1.7837651700316894
has different disciplines,-2,3,3,-1,3,1,3,0,2,2,0,3,1.4166666666666667,1.7816403745544227
has holds,1,-1,-3,0,1,1,2,0,1,1,1,0,0.3333333333333333,1.3026778945578592
has its own terminology,-2,2,2,-1,3,2,3,3,1,1,3,3,1.6666666666666667,1.6696942198734437
has several accessories,-2,3,0,-2,-2,1,3,0,-2,1,-1,3,0.16666666666666666,2.0375267241229382
has several colours of belts in order of level,2,1,-3,-2,1,1,2,1,2,2,1,0,0.6666666666666666,1.6143297699232972
has several styles,-1,2,1,-2,1,2,3,3,-3,1,1,2,0.8333333333333334,1.898963034411309
has several weight,0,0,-3,-2,1,1,2,1,2,2,1,0,0.4166666666666667,1.5642792899510294
has some rules of play,-3,3,2,2,3,3,3,3,3,2,3,3,2.25,1.712255291076124
hit a ball,0,-2,-3,-1,-3,1,2,0,-2,1,-2,-2,-0.9166666666666666,1.6764862244009227
in the centre is a net,1,1,-1,-2,2,1,3,0,1,1,1,1,0.75,1.2880570286640687
