feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Popeye,-2,2,-3,2,2,1,-3,3,-3,-3,1,-2,-0.4166666666666667,2.4293034292807376
a lot of cleaning,2,1,1,0,1,3,-3,-1,-3,-3,2,-2,-0.16666666666666666,2.167249338901663
a lot of colour,1,-1,-1,-1,-3,0,-3,1,-3,-3,-2,-3,-1.5,1.5666989036012806
add sugar,-1,-1,-2,0,-1,0,-3,-3,-3,-3,0,-1,-1.5,1.243163121016122
against vampires,-3,-2,-2,1,-3,1,-3,-1,-3,-3,-3,-2,-1.9166666666666667,1.5050420310248864
agriculture,1,2,2,3,3,2,2,1,2,3,2,2,2.0833333333333335,0.6685579234215215
appetizer,-1,1,0,1,2,2,-3,1,-3,3,1,2,0.5,1.9306145983268455
are grains on the cob,-2,1,2,1,-1,1,-3,2,-3,-3,-2,1,-0.5,2.0225995873897262
are in a pod,-1,1,2,1,1,1,-3,1,-3,0,-2,1,-0.08333333333333333,1.729862492345632
are mushrooms,-1,-1,2,2,1,1,-3,2,-3,-3,-2,1,-0.3333333333333333,2.059714602177749
are often sold in small boxes,1,1,-2,1,1,1,-3,1,-3,3,2,2,0.4166666666666667,1.9752253419585197
are sometimes poisonous,3,-2,2,0,-3,0,0,-1,-1,-3,2,-3,-0.5,2.0670576365276494
attractive to insects,0,-1,1,3,-2,1,0,1,-3,3,2,2,0.5833333333333334,1.880924981991251
"before, children grew in cauliflower",-3,1,2,2,-2,0,-3,1,-3,-3,3,-3,-0.6666666666666666,2.3868325657594203
belongs to tomatoes,1,2,-1,1,2,2,-3,1,-3,-3,-1,1,-0.08333333333333333,2.0207259421636903
bent,-2,1,0,1,-1,-2,0,-3,-3,0,0,1,-0.6666666666666666,1.497472618255253
big leaves,-2,1,1,1,1,1,-3,-3,-3,-3,1,3,-0.4166666666666667,2.1933093855190746
brown colour,-3,-2,1,-1,-3,-2,-3,-3,-3,0,0,-1,-1.6666666666666667,1.435481125130547
bush,-2,-1,2,0,2,1,0,-3,-3,0,2,2,0.0,1.9069251784911847
buy by the greengrocer,2,3,-3,3,3,3,2,3,-3,3,2,2,1.6666666666666667,2.2292817160908514
can be baked,1,2,-2,1,3,1,0,-2,-2,1,2,2,0.5833333333333334,1.729862492345632
can be eaten cold,1,2,0,2,3,3,0,2,0,3,2,3,1.75,1.2154310870109943
can be eaten hot,2,3,-1,2,3,3,-3,-3,1,3,2,3,1.25,2.3011854652449344
can be eaten hot or cold,2,2,-2,3,3,3,1,1,2,3,2,2,1.8333333333333333,1.403458930534474
can be eaten whole year long,2,3,-1,1,3,1,1,1,-2,3,3,-2,1.0833333333333333,1.880924981991251
can be grated,1,1,-2,2,3,2,-3,1,-3,2,-1,2,0.4166666666666667,2.108783937953269
can be planted,0,2,0,2,3,3,1,1,-1,3,1,3,1.5,1.381698559415515
can be prepared in several ways,2,3,0,2,3,3,0,-3,1,3,3,3,1.6666666666666667,1.8748737331221843
can be stored in the freezer,2,3,-2,2,3,3,2,-3,-2,3,3,2,1.3333333333333333,2.269694946796849
can have several shapes,1,3,0,-1,2,2,2,-3,-2,3,3,2,1.0,2.04494943258218
causes bad breath,3,-2,-1,1,-2,1,-3,2,-3,-3,-2,-2,-0.9166666666666666,2.108783937953269
chicken feed,-1,2,0,0,-1,-1,-3,1,-3,1,2,-3,-0.5,1.834021909257456
children tinker with it,-2,-1,-1,0,-1,-1,-3,-3,-3,0,2,-2,-1.25,1.4847711791873706
chips,-3,-1,-1,2,1,-3,-3,1,-3,-3,0,-3,-1.3333333333333333,1.9227505550564006
cold,1,1,0,0,-1,3,-3,-3,-3,-3,0,0,-0.6666666666666666,1.9694638556693236
comes out of the ground,-2,2,1,1,2,1,2,1,-3,-3,1,2,0.4166666666666667,1.9286515936521478
consists of threads,1,2,2,0,-3,1,-3,1,-3,-3,1,-1,-0.4166666666666667,2.0652243256245835
