exemplar,% known,age of acquisition
apple,100.0,4.0
apricot,100.0,7.09
banana,100.0,4.46
blackberry,100.0,6.75
blueberry,100.0,7.79
cherry,100.0,5.78
coconut,100.0,7.17
dates,95.83,9.52
fig,100.0,8.35
grape,100.0,5.29
grapefruit,100.0,8.13
kiwi,100.0,6.04
lemon,100.0,5.0
lime,100.0,9.54
lychee,95.0,11.68
mandarine,100.0,8.75
mango,100.0,10.88
melon,100.0,7.08
nectarine,100.0,8.71
orange,100.0,4.92
papaya,100.0,12.4
passion fruit,100.0,11.21
peach,100.0,6.67
pear,100.0,4.75
pineapple,100.0,6.63
plum,95.65,6.27
pumpkin,100.0,7.38
raspberry,100.0,7.0
red currant,90.0,10.94
strawberry,100.0,5.39
