exemplar,% known,age of acquisition
bat,98.27,6.1
beaver,98.52,7.5
bison,98.75,7.68
cat,99.0,4.04
cow,99.26,4.0
deer,99.25,6.61
dog,99.26,3.38
donkey,98.76,5.75
dromedary,97.07,8.13
elephant,99.24,4.96
fox,98.06,5.63
giraffe,99.5,6.21
hamster,99.75,6.13
hedgehog,99.01,5.92
hippopotamus,98.76,6.83
horse,97.3,4.54
kangaroo,99.75,7.38
lion,100.0,4.96
llama,98.27,9.21
monkey,99.01,4.42
mouse,99.5,4.92
pig,100.0,4.79
polar bear,99.75,6.42
rabbit,99.5,4.58
rhinoceros,99.75,6.91
sheep,99.5,4.7
squirrel,98.27,6.58
tiger,99.51,6.21
wolf,99.5,5.25
zebra,99.0,6.63
