exemplar,category strength,exemplar strength
bathing suit,0.000,0.000
beanie,0.004,0.004
belt,0.000,0.015
blouse,0.000,0.037
boots,0.000,0.000
bra,0.000,0.007
cap,0.000,0.000
coat,0.015,0.015
dress,0.004,0.026
dungarees,0.000,0.041
hat,0.011,0.007
jeans,0.019,0.030
mittens,0.000,0.004
panties,0.000,0.007
pants,0.104,0.041
pullover,0.022,0.056
pyjamas,0.000,0.007
scarf,0.011,0.011
shirt,0.022,0.026
shoes,0.030,0.015
shorts,0.000,0.018
skirt,0.041,0.020
socks,0.004,0.015
suit,0.004,0.007
sweater,0.000,0.026
t-shirt,0.000,0.011
tie,0.007,0.007
top,0.052,0.022
tracksuit,0.000,0.003
