exemplar,category strength,exemplar strength
bat,0.000,0.007
beaver,0.000,0.000
bison,0.000,0.007
cat,0.052,0.007
cow,0.033,0.000
deer,0.000,0.000
dog,0.078,0.000
donkey,0.000,0.008
dromedary,0.000,0.004
elephant,0.015,0.011
fox,0.004,0.000
giraffe,0.011,0.007
hamster,0.004,0.004
hedgehog,0.000,0.004
hippopotamus,0.000,0.004
horse,0.033,0.007
kangaroo,0.004,0.000
lion,0.000,0.000
llama,0.000,0.000
monkey,0.074,0.007
mouse,0.000,0.000
pig,0.007,0.000
polar bear,0.000,0.000
rabbit,0.004,0.000
rhinoceros,0.000,0.004
sheep,0.007,0.004
squirrel,0.000,0.000
tiger,0.011,0.000
wolf,0.000,0.004
zebra,0.000,0.011
