exemplar,generation frequency,mean rank position
Brussels sprouts,26,6.192
asparagus,14,6.143
beans,33,5.091
beet,2,6.5
black salsify,4,7.5
carrot,99,3.222
cauliflower,42,5.262
celery,39,4.718
chervil,2,4.0
corn,3,8.333
cucumber,48,4.583
eggplant,8,6.375
endive,35,5.543
garlic,1,6.0
gherkins,5,6.2
leek,52,4.212
lettuce,102,2.539
mushrooms,7,6.286
onions,34,4.357
parsley,9,6.0
peas,35,4.429
pepper,26,5.5
potato,13,5.538
radish,11,4.364
red cabbage,30,6.333
spinach,27,6.333
tomato,98,3.173
water cress,0,0.0
white cabbage,18,7.389
zucchini,7,4.429
