exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
badminton,26.0,9.0,19.0,16.0,9.0,10.0,10.0,8.0,12.0,21.0,11.0,7.0,6.0,6.0,11.0,17.0,13.0,10.0,14.0,20.0
ballet,25.0,28.0,26.0,21.0,23.0,27.0,24.0,25.0,14.0,25.0,26.0,22.0,26.0,24.0,23.0,21.0,23.0,30.0,26.0,27.0
baseball,9.0,12.0,9.0,14.0,5.0,17.0,13.0,11.0,20.0,8.0,13.0,11.0,5.0,12.0,9.0,10.0,10.0,16.0,16.0,23.0
basketball,2.0,2.0,7.0,8.0,1.0,2.0,6.0,7.0,7.0,2.0,5.0,2.0,1.0,7.0,6.0,4.0,5.0,3.0,8.0,3.0
billiards,18.0,26.0,27.0,28.0,29.0,28.0,29.0,28.0,28.0,27.0,28.0,28.0,27.0,27.0,27.0,29.0,22.0,29.0,23.0,25.0
boxing,13.0,10.0,15.0,9.0,15.0,25.0,15.0,17.0,23.0,16.0,20.0,19.0,4.0,20.0,10.0,3.0,19.0,11.0,11.0,13.0
chess,24.0,25.0,28.0,29.0,30.0,29.0,30.0,30.0,29.0,29.0,30.0,29.0,29.0,28.0,30.0,30.0,25.0,28.0,30.0,28.0
cycling,3.0,8.0,23.0,4.0,13.0,7.0,2.0,2.0,4.0,5.0,2.0,10.0,14.0,15.0,3.0,15.0,9.0,4.0,2.0,7.0
fencing,23.0,29.0,18.0,11.0,14.0,21.0,22.0,22.0,19.0,22.0,23.0,21.0,23.0,25.0,22.0,23.0,17.0,25.0,24.0,18.0
golfing,21.0,23.0,25.0,30.0,27.0,24.0,23.0,26.0,27.0,24.0,22.0,26.0,21.0,21.0,23.0,24.0,24.0,26.0,21.0,24.0
gymnastics,22.0,3.0,3.0,20.0,19.0,14.0,7.0,10.0,6.0,20.0,19.0,15.0,24.0,17.0,17.0,13.0,12.0,23.0,4.0,17.0
handball,6.0,4.0,10.0,13.0,10.0,8.0,11.0,15.0,11.0,9.0,12.0,9.0,11.0,10.0,14.0,1.0,6.0,17.0,13.0,5.0
horseback riding,20.0,17.0,20.0,24.0,28.0,22.0,25.0,24.0,26.0,23.0,21.0,23.0,22.0,13.0,24.0,25.0,20.0,12.0,27.0,22.0
ice hockey,16.0,19.0,14.0,6.0,7.0,15.0,16.0,18.0,17.0,6.0,10.0,18.0,13.0,19.0,15.0,19.0,14.0,22.0,15.0,12.0
judo,12.0,20.0,5.0,10.0,22.0,12.0,8.0,14.0,15.0,15.0,14.0,20.0,16.0,22.0,19.0,11.0,12.0,17.0,17.0,14.0
long jump,17.0,14.0,21.0,2.0,17.0,18.0,17.0,19.0,18.0,12.0,27.0,14.0,20.0,18.0,16.0,14.0,11.0,15.0,7.0,18.0
rugby,7.0,13.0,8.0,5.0,3.0,11.0,14.0,13.0,10.0,7.0,9.0,12.0,15.0,2.0,8.0,9.0,11.0,7.0,6.0,8.0
running,5.0,11.0,24.0,1.0,11.0,5.0,1.0,1.0,1.0,13.0,8.0,4.0,17.0,1.0,1.0,6.0,8.0,6.0,1.0,6.0
sailing,10.0,24.0,22.0,25.0,26.0,23.0,26.0,23.0,25.0,26.0,25.0,24.0,22.0,23.0,20.0,22.0,16.0,27.0,25.0,21.0
shot-put,14.0,15.0,16.0,3.0,16.0,19.0,19.0,20.0,21.0,14.0,24.0,16.0,19.0,16.0,21.0,26.0,,24.0,22.0,26.0
skiing,11.0,21.0,17.0,18.0,21.0,16.0,24.0,12.0,24.0,18.0,6.0,13.0,25.0,11.0,18.0,12.0,15.0,8.0,12.0,15.0
soccer,1.0,1.0,1.0,7.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,7.0,5.0,5.0,2.0,1.0,1.0,5.0,1.0
sport fishing,29.0,22.0,29.0,27.0,25.0,30.0,27.0,29.0,30.0,28.0,29.0,27.0,30.0,29.0,29.0,27.0,26.0,27.0,29.0,
squash,15.0,18.0,11.0,19.0,8.0,9.0,9.0,9.0,13.0,17.0,17.0,8.0,12.0,8.0,13.0,18.0,7.0,18.0,18.0,11.0
surfing,27.0,30.0,12.0,23.0,18.0,20.0,18.0,21.0,22.0,19.0,16.0,17.0,18.0,4.0,12.0,16.0,18.0,17.0,19.0,10.0
swimming,19.0,5.0,2.0,17.0,12.0,6.0,4.0,6.0,3.0,11.0,3.0,6.0,10.0,3.0,2.0,5.0,2.0,9.0,3.0,2.0
table tennis,30.0,16.0,13.0,22.0,20.0,13.0,20.0,16.0,16.0,10.0,15.0,17.0,3.0,20.0,26.0,20.0,15.0,20.0,20.0,19.0
tennis,4.0,6.0,6.0,15.0,4.0,4.0,12.0,4.0,5.0,4.0,4.0,5.0,9.0,4.0,4.0,7.0,4.0,5.0,9.0,4.0
volleyball,8.0,7.0,4.0,12.0,6.0,3.0,5.0,5.0,8.0,3.0,7.0,3.0,8.0,9.0,7.0,8.0,3.0,2.0,10.0,9.0
walking,28.0,27.0,30.0,26.0,24.0,26.0,28.0,27.0,9.0,30.0,18.0,25.0,28.0,26.0,28.0,28.0,21.0,19.0,28.0,29.0
