exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
Brussels sprouts,2.0,11.0,20.0,6.0,6.0,14.0,10.0,21.0,12.0,8.0,3.0,12.0,26.0,5.0,11.0,18.0,25.0,8.0,20.0,15.0
asparagus,15.0,17.0,9.0,20.0,20.0,22.0,23.0,12.0,21.0,10.0,11.0,27.0,10.0,25.0,16.0,3.0,8.0,22.0,9.0,12.0
beans,20.0,5.0,6.0,1.0,7.0,2.0,14.0,6.0,16.0,5.0,5.0,14.0,23.0,3.0,7.0,20.0,6.0,3.0,12.0,6.0
beet,14.0,24.0,,26.0,27.0,30.0,22.0,26.0,22.0,17.0,17.0,28.0,16.0,15.0,23.0,17.0,26.0,28.0,17.0,22.0
black salsify,,16.0,10.0,21.0,23.0,23.0,24.0,30.0,13.0,11.0,14.0,18.0,24.0,21.0,20.0,13.0,,28.0,30.0,
carrot,3.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,2.0,12.0,4.0,9.0,2.0,3.0,9.0,12.0,9.0,21.0,5.0
cauliflower,7.0,7.0,18.0,5.0,3.0,6.0,7.0,11.0,8.0,6.0,8.0,9.0,17.0,12.0,10.0,8.0,15.0,24.0,5.0,10.0
celery,23.0,12.0,22.0,14.0,10.0,10.0,15.0,9.0,24.0,19.0,2.0,7.0,25.0,27.0,9.0,14.0,9.0,21.0,22.0,18.0
chervil,25.0,25.0,24.0,24.0,28.0,26.0,18.0,29.0,26.0,30.0,27.0,22.0,8.0,28.0,29.0,27.0,21.0,19.0,10.0,29.0
corn,18.0,15.0,8.0,19.0,29.0,20.0,20.0,20.0,19.0,20.0,21.0,21.0,11.0,17.0,17.0,4.0,1.0,5.0,16.0,27.0
cucumber,4.0,3.0,12.0,10.0,13.0,12.0,13.0,4.0,10.0,4.0,25.0,25.0,2.0,6.0,15.0,1.0,10.0,4.0,11.0,3.0
eggplant,16.0,22.0,,16.0,14.0,21.0,16.0,13.0,18.0,12.0,10.0,20.0,30.0,26.0,26.0,6.0,29.0,27.0,19.0,28.0
endive,10.0,8.0,19.0,17.0,5.0,18.0,25.0,25.0,7.0,16.0,15.0,16.0,19.0,9.0,12.0,10.0,14.0,7.0,8.0,14.0
garlic,29.0,29.0,15.0,30.0,30.0,24.0,26.0,16.0,29.0,29.0,30.0,30.0,5.0,29.0,25.0,24.0,3.0,10.0,6.0,24.0
gherkins,28.0,26.0,13.0,29.0,22.0,25.0,29.0,27.0,25.0,23.0,26.0,26.0,14.0,27.0,27.0,29.0,20.0,18.0,26.0,16.0
leek,11.0,9.0,21.0,11.0,9.0,9.0,5.0,17.0,3.0,9.0,7.0,6.0,20.0,8.0,19.0,22.0,22.0,20.0,15.0,9.0
lettuce,13.0,1.0,25.0,15.0,11.0,4.0,3.0,2.0,1.0,1.0,6.0,1.0,4.0,19.0,2.0,16.0,11.0,1.0,29.0,2.0
mushrooms,26.0,27.0,4.0,9.0,18.0,27.0,30.0,10.0,4.0,26.0,22.0,25.0,3.0,4.0,30.0,15.0,5.0,29.0,13.0,7.0
onions,17.0,28.0,14.0,18.0,17.0,13.0,4.0,15.0,23.0,26.0,20.0,13.0,29.0,18.0,27.0,26.0,2.0,23.0,3.0,4.0
parsley,9.0,21.0,27.0,25.0,26.0,28.0,28.0,28.0,28.0,27.0,24.0,29.0,21.0,13.0,24.0,25.0,24.0,13.0,7.0,23.0
peas,22.0,4.0,7.0,3.0,15.0,5.0,8.0,19.0,9.0,9.0,13.0,11.0,28.0,4.0,4.0,11.0,13.0,12.0,18.0,11.0
pepper,21.0,18.0,3.0,4.0,19.0,17.0,12.0,5.0,20.0,25.0,19.0,17.0,6.0,20.0,5.0,5.0,7.0,6.0,23.0,8.0
potato,8.0,30.0,28.0,28.0,25.0,16.0,27.0,14.0,30.0,21.0,16.0,3.0,7.0,1.0,28.0,28.0,19.0,30.0,1.0,27.0
radish,27.0,20.0,5.0,23.0,21.0,19.0,19.0,23.0,14.0,18.0,29.0,24.0,13.0,22.0,18.0,19.0,21.0,15.0,27.0,13.0
red cabbage,1.0,14.0,16.0,7.0,8.0,8.0,9.0,22.0,15.0,15.0,18.0,10.0,27.0,10.0,6.0,21.0,4.0,17.0,25.0,26.0
spinach,12.0,10.0,23.0,12.0,4.0,11.0,11.0,1.0,6.0,7.0,1.0,8.0,18.0,11.0,8.0,7.0,17.0,16.0,20.0,19.0
tomato,5.0,23.0,2.0,27.0,1.0,3.0,2.0,3.0,5.0,24.0,23.0,2.0,1.0,30.0,1.0,30.0,18.0,2.0,2.0,1.0
water cress,19.0,19.0,26.0,22.0,24.0,29.0,21.0,24.0,27.0,27.0,28.0,23.0,12.0,23.0,22.0,23.0,28.0,25.0,4.0,25.0
white cabbage,6.0,6.0,17.0,8.0,16.0,7.0,6.0,18.0,17.0,13.0,9.0,15.0,22.0,14.0,14.0,12.0,16.0,14.0,24.0,27.0
zucchini,24.0,13.0,11.0,13.0,12.0,15.0,17.0,7.0,11.0,14.0,4.0,19.0,15.0,16.0,13.0,1.0,27.0,11.0,14.0,20.0
