exemplar,missing,mean,std,nonmissing
ant,0,6.21,1.01,34
bee,0,6.14,1.13,29
beetle,1,5.84,1.37,32
bumblebee,0,5.71,1.19,31
butterfly,0,6.35,0.95,31
caterpillar,0,5.88,1.04,34
centipede,1,5.48,1.64,25
cockchafer,0,4.88,1.77,32
cockroach,0,4.5,2.05,34
cricket,2,4.37,2.06,27
dragonfly,1,6.1,1.04,31
earwig,1,4.5,1.91,30
flee,1,3.93,1.91,29
fly,0,6.59,0.65,37
fruit fly,0,4.68,1.83,31
grasshopper,0,5.79,1.47,33
horsefly,1,3.94,2.18,32
ladybug,0,6.62,0.68,29
leech,0,4.28,2.05,29
louse,0,3.91,1.86,34
mosquito,0,6.06,1.39,35
moth,0,5.24,1.84,33
spider,0,6.71,0.82,31
wasp,0,5.8,1.65,30
wood louse,0,5.3,1.68,30
worm,0,6.27,1.28,33
