exemplar,missing,mean,std,nonmissing
bat,0,6.18,1.18,33
beaver,0,5.58,1.61,31
bison,0,5.52,1.4,29
cat,0,6.47,1.05,32
cow,0,6.56,0.8,32
deer,0,6.29,0.94,31
dog,0,6.5,0.9,34
donkey,0,6.62,0.7,34
dromedary,0,5.52,1.75,31
elephant,0,6.61,0.67,31
fox,0,6.03,1.27,35
giraffe,0,6.66,0.9,32
hamster,0,6.22,1.21,32
hedgehog,0,6.38,0.89,34
hippopotamus,0,6.28,0.89,32
horse,0,6.56,1.19,27
kangaroo,0,6.2,1.3,35
lion,0,6.77,0.43,30
llama,0,5.63,1.72,32
monkey,1,6.45,1.09,33
mouse,0,6.15,1.28,33
pig,0,6.59,0.67,32
polar bear,0,6.5,0.78,30
rabbit,0,6.61,0.93,33
rhinoceros,0,6.11,1.21,36
sheep,0,6.36,0.74,33
squirrel,0,6.19,1.01,31
tiger,0,6.47,0.79,34
wolf,0,6.17,1.39,29
zebra,0,6.41,0.98,29
