exemplar,missing,mean,std,nonmissing
adjustable spanner,1,3.97,1.9,30
anvil,3,4.42,1.33,26
axe,0,6.07,1.31,29
chisel,1,4.42,1.77,31
clamp,2,2.93,1.28,30
crowbar (breekijzer),1,4.52,2.08,31
crowbar (koevoet),0,5.55,1.59,29
drill,0,5.69,1.75,35
file,1,5.68,1.45,31
filling knife,0,4.71,1.6,35
grinding disc,0,4.77,2.0,31
hammer,0,6.35,1.1,34
knife,0,6.25,1.14,32
lawn mower,0,6.19,1.06,32
level,0,5.06,1.87,32
nail,0,5.97,1.4,38
oil can,1,3.58,1.94,33
paint brush,0,6.74,0.58,31
pickaxe,3,3.74,2.0,31
plane,4,2.85,1.59,26
plough,0,4.79,1.92,33
rope,0,6.29,0.98,38
saw,0,6.21,1.47,34
screwdriver,0,6.09,1.07,33
shovel,0,5.57,1.8,37
tongs,0,5.67,1.64,36
vacuum cleaner,1,6.39,1.12,31
wheelbarrow,1,6.26,1.14,34
wire brush,3,4.0,2.05,33
wrench,0,4.0,1.64,30
