exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
accountant,20.0,14.0,19.0,20.0,20.0,15.0,17.0,20.0,18.0,12.0,20.0,20.0,17.0,18.0,17.0,20.0,20.0,20.0,17.0,13.0,17.0,14.0,15.0,12.0,19.0,20.0,17.0,20.0,17.53571429,2.673354708,28
actor,15.0,17.0,12.0,13.0,19.0,16.0,13.0,12.0,17.0,11.0,7.0,20.0,15.0,7.0,12.0,20.0,19.0,19.0,15.0,3.0,4.0,1.0,16.0,6.0,16.0,5.0,16.0,17.0,12.96428571,5.507450461,28
archaeologist,15.0,6.0,16.0,20.0,17.0,11.0,12.0,12.0,18.0,15.0,20.0,20.0,16.0,6.0,12.0,10.0,13.0,18.0,17.0,6.0,3.0,4.0,16.0,7.0,18.0,9.0,4.0,20.0,12.89285714,5.493021065,28
architect,18.0,19.0,15.0,20.0,20.0,8.0,14.0,20.0,18.0,14.0,20.0,20.0,16.0,11.0,19.0,20.0,20.0,20.0,20.0,11.0,11.0,9.0,17.0,9.0,19.0,17.0,13.0,20.0,16.35714286,4.075348526,28
baker,20.0,20.0,19.0,20.0,20.0,14.0,17.0,20.0,18.0,17.0,20.0,20.0,18.0,13.0,20.0,20.0,20.0,19.0,19.0,13.0,16.0,18.0,17.0,18.0,19.0,14.0,20.0,20.0,18.17857143,2.277971343,28
butcher,18.0,17.0,18.0,20.0,20.0,13.0,17.0,20.0,18.0,16.0,20.0,20.0,18.0,14.0,17.0,20.0,20.0,19.0,17.0,13.0,16.0,15.0,17.0,15.0,19.0,12.0,14.0,20.0,17.25,2.488864087,28
cook,20.0,20.0,19.0,20.0,20.0,18.0,16.0,17.0,18.0,14.0,20.0,20.0,16.0,17.0,16.0,20.0,20.0,18.0,19.0,14.0,15.0,16.0,17.0,7.0,19.0,14.0,15.0,20.0,17.32142857,2.93198923,28
dentist,20.0,19.0,20.0,20.0,20.0,15.0,17.0,20.0,18.0,14.0,20.0,20.0,18.0,13.0,19.0,20.0,17.0,19.0,20.0,11.0,12.0,16.0,17.0,17.0,19.0,14.0,15.0,20.0,17.5,2.755465948,28
doctor,19.0,19.0,20.0,20.0,20.0,19.0,15.0,20.0,18.0,17.0,20.0,20.0,18.0,14.0,18.0,20.0,18.0,20.0,20.0,8.0,14.0,17.0,17.0,17.0,19.0,15.0,20.0,20.0,17.92857143,2.734262328,28
educator,17.0,20.0,19.0,20.0,18.0,18.0,19.0,20.0,14.0,13.0,20.0,20.0,15.0,4.0,15.0,5.0,19.0,20.0,18.0,15.0,16.0,12.0,17.0,14.0,19.0,12.0,13.0,20.0,16.14285714,4.248871621,28
