exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
(hot air) balloon,14.0,12.0,2.0,6.0,9.0,18.0,1.0,12.0,3.0,13.0,4.0,12.0,7.0,12.0,16.0,10.0,1.0,13.0,15.0,20.0,6.0,5.0,14.0,3.0,7.0,11.0,12.0,2.0,9.285714286,5.380741673,28
airplane,15.0,13.0,17.0,8.0,11.0,19.0,7.0,17.0,18.0,20.0,14.0,19.0,16.0,17.0,20.0,15.0,7.0,20.0,18.0,20.0,15.0,16.0,18.0,10.0,8.0,16.0,17.0,10.0,15.03571429,4.194194779,28
bicycle,20.0,17.0,20.0,15.0,17.0,20.0,12.0,20.0,16.0,20.0,6.0,19.0,16.0,20.0,20.0,18.0,9.0,19.0,19.0,20.0,16.0,15.0,18.0,19.0,13.0,20.0,17.0,17.0,17.07142857,3.526918406,28
boat,17.0,13.0,14.0,8.0,11.0,19.0,7.0,17.0,4.0,14.0,5.0,9.0,11.0,17.0,20.0,12.0,2.0,15.0,15.0,20.0,15.0,11.0,17.0,13.0,14.0,6.0,16.0,15.0,12.75,4.827582786,28
bus,20.0,15.0,20.0,14.0,19.0,20.0,20.0,19.0,20.0,20.0,18.0,18.0,17.0,20.0,20.0,18.0,17.0,19.0,18.0,20.0,17.0,19.0,18.0,19.0,19.0,20.0,17.0,17.0,18.5,1.598610508,28
car,20.0,19.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,19.0,20.0,17.0,20.0,19.67857143,0.722832465,28
carriage,11.0,5.0,7.0,10.0,3.0,15.0,7.0,17.0,4.0,13.0,12.0,19.0,14.0,15.0,20.0,11.0,8.0,12.0,14.0,13.0,12.0,8.0,13.0,11.0,16.0,20.0,14.0,8.0,11.85714286,4.51100946,28
cart,6.0,8.0,7.0,6.0,6.0,18.0,7.0,16.0,4.0,12.0,16.0,10.0,11.0,13.0,20.0,11.0,8.0,10.0,15.0,9.0,12.0,10.0,13.0,5.0,6.0,2.0,15.0,10.0,10.21428571,4.42515656,28
go-cart,11.0,8.0,9.0,12.0,10.0,18.0,7.0,14.0,2.0,13.0,4.0,13.0,10.0,13.0,16.0,9.0,1.0,10.0,13.0,17.0,10.0,11.0,13.0,6.0,8.0,4.0,13.0,4.0,9.964285714,4.358747211,28
helicopter,17.0,10.0,8.0,15.0,15.0,20.0,7.0,15.0,8.0,14.0,5.0,8.0,11.0,15.0,20.0,13.0,13.0,16.0,16.0,20.0,8.0,10.0,18.0,9.0,8.0,9.0,15.0,12.0,12.67857143,4.320953011,28
hovercraft,9.0,9.0,,13.0,,17.0,,,3.0,12.0,6.0,,3.0,16.0,20.0,8.0,3.0,5.0,12.0,14.0,3.0,8.0,15.0,7.0,3.0,18.0,12.0,3.0,9.52173913,5.476143012,23
jeep,20.0,16.0,20.0,10.0,16.0,20.0,20.0,18.0,20.0,20.0,15.0,19.0,15.0,20.0,20.0,18.0,18.0,19.0,17.0,20.0,16.0,20.0,18.0,19.0,18.0,20.0,16.0,14.0,17.92857143,2.448409483,28
kick scooter,13.0,11.0,9.0,7.0,7.0,14.0,7.0,16.0,8.0,15.0,9.0,13.0,12.0,17.0,16.0,11.0,1.0,9.0,14.0,12.0,13.0,9.0,14.0,9.0,6.0,1.0,12.0,4.0,10.32142857,4.225614761,28
motorbike (brommer),17.0,15.0,18.0,9.0,18.0,20.0,17.0,20.0,20.0,20.0,16.0,17.0,16.0,20.0,20.0,14.0,16.0,17.0,16.0,20.0,16.0,18.0,18.0,17.0,15.0,20.0,17.0,16.0,17.25,2.44381305,28
motorbike (moto),18.0,17.0,20.0,8.0,17.0,20.0,17.0,18.0,18.0,20.0,14.0,20.0,16.0,20.0,20.0,17.0,16.0,17.0,17.0,20.0,15.0,18.0,18.0,17.0,15.0,20.0,15.0,17.0,17.32142857,2.568377084,28
rocket,13.0,8.0,1.0,1.0,5.0,15.0,2.0,10.0,9.0,9.0,5.0,5.0,1.0,11.0,16.0,7.0,1.0,10.0,11.0,6.0,3.0,1.0,13.0,1.0,1.0,3.0,13.0,1.0,6.5,4.955356249,28
scooter,16.0,15.0,18.0,7.0,17.0,20.0,20.0,18.0,20.0,20.0,6.0,11.0,15.0,20.0,20.0,16.0,16.0,17.0,17.0,20.0,16.0,19.0,18.0,17.0,18.0,20.0,16.0,16.0,16.75,3.596551847,28
skateboard,13.0,3.0,3.0,9.0,3.0,16.0,10.0,14.0,2.0,12.0,4.0,9.0,7.0,12.0,16.0,9.0,4.0,10.0,12.0,13.0,12.0,11.0,12.0,2.0,3.0,1.0,13.0,4.0,8.535714286,4.717831759,28
sled,12.0,6.0,4.0,8.0,11.0,16.0,7.0,14.0,1.0,8.0,6.0,6.0,7.0,15.0,16.0,8.0,1.0,8.0,11.0,9.0,9.0,5.0,12.0,3.0,12.0,1.0,7.0,3.0,8.071428571,4.379485607,28
submarine,4.0,8.0,4.0,1.0,5.0,19.0,7.0,13.0,4.0,5.0,4.0,1.0,7.0,12.0,18.0,6.0,1.0,12.0,13.0,13.0,3.0,3.0,11.0,1.0,4.0,5.0,13.0,8.0,7.321428571,5.121151284,28
subway train,14.0,6.0,10.0,17.0,14.0,20.0,,18.0,5.0,20.0,12.0,6.0,17.0,13.0,20.0,18.0,12.0,14.0,13.0,20.0,16.0,8.0,13.0,18.0,15.0,20.0,8.0,6.0,13.81481481,4.89141349,27
taxi,15.0,15.0,20.0,3.0,13.0,20.0,20.0,19.0,19.0,20.0,19.0,19.0,16.0,20.0,20.0,17.0,16.0,19.0,18.0,20.0,16.0,20.0,18.0,17.0,17.0,20.0,16.0,18.0,17.5,3.448026811,28
tractor,18.0,6.0,8.0,7.0,8.0,19.0,7.0,14.0,17.0,18.0,17.0,14.0,9.0,18.0,16.0,14.0,6.0,15.0,15.0,12.0,13.0,8.0,13.0,5.0,12.0,14.0,12.0,4.0,12.10714286,4.516138023,28
trailer,15.0,6.0,13.0,14.0,9.0,20.0,20.0,18.0,6.0,9.0,18.0,1.0,13.0,14.0,20.0,12.0,9.0,5.0,13.0,17.0,6.0,12.0,13.0,14.0,12.0,18.0,14.0,12.0,12.60714286,4.901543866,28
train,20.0,15.0,17.0,13.0,18.0,20.0,20.0,20.0,20.0,20.0,13.0,20.0,18.0,20.0,20.0,16.0,12.0,20.0,19.0,20.0,16.0,10.0,18.0,19.0,16.0,20.0,16.0,15.0,17.53571429,2.91207121,28
tram,19.0,15.0,17.0,16.0,16.0,20.0,20.0,18.0,18.0,20.0,14.0,15.0,17.0,20.0,20.0,15.0,12.0,15.0,16.0,20.0,16.0,16.0,18.0,18.0,15.0,20.0,9.0,9.0,16.57142857,3.060241717,28
truck (camion),9.0,14.0,16.0,10.0,19.0,20.0,20.0,18.0,16.0,20.0,18.0,17.0,16.0,20.0,20.0,18.0,18.0,19.0,18.0,13.0,17.0,18.0,18.0,15.0,19.0,20.0,16.0,16.0,17.07142857,2.853569194,28
truck (vrachtwagen),20.0,14.0,15.0,17.0,17.0,20.0,20.0,20.0,16.0,20.0,18.0,20.0,15.0,20.0,20.0,19.0,15.0,20.0,20.0,20.0,17.0,18.0,16.0,13.0,19.0,20.0,14.0,18.0,17.89285714,2.314835979,28
van,18.0,18.0,20.0,16.0,20.0,20.0,20.0,19.0,19.0,20.0,16.0,20.0,17.0,20.0,20.0,20.0,18.0,17.0,17.0,20.0,17.0,18.0,17.0,17.0,18.0,20.0,14.0,13.0,18.17857143,1.925531604,28
zeppelin,8.0,7.0,4.0,15.0,7.0,16.0,,13.0,2.0,8.0,6.0,1.0,3.0,13.0,16.0,4.0,4.0,10.0,12.0,16.0,4.0,3.0,11.0,3.0,5.0,18.0,15.0,2.0,8.37037037,5.336003605,27
