exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
axe,16.0,16.0,15.0,15.0,19.0,18.0,9.0,17.0,13.0,15.0,7.0,20.0,6.0,7.0,14.0,13.0,1.0,18.0,13.0,2.0,9.0,20.0,10.0,12.0,12.0,16.0,15.0,13.0,12.89285714,4.991394711,28
bazooka,16.0,18.0,18.0,16.0,19.0,20.0,20.0,13.0,20.0,19.0,17.0,16.0,20.0,17.0,20.0,17.0,19.0,19.0,20.0,20.0,16.0,20.0,20.0,20.0,20.0,18.0,20.0,20.0,18.5,1.855921454,28
bow,15.0,10.0,12.0,13.0,13.0,14.0,11.0,10.0,16.0,15.0,10.0,2.0,12.0,7.0,1.0,6.0,8.0,13.0,8.0,5.0,11.0,18.0,20.0,11.0,15.0,19.0,10.0,13.0,11.35714286,4.596409917,28
canon,15.0,16.0,18.0,17.0,18.0,17.0,16.0,16.0,20.0,19.0,20.0,6.0,20.0,12.0,20.0,20.0,15.0,20.0,17.0,13.0,13.0,18.0,20.0,19.0,15.0,15.0,20.0,20.0,16.96428571,3.271449366,28
club,15.0,15.0,18.0,16.0,11.0,18.0,11.0,20.0,17.0,15.0,20.0,11.0,16.0,15.0,14.0,17.0,12.0,15.0,18.0,11.0,6.0,12.0,10.0,17.0,15.0,13.0,14.0,11.0,14.39285714,3.281138981,28
dagger,16.0,14.0,19.0,17.0,19.0,20.0,19.0,20.0,20.0,18.0,15.0,16.0,20.0,17.0,20.0,17.0,14.0,18.0,19.0,11.0,14.0,16.0,17.0,20.0,19.0,16.0,12.0,19.0,17.21428571,2.543796272,28
double-barreled shotgun,15.0,14.0,17.0,18.0,17.0,20.0,18.0,18.0,20.0,19.0,20.0,1.0,20.0,15.0,18.0,18.0,13.0,12.0,11.0,12.0,13.0,18.0,20.0,19.0,20.0,19.0,20.0,19.0,16.57142857,4.176021245,28
grenade,16.0,16.0,17.0,17.0,19.0,20.0,17.0,12.0,18.0,16.0,20.0,8.0,20.0,11.0,20.0,17.0,20.0,20.0,19.0,20.0,15.0,18.0,13.0,18.0,20.0,18.0,20.0,20.0,17.32142857,3.127578301,28
knuckle dusters,16.0,12.0,10.0,13.0,18.0,20.0,5.0,17.0,12.0,12.0,6.0,12.0,20.0,10.0,1.0,13.0,10.0,10.0,6.0,15.0,4.0,12.0,15.0,17.0,1.0,8.0,6.0,10.0,11.10714286,5.187872508,28
machine gun,16.0,16.0,19.0,18.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,16.0,20.0,17.0,18.0,19.0,18.0,19.0,18.0,20.0,17.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,18.85714286,1.380131119,28
pistol,16.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,19.0,20.0,20.0,20.0,19.0,19.0,20.0,20.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.42857143,0.959497223,28
rifle,16.0,18.0,18.0,19.0,18.0,20.0,20.0,20.0,20.0,19.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.39285714,1.030615987,28
rope,5.0,10.0,5.0,9.0,1.0,1.0,5.0,1.0,15.0,10.0,1.0,1.0,1.0,1.0,10.0,6.0,1.0,10.0,6.0,2.0,2.0,6.0,4.0,9.0,1.0,3.0,12.0,8.0,5.214285714,4.121822169,28
shield,7.0,12.0,6.0,9.0,3.0,6.0,15.0,1.0,4.0,7.0,3.0,5.0,1.0,1.0,1.0,11.0,3.0,12.0,10.0,8.0,5.0,10.0,11.0,9.0,7.0,18.0,5.0,9.0,7.107142857,4.35753316,28
slingshot,7.0,13.0,16.0,14.0,16.0,10.0,3.0,6.0,8.0,11.0,7.0,13.0,20.0,5.0,20.0,14.0,8.0,7.0,13.0,10.0,11.0,10.0,13.0,15.0,15.0,16.0,10.0,13.0,11.57142857,4.272466296,28
spear,16.0,17.0,14.0,15.0,9.0,20.0,10.0,12.0,17.0,15.0,13.0,3.0,20.0,7.0,17.0,11.0,8.0,17.0,10.0,9.0,12.0,20.0,18.0,12.0,20.0,15.0,20.0,12.0,13.89285714,4.524331632,28
stick,15.0,15.0,7.0,12.0,9.0,10.0,3.0,10.0,7.0,10.0,3.0,14.0,14.0,1.0,14.0,9.0,5.0,10.0,15.0,3.0,4.0,10.0,6.0,9.0,2.0,11.0,12.0,12.0,9.0,4.294699576,28
sword,16.0,16.0,13.0,16.0,17.0,17.0,17.0,18.0,20.0,16.0,19.0,8.0,20.0,9.0,20.0,19.0,15.0,18.0,17.0,15.0,17.0,20.0,20.0,18.0,20.0,19.0,19.0,19.0,17.07142857,3.042033572,28
tank,16.0,16.0,10.0,11.0,8.0,15.0,15.0,6.0,13.0,15.0,11.0,2.0,20.0,8.0,20.0,4.0,20.0,20.0,16.0,14.0,15.0,14.0,8.0,8.0,20.0,10.0,13.0,20.0,13.14285714,5.14755811,28
whip,10.0,12.0,11.0,9.0,2.0,20.0,5.0,6.0,14.0,10.0,3.0,6.0,12.0,3.0,20.0,9.0,5.0,10.0,14.0,6.0,10.0,8.0,13.0,7.0,18.0,13.0,10.0,10.0,9.857142857,4.703932836,28
