exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,1.0,0.5529411764705883,0.5941176470588235,0.4088235294117647,0.5735294117647058,0.47352941176470587,0.6029411764705882,0.3911764705882353,0.3176470588235294,0.43235294117647055,0.33235294117647063,0.7029411764705882,0.27647058823529413,0.4294117647058823,0.5647058823529412,0.4088235294117647,0.3558823529411764,0.3382352941176471,0.27647058823529413,0.37941176470588234,0.6323529411764706,0.38823529411764707,0.4794117647058823,0.7,0.3205882352941177,0.5882352941176471,0.34411764705882353,0.3676470588235294,0.3588235294117647,0.55
canary,0.5529411764705883,1.0,0.6117647058823529,0.4117647058823529,0.3764705882352941,0.4882352941176471,0.4647058823529412,0.3764705882352941,0.3,0.3382352941176471,0.3588235294117647,0.4794117647058823,0.27941176470588236,0.3970588235294118,0.8176470588235294,0.5764705882352941,0.3823529411764706,0.3176470588235294,0.2735294117647059,0.37058823529411766,0.6441176470588236,0.42058823529411765,0.3588235294117647,0.6823529411764706,0.3029411764705882,0.45588235294117646,0.33235294117647063,0.3735294117647059,0.31470588235294117,0.4617647058823529
chickadee,0.5941176470588235,0.6117647058823529,1.0,0.4264705882352941,0.45294117647058824,0.4617647058823529,0.5382352941176471,0.38529411764705884,0.33235294117647063,0.38529411764705884,0.3264705882352941,0.5852941176470587,0.29117647058823526,0.3911764705882353,0.6352941176470588,0.3558823529411764,0.3235294117647059,0.3205882352941177,0.2735294117647059,0.3941176470588236,0.6705882352941177,0.3558823529411764,0.4882352941176471,0.7705882352941177,0.27941176470588236,0.5617647058823529,0.38823529411764707,0.3911764705882353,0.2852941176470588,0.5
chicken,0.4088235294117647,0.4117647058823529,0.4264705882352941,1.0,0.4352941176470588,0.4911764705882353,0.5794117647058823,0.6264705882352941,0.31176470588235294,0.4088235294117647,0.3764705882352941,0.42058823529411765,0.3911764705882353,0.40294117647058825,0.3676470588235294,0.4882352941176471,0.5294117647058824,0.44117647058823534,0.34411764705882353,0.6147058823529412,0.4117647058823529,0.8705882352941176,0.38529411764705884,0.4294117647058823,0.3735294117647059,0.35,0.44411764705882356,0.8176470588235294,0.31470588235294117,0.3411764705882353
crow,0.5735294117647058,0.3764705882352941,0.45294117647058824,0.4352941176470588,1.0,0.4676470588235294,0.4676470588235294,0.38823529411764707,0.4676470588235294,0.5529411764705883,0.5352941176470588,0.7441176470588236,0.4,0.42058823529411765,0.37058823529411766,0.4588235294117647,0.3764705882352941,0.3970588235294118,0.30588235294117644,0.4176470588235294,0.35,0.4147058823529412,0.5264705882352941,0.4382352941176471,0.38529411764705884,0.5176470588235295,0.3411764705882353,0.4264705882352941,0.55,0.6323529411764706
cuckoo,0.47352941176470587,0.4882352941176471,0.4617647058823529,0.4911764705882353,0.4676470588235294,1.0,0.6088235294117647,0.45294117647058824,0.3529411764705882,0.4588235294117647,0.3764705882352941,0.4970588235294118,0.34705882352941175,0.5852941176470587,0.45,0.5,0.3764705882352941,0.40588235294117647,0.31176470588235294,0.4970588235294118,0.5470588235294118,0.4676470588235294,0.4588235294117647,0.5264705882352941,0.4088235294117647,0.5705882352941176,0.3588235294117647,0.38823529411764707,0.4235294117647059,0.4970588235294118
dove,0.6029411764705882,0.4647058823529412,0.5382352941176471,0.5794117647058823,0.4676470588235294,0.6088235294117647,1.0,0.5411764705882354,0.3970588235294118,0.5117647058823529,0.3911764705882353,0.55,0.2647058823529412,0.4617647058823529,0.5176470588235295,0.45588235294117646,0.4764705882352941,0.3529411764705882,0.2852941176470588,0.47352941176470587,0.5735294117647058,0.4,0.6441176470588236,0.5088235294117647,0.4,0.5470588235294118,0.4264705882352941,0.4970588235294118,0.36470588235294116,0.5294117647058824
duck,0.3911764705882353,0.3764705882352941,0.38529411764705884,0.6264705882352941,0.38823529411764707,0.45294117647058824,0.5411764705882354,1.0,0.34705882352941175,0.3911764705882353,0.40588235294117647,0.40294117647058825,0.3588235294117647,0.38529411764705884,0.37941176470588234,0.35,0.44117647058823534,0.5058823529411764,0.4647058823529412,0.5794117647058823,0.37058823529411766,0.5088235294117647,0.4294117647058823,0.3588235294117647,0.3764705882352941,0.4117647058823529,0.7617647058823529,0.6558823529411765,0.30588235294117644,0.3088235294117647
eagle,0.3176470588235294,0.3,0.33235294117647063,0.31176470588235294,0.4676470588235294,0.3529411764705882,0.3970588235294118,0.34705882352941175,1.0,0.7647058823529412,0.5852941176470587,0.42058823529411765,0.4264705882352941,0.5294117647058824,0.33529411764705885,0.4235294117647059,0.3823529411764706,0.3941176470588236,0.2705882352941177,0.38529411764705884,0.3235294117647059,0.36470588235294116,0.44411764705882356,0.3529411764705882,0.48529411764705876,0.38529411764705884,0.32941176470588235,0.3823529411764706,0.7411764705882353,0.4647058823529412
falcon,0.43235294117647055,0.3382352941176471,0.38529411764705884,0.4088235294117647,0.5529411764705883,0.4588235294117647,0.5117647058823529,0.3911764705882353,0.7647058823529412,1.0,0.5529411764705883,0.4617647058823529,0.36176470588235293,0.6117647058823529,0.40588235294117647,0.4264705882352941,0.4294117647058823,0.3735294117647059,0.27941176470588236,0.45294117647058824,0.35,0.4147058823529412,0.45294117647058824,0.4470588235294118,0.44411764705882356,0.5205882352941177,0.34705882352941175,0.3735294117647059,0.6647058823529413,0.48529411764705876
heron,0.33235294117647063,0.3588235294117647,0.3264705882352941,0.3764705882352941,0.5352941176470588,0.3764705882352941,0.3911764705882353,0.40588235294117647,0.5852941176470587,0.5529411764705883,1.0,0.4882352941176471,0.5029411764705882,0.40294117647058825,0.3676470588235294,0.4147058823529412,0.47352941176470587,0.5823529411764705,0.3088235294117647,0.44117647058823534,0.3264705882352941,0.4088235294117647,0.5117647058823529,0.38823529411764707,0.75,0.49411764705882355,0.5558823529411765,0.36176470588235293,0.5823529411764705,0.47058823529411764
magpie,0.7029411764705882,0.4794117647058823,0.5852941176470587,0.42058823529411765,0.7441176470588236,0.4970588235294118,0.55,0.40294117647058825,0.42058823529411765,0.4617647058823529,0.4882352941176471,1.0,0.33235294117647063,0.45588235294117646,0.4588235294117647,0.45,0.3970588235294118,0.36470588235294116,0.24705882352941178,0.4,0.4911764705882353,0.4088235294117647,0.5470588235294118,0.6,0.34411764705882353,0.6529411764705882,0.3176470588235294,0.36470588235294116,0.45,0.6617647058823529
ostrich,0.27647058823529413,0.27941176470588236,0.29117647058823526,0.3911764705882353,0.4,0.34705882352941175,0.2647058823529412,0.3588235294117647,0.4264705882352941,0.36176470588235293,0.5029411764705882,0.33235294117647063,1.0,0.36176470588235293,0.3088235294117647,0.3529411764705882,0.45,0.4617647058823529,0.3529411764705882,0.5117647058823529,0.2823529411764706,0.34705882352941175,0.3382352941176471,0.29411764705882354,0.5294117647058824,0.3529411764705882,0.4588235294117647,0.5470588235294118,0.5470588235294118,0.34411764705882353
owl,0.4294117647058823,0.3970588235294118,0.3911764705882353,0.40294117647058825,0.42058823529411765,0.5852941176470587,0.4617647058823529,0.38529411764705884,0.5294117647058824,0.6117647058823529,0.40294117647058825,0.45588235294117646,0.36176470588235293,1.0,0.36470588235294116,0.47352941176470587,0.37941176470588234,0.34411764705882353,0.29411764705882354,0.4264705882352941,0.38529411764705884,0.44411764705882356,0.37941176470588234,0.4294117647058823,0.4676470588235294,0.44117647058823534,0.3264705882352941,0.3764705882352941,0.4176470588235294,0.4970588235294118
parakeet,0.5647058823529412,0.8176470588235294,0.6352941176470588,0.3676470588235294,0.37058823529411766,0.45,0.5176470588235295,0.37941176470588234,0.33529411764705885,0.40588235294117647,0.3676470588235294,0.4588235294117647,0.3088235294117647,0.36470588235294116,1.0,0.7117647058823529,0.4647058823529412,0.34705882352941175,0.2235294117647059,0.3970588235294118,0.6647058823529413,0.44117647058823534,0.44117647058823534,0.5764705882352941,0.29705882352941176,0.4235294117647059,0.36176470588235293,0.29411764705882354,0.33235294117647063,0.48235294117647054
parrot,0.4088235294117647,0.5764705882352941,0.3558823529411764,0.4882352941176471,0.4588235294117647,0.5,0.45588235294117646,0.35,0.4235294117647059,0.4264705882352941,0.4147058823529412,0.45,0.3529411764705882,0.47352941176470587,0.7117647058823529,1.0,0.49411764705882355,0.44411764705882356,0.27647058823529413,0.4147058823529412,0.43235294117647055,0.4647058823529412,0.44117647058823534,0.34411764705882353,0.3941176470588236,0.40588235294117647,0.34411764705882353,0.37941176470588234,0.4,0.5323529411764706
peacock,0.3558823529411764,0.3823529411764706,0.3235294117647059,0.5294117647058824,0.3764705882352941,0.3764705882352941,0.4764705882352941,0.44117647058823534,0.3823529411764706,0.4294117647058823,0.47352941176470587,0.3970588235294118,0.45,0.37941176470588234,0.4647058823529412,0.49411764705882355,1.0,0.4147058823529412,0.2852941176470588,0.5911764705882353,0.3735294117647059,0.5647058823529412,0.4235294117647059,0.3176470588235294,0.4588235294117647,0.4117647058823529,0.5,0.6294117647058823,0.4470588235294118,0.37941176470588234
pelican,0.3382352941176471,0.3176470588235294,0.3205882352941177,0.44117647058823534,0.3970588235294118,0.40588235294117647,0.3529411764705882,0.5058823529411764,0.3941176470588236,0.3735294117647059,0.5823529411764705,0.36470588235294116,0.4617647058823529,0.34411764705882353,0.34705882352941175,0.44411764705882356,0.4147058823529412,1.0,0.4235294117647059,0.4235294117647059,0.3176470588235294,0.3529411764705882,0.5147058823529412,0.29705882352941176,0.7,0.37058823529411766,0.5970588235294118,0.5147058823529412,0.4470588235294118,0.37058823529411766
penguin,0.27647058823529413,0.2735294117647059,0.2735294117647059,0.34411764705882353,0.30588235294117644,0.31176470588235294,0.2852941176470588,0.4647058823529412,0.2705882352941177,0.27941176470588236,0.3088235294117647,0.24705882352941178,0.3529411764705882,0.29411764705882354,0.2235294117647059,0.27647058823529413,0.2852941176470588,0.4235294117647059,1.0,0.25588235294117645,0.27647058823529413,0.2323529411764706,0.3676470588235294,0.2705882352941177,0.3764705882352941,0.3411764705882353,0.38823529411764707,0.33235294117647063,0.24411764705882355,0.27647058823529413
pheasant,0.37941176470588234,0.37058823529411766,0.3941176470588236,0.6147058823529412,0.4176470588235294,0.4970588235294118,0.47352941176470587,0.5794117647058823,0.38529411764705884,0.45294117647058824,0.44117647058823534,0.4,0.5117647058823529,0.4264705882352941,0.3970588235294118,0.4147058823529412,0.5911764705882353,0.4235294117647059,0.25588235294117645,1.0,0.37058823529411766,0.6176470588235294,0.4294117647058823,0.3941176470588236,0.4264705882352941,0.4088235294117647,0.4088235294117647,0.7058823529411764,0.4176470588235294,0.44411764705882356
robin,0.6323529411764706,0.6441176470588236,0.6705882352941177,0.4117647058823529,0.35,0.5470588235294118,0.5735294117647058,0.37058823529411766,0.3235294117647059,0.35,0.3264705882352941,0.4911764705882353,0.2823529411764706,0.38529411764705884,0.6647058823529413,0.43235294117647055,0.3735294117647059,0.3176470588235294,0.27647058823529413,0.37058823529411766,1.0,0.38529411764705884,0.4294117647058823,0.7735294117647059,0.3,0.4794117647058823,0.34411764705882353,0.3676470588235294,0.27941176470588236,0.47058823529411764
rooster,0.38823529411764707,0.42058823529411765,0.3558823529411764,0.8705882352941176,0.4147058823529412,0.4676470588235294,0.4,0.5088235294117647,0.36470588235294116,0.4147058823529412,0.4088235294117647,0.4088235294117647,0.34705882352941175,0.44411764705882356,0.44117647058823534,0.4647058823529412,0.5647058823529412,0.3529411764705882,0.2323529411764706,0.6176470588235294,0.38529411764705884,1.0,0.3911764705882353,0.37058823529411766,0.3,0.37058823529411766,0.3735294117647059,0.6176470588235294,0.40294117647058825,0.43235294117647055
seagull,0.4794117647058823,0.3588235294117647,0.4882352941176471,0.38529411764705884,0.5264705882352941,0.4588235294117647,0.6441176470588236,0.4294117647058823,0.44411764705882356,0.45294117647058824,0.5117647058823529,0.5470588235294118,0.3382352941176471,0.37941176470588234,0.44117647058823534,0.44117647058823534,0.4235294117647059,0.5147058823529412,0.3676470588235294,0.4294117647058823,0.4294117647058823,0.3911764705882353,1.0,0.4294117647058823,0.48529411764705876,0.6441176470588236,0.47352941176470587,0.38823529411764707,0.42058823529411765,0.48235294117647054
