exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,16.0,6.0,8.0,7.0,4.0,8.0,7.0,3.0,4.0,2.0,14.0,9.0,10.0,9.0,8.0,3.0,6.0,9.0,6.0,6.0,8.0,3.0,12.0,4.0,6.0,5.0,3.0,6.0,9.0
canary,16.0,20.0,4.0,2.0,5.0,6.0,8.0,7.0,14.0,6.0,9.0,11.0,5.0,13.0,15.0,12.0,11.0,4.0,5.0,8.0,11.0,9.0,5.0,8.0,7.0,5.0,18.0,15.0,12.0,9.0
chickadee,6.0,4.0,20.0,7.0,5.0,1.0,8.0,7.0,6.0,6.0,9.0,11.0,7.0,7.0,12.0,5.0,9.0,6.0,3.0,14.0,5.0,4.0,12.0,7.0,3.0,7.0,14.0,14.0,3.0,1.0
chicken,8.0,2.0,7.0,20.0,13.0,19.0,4.0,17.0,8.0,13.0,5.0,4.0,3.0,5.0,1.0,9.0,9.0,4.0,9.0,14.0,4.0,12.0,2.0,14.0,9.0,4.0,3.0,20.0,4.0,2.0
crow,7.0,5.0,5.0,13.0,20.0,4.0,4.0,9.0,2.0,9.0,17.0,14.0,15.0,9.0,6.0,9.0,5.0,9.0,3.0,4.0,7.0,2.0,2.0,14.0,5.0,5.0,12.0,14.0,2.0,14.0
cuckoo,4.0,6.0,1.0,19.0,4.0,20.0,12.0,10.0,7.0,4.0,9.0,8.0,6.0,7.0,3.0,14.0,5.0,4.0,15.0,3.0,12.0,8.0,5.0,19.0,5.0,10.0,1.0,7.0,14.0,4.0
dove,8.0,8.0,8.0,4.0,4.0,12.0,20.0,11.0,11.0,14.0,7.0,5.0,1.0,7.0,16.0,9.0,11.0,7.0,9.0,8.0,10.0,10.0,19.0,11.0,5.0,9.0,17.0,9.0,5.0,14.0
duck,7.0,7.0,7.0,17.0,9.0,10.0,11.0,20.0,18.0,9.0,6.0,17.0,8.0,4.0,4.0,5.0,12.0,13.0,10.0,5.0,11.0,8.0,9.0,3.0,4.0,7.0,17.0,17.0,10.0,2.0
eagle,3.0,14.0,6.0,8.0,2.0,7.0,11.0,18.0,20.0,11.0,5.0,8.0,6.0,6.0,14.0,10.0,3.0,15.0,1.0,2.0,13.0,5.0,13.0,6.0,9.0,6.0,4.0,3.0,3.0,14.0
falcon,4.0,6.0,6.0,13.0,9.0,4.0,14.0,9.0,11.0,20.0,8.0,8.0,4.0,11.0,11.0,13.0,13.0,7.0,12.0,15.0,3.0,9.0,11.0,15.0,9.0,7.0,6.0,9.0,5.0,8.0
heron,2.0,9.0,9.0,5.0,17.0,9.0,7.0,6.0,5.0,8.0,20.0,16.0,9.0,5.0,9.0,8.0,12.0,8.0,13.0,5.0,10.0,6.0,11.0,5.0,7.0,11.0,11.0,4.0,11.0,13.0
magpie,14.0,11.0,11.0,4.0,14.0,8.0,5.0,17.0,8.0,8.0,16.0,20.0,7.0,8.0,12.0,9.0,15.0,6.0,1.0,16.0,17.0,15.0,8.0,9.0,7.0,11.0,12.0,14.0,1.0,8.0
ostrich,9.0,5.0,7.0,3.0,15.0,6.0,1.0,8.0,6.0,4.0,9.0,7.0,20.0,7.0,6.0,2.0,8.0,15.0,14.0,9.0,4.0,5.0,4.0,10.0,9.0,7.0,12.0,9.0,17.0,4.0
owl,10.0,13.0,7.0,5.0,9.0,7.0,7.0,4.0,6.0,11.0,5.0,8.0,7.0,20.0,2.0,9.0,7.0,3.0,1.0,6.0,5.0,2.0,3.0,12.0,17.0,8.0,3.0,8.0,1.0,14.0
parakeet,9.0,15.0,12.0,1.0,6.0,3.0,16.0,4.0,14.0,11.0,9.0,12.0,6.0,2.0,20.0,19.0,12.0,16.0,1.0,6.0,15.0,16.0,10.0,9.0,2.0,6.0,15.0,3.0,12.0,6.0
parrot,8.0,12.0,5.0,9.0,9.0,14.0,9.0,5.0,10.0,13.0,8.0,9.0,2.0,9.0,19.0,20.0,4.0,10.0,5.0,14.0,9.0,16.0,7.0,3.0,9.0,1.0,6.0,8.0,7.0,6.0
peacock,3.0,11.0,9.0,9.0,5.0,5.0,11.0,12.0,3.0,13.0,12.0,15.0,8.0,7.0,12.0,4.0,20.0,11.0,1.0,14.0,13.0,2.0,7.0,6.0,12.0,9.0,17.0,12.0,4.0,8.0
pelican,6.0,4.0,6.0,4.0,9.0,4.0,7.0,13.0,15.0,7.0,8.0,6.0,15.0,3.0,16.0,10.0,11.0,20.0,7.0,12.0,12.0,6.0,7.0,8.0,18.0,8.0,6.0,11.0,6.0,5.0
penguin,9.0,5.0,3.0,9.0,3.0,15.0,9.0,10.0,1.0,12.0,13.0,1.0,14.0,1.0,1.0,5.0,1.0,7.0,20.0,1.0,1.0,1.0,1.0,6.0,1.0,15.0,12.0,3.0,1.0,8.0
pheasant,6.0,8.0,14.0,14.0,4.0,3.0,8.0,5.0,2.0,15.0,5.0,16.0,9.0,6.0,6.0,14.0,14.0,12.0,1.0,20.0,12.0,18.0,7.0,19.0,8.0,9.0,2.0,12.0,6.0,8.0
robin,6.0,11.0,5.0,4.0,7.0,12.0,10.0,11.0,13.0,3.0,10.0,17.0,4.0,5.0,15.0,9.0,13.0,12.0,1.0,12.0,20.0,12.0,15.0,17.0,6.0,6.0,14.0,6.0,1.0,5.0
rooster,8.0,9.0,4.0,12.0,2.0,8.0,10.0,8.0,5.0,9.0,6.0,15.0,5.0,2.0,16.0,16.0,2.0,6.0,1.0,18.0,12.0,20.0,11.0,11.0,4.0,7.0,9.0,8.0,13.0,13.0
seagull,3.0,5.0,12.0,2.0,2.0,5.0,19.0,9.0,13.0,11.0,11.0,8.0,4.0,3.0,10.0,7.0,7.0,7.0,1.0,7.0,15.0,11.0,20.0,8.0,9.0,16.0,6.0,14.0,7.0,9.0
sparrow,12.0,8.0,7.0,14.0,14.0,19.0,11.0,3.0,6.0,15.0,5.0,9.0,10.0,12.0,9.0,3.0,6.0,8.0,6.0,19.0,17.0,11.0,8.0,20.0,14.0,7.0,11.0,9.0,6.0,12.0
stork,4.0,7.0,3.0,9.0,5.0,5.0,5.0,4.0,9.0,9.0,7.0,7.0,9.0,17.0,2.0,9.0,12.0,18.0,1.0,8.0,6.0,4.0,9.0,14.0,20.0,4.0,13.0,8.0,8.0,4.0
swallow,6.0,5.0,7.0,4.0,5.0,10.0,9.0,7.0,6.0,7.0,11.0,11.0,7.0,8.0,6.0,1.0,9.0,8.0,15.0,9.0,6.0,7.0,16.0,7.0,4.0,20.0,10.0,9.0,8.0,18.0
swan,5.0,18.0,14.0,3.0,12.0,1.0,17.0,17.0,4.0,6.0,11.0,12.0,12.0,3.0,15.0,6.0,17.0,6.0,12.0,2.0,14.0,9.0,6.0,11.0,13.0,10.0,20.0,1.0,4.0,13.0
turkey,3.0,15.0,14.0,20.0,14.0,7.0,9.0,17.0,3.0,9.0,4.0,14.0,9.0,8.0,3.0,8.0,12.0,11.0,3.0,12.0,6.0,8.0,14.0,9.0,8.0,9.0,1.0,20.0,5.0,6.0
vulture,6.0,12.0,3.0,4.0,2.0,14.0,5.0,10.0,3.0,5.0,11.0,1.0,17.0,1.0,12.0,7.0,4.0,6.0,1.0,6.0,1.0,13.0,7.0,6.0,8.0,8.0,4.0,5.0,20.0,9.0
woodpecker,9.0,9.0,1.0,2.0,14.0,4.0,14.0,2.0,14.0,8.0,13.0,8.0,4.0,14.0,6.0,6.0,8.0,5.0,8.0,8.0,5.0,13.0,9.0,12.0,4.0,18.0,13.0,6.0,9.0,20.0
