exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,7.0,,1.0,1.0,1.0,2.0,2.0,12.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
beanie,1.0,20.0,1.0,1.0,1.0,2.0,12.0,5.0,1.0,,11.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
belt,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
blouse,1.0,1.0,1.0,20.0,1.0,2.0,1.0,6.0,6.0,,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,12.0,1.0,1.0,2.0,1.0,9.0,9.0,14.0,2.0,4.0,2.0
boots,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0
bra,9.0,2.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,6.0,2.0
cap,1.0,12.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,15.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
coat,1.0,5.0,1.0,6.0,1.0,1.0,1.0,20.0,6.0,,1.0,1.0,1.0,1.0,1.0,9.0,6.0,1.0,4.0,1.0,1.0,6.0,1.0,5.0,4.0,5.0,1.0,2.0,1.0
dress,7.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,20.0,,1.0,1.0,1.0,1.0,2.0,7.0,12.0,1.0,8.0,1.0,2.0,9.0,1.0,2.0,6.0,6.0,2.0,5.0,5.0
dungarees,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
hat,1.0,11.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
jeans,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,20.0,1.0,2.0,19.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
