exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,1.0,0.44333333333333336,0.4125,0.284375,0.45,0.4125,0.50625,0.478125,0.25,0.3625,0.4166666666666667,0.48666666666666664,0.44375,0.415625,0.7875,0.340625,0.45,0.32333333333333336,0.240625,0.5133333333333334,0.32666666666666666,0.440625,0.29375
carp,0.44333333333333336,1.0,0.571875,0.384375,0.47333333333333333,0.4714285714285714,0.42666666666666664,0.59375,0.340625,0.6625,0.5133333333333334,0.3933333333333333,0.45384615384615384,0.559375,0.45999999999999996,0.346875,0.42333333333333334,0.39375,0.3125,0.6133333333333334,0.421875,0.6066666666666667,0.35
cod,0.4125,0.571875,1.0,0.34705882352941175,0.459375,0.4766666666666667,0.428125,0.5911764705882353,0.3205882352941177,0.5882352941176471,0.415625,0.48,0.509375,0.65,0.43125,0.396875,0.565625,0.359375,0.29411764705882354,0.5566666666666666,0.39666666666666667,0.6599999999999999,0.36176470588235293
dolphin,0.284375,0.384375,0.34705882352941175,1.0,0.3625,0.32666666666666666,0.3176470588235294,0.32941176470588235,0.6058823529411764,0.3823529411764706,0.2625,0.3066666666666667,0.3375,0.3529411764705882,0.28125,0.5529411764705883,0.325,0.521875,0.30588235294117644,0.37,0.4375,0.403125,0.6352941176470588
eel,0.45,0.47333333333333333,0.459375,0.3625,1.0,0.47000000000000003,0.371875,0.509375,0.265625,0.471875,0.35333333333333333,0.47333333333333333,0.440625,0.44375,0.465625,0.284375,0.48125,0.31666666666666665,0.3375,0.4166666666666667,0.35,0.609375,0.325
flatfish,0.4125,0.4714285714285714,0.4766666666666667,0.32666666666666666,0.47000000000000003,1.0,0.36,0.48,0.36,0.42333333333333334,0.3678571428571428,0.73,0.5666666666666667,0.4428571428571429,0.4333333333333333,0.33999999999999997,0.6533333333333333,0.37333333333333335,0.37666666666666665,0.4766666666666667,0.4166666666666667,0.51,0.38333333333333336
goldfish,0.50625,0.42666666666666664,0.428125,0.3176470588235294,0.371875,0.36,1.0,0.40294117647058825,0.2852941176470588,0.4147058823529412,0.365625,0.4,0.315625,0.36470588235294116,0.50625,0.29117647058823526,0.334375,0.315625,0.27647058823529413,0.45666666666666667,0.26875,0.396875,0.34705882352941175
herring,0.478125,0.59375,0.5911764705882353,0.32941176470588235,0.509375,0.48,0.40294117647058825,1.0,0.3911764705882353,0.55,0.396875,0.44666666666666666,0.5125,0.6125,0.60625,0.34705882352941175,0.54375,0.3375,0.33235294117647063,0.54,0.35625,0.63125,0.3176470588235294
orca,0.25,0.340625,0.3205882352941177,0.6058823529411764,0.265625,0.36,0.2852941176470588,0.3911764705882353,1.0,0.35,0.384375,0.32333333333333336,0.284375,0.3676470588235294,0.265625,0.6764705882352942,0.303125,0.684375,0.3205882352941177,0.35,0.51875,0.4,0.8029411764705883
pike,0.3625,0.6625,0.5882352941176471,0.3823529411764706,0.471875,0.42333333333333334,0.4147058823529412,0.55,0.35,1.0,0.421875,0.52,0.396875,0.4794117647058823,0.3875,0.4617647058823529,0.5375,0.38125,0.3676470588235294,0.5733333333333334,0.475,0.609375,0.3588235294117647
