exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,,5.0,2.0,6.0,,9.0,4.0,4.0,6.0,7.0,,6.0,7.0,16.0,10.0,7.0,,8.0,,,7.0,5.0
carp,,20.0,,,,,,,,,,,,,,,,,,,,,
cod,5.0,,20.0,5.0,8.0,,8.0,12.0,7.0,15.0,9.0,,12.0,15.0,7.0,8.0,14.0,,7.0,,,,11.0
dolphin,2.0,,5.0,20.0,6.0,,11.0,7.0,10.0,10.0,7.0,,7.0,5.0,5.0,11.0,5.0,,9.0,,,6.0,10.0
eel,6.0,,8.0,6.0,20.0,,9.0,5.0,4.0,10.0,10.0,,10.0,7.0,5.0,6.0,10.0,,6.0,,,13.0,9.0
flatfish,,,,,,20.0,,,,,,,,,,,,,,,,,
goldfish,9.0,,8.0,11.0,9.0,,20.0,8.0,2.0,8.0,6.0,,7.0,7.0,10.0,4.0,9.0,,7.0,,,7.0,12.0
herring,4.0,,12.0,7.0,5.0,,8.0,20.0,9.0,15.0,8.0,,11.0,11.0,5.0,5.0,15.0,,9.0,,,14.0,7.0
orca,4.0,,7.0,10.0,4.0,,2.0,9.0,20.0,5.0,7.0,,5.0,7.0,9.0,14.0,7.0,,9.0,,,8.0,18.0
pike,6.0,,15.0,10.0,10.0,,8.0,15.0,5.0,20.0,10.0,,15.0,16.0,4.0,5.0,14.0,,11.0,,,15.0,7.0
piranha,7.0,,9.0,7.0,10.0,,6.0,8.0,7.0,10.0,20.0,,10.0,12.0,4.0,11.0,11.0,,10.0,,,,11.0
plaice,,,,,,,,,,,,20.0,,,,,,,,,,,
ray,6.0,,12.0,7.0,10.0,,7.0,11.0,5.0,15.0,10.0,,20.0,12.0,5.0,12.0,14.0,,12.0,,,15.0,5.0
salmon,7.0,,15.0,5.0,7.0,,7.0,11.0,7.0,16.0,12.0,,12.0,20.0,7.0,8.0,18.0,,7.0,,,15.0,5.0
sardine,16.0,,7.0,5.0,5.0,,10.0,5.0,9.0,4.0,4.0,,5.0,7.0,20.0,6.0,11.0,,11.0,,,6.0,2.0
shark,10.0,,8.0,11.0,6.0,,4.0,5.0,14.0,5.0,11.0,,12.0,8.0,6.0,20.0,8.0,,8.0,,,11.0,17.0
sole,7.0,,14.0,5.0,10.0,,9.0,15.0,7.0,14.0,11.0,,14.0,18.0,11.0,8.0,20.0,,7.0,,,14.0,9.0
sperm whale,,,,,,,,,,,,,,,,,,20.0,,,,,
squid,8.0,,7.0,9.0,6.0,,7.0,9.0,9.0,11.0,10.0,,12.0,7.0,11.0,8.0,7.0,,20.0,,,5.0,10.0
stickleback,,,,,,,,,,,,,,,,,,,,20.0,,,
swordfish,,,,,,,,,,,,,,,,,,,,,20.0,,
trout,7.0,,,6.0,13.0,,7.0,14.0,8.0,15.0,,,15.0,15.0,6.0,11.0,14.0,,5.0,,,20.0,5.0
whale,5.0,,11.0,10.0,9.0,,12.0,7.0,18.0,7.0,11.0,,5.0,5.0,2.0,17.0,9.0,,10.0,,,5.0,20.0
