exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,1.0,0.5361111111111111,0.38055555555555554,0.29444444444444445,0.32222222222222224,0.3416666666666667,0.33611111111111114,0.38055555555555554,0.4333333333333333,0.38055555555555554,0.4416666666666667,0.48611111111111105,0.4638888888888889,0.4416666666666667,0.34411764705882353,0.44722222222222224,0.47777777777777775,0.4611111111111111,0.5833333333333333,0.5888888888888889,0.43235294117647055,0.39722222222222225,0.525,0.6527777777777778,0.3138888888888889,0.513888888888889,0.4111111111111111,0.31666666666666665,0.32666666666666666,0.3416666666666667
apricot,0.5361111111111111,1.0,0.3111111111111111,0.3277777777777778,0.3555555555555555,0.3888888888888889,0.3555555555555555,0.5416666666666667,0.5472222222222223,0.41944444444444445,0.4527777777777778,0.425,0.48888888888888893,0.46944444444444444,0.4764705882352941,0.5722222222222222,0.513888888888889,0.49444444444444446,0.6833333333333333,0.5166666666666667,0.6117647058823529,0.48611111111111105,0.75,0.5222222222222223,0.37222222222222223,0.7555555555555555,0.3,0.36944444444444446,0.36,0.35277777777777775
banana,0.38055555555555554,0.3111111111111111,1.0,0.25833333333333336,0.27222222222222225,0.2972222222222222,0.2833333333333333,0.32222222222222224,0.2972222222222222,0.3055555555555555,0.29444444444444445,0.33611111111111114,0.3194444444444445,0.34444444444444444,0.2647058823529412,0.31666666666666665,0.32222222222222224,0.3638888888888889,0.3611111111111111,0.4027777777777778,0.3176470588235294,0.32222222222222224,0.36666666666666664,0.3888888888888889,0.39722222222222225,0.2972222222222222,0.2611111111111111,0.2777777777777778,0.3066666666666667,0.36666666666666664
blackberry,0.29444444444444445,0.3277777777777778,0.25833333333333336,1.0,0.8861111111111111,0.7277777777777777,0.29166666666666663,0.4333333333333333,0.35277777777777775,0.5305555555555556,0.30277777777777776,0.5027777777777778,0.325,0.3235294117647059,0.36470588235294116,0.3638888888888889,0.28055555555555556,0.24722222222222223,0.325,0.2833333333333333,0.35625,0.33611111111111114,0.3472222222222222,0.29166666666666663,0.28055555555555556,0.4111111111111111,0.23888888888888887,0.8194444444444444,0.77,0.5722222222222222
blueberry,0.32222222222222224,0.3555555555555555,0.27222222222222225,0.8861111111111111,1.0,0.6722222222222223,0.25,0.3888888888888889,0.42777777777777776,0.5722222222222222,0.325,0.4333333333333333,0.2777777777777778,0.2638888888888889,0.4117647058823529,0.39722222222222225,0.2833333333333333,0.30277777777777776,0.3388888888888889,0.3194444444444445,0.37941176470588234,0.3194444444444445,0.34444444444444444,0.3194444444444445,0.2694444444444445,0.43611111111111106,0.25555555555555554,0.7388888888888889,0.7366666666666666,0.5333333333333333
cherry,0.3416666666666667,0.3888888888888889,0.2972222222222222,0.7277777777777777,0.6722222222222223,1.0,0.2861111111111111,0.39722222222222225,0.43611111111111106,0.6555555555555556,0.2861111111111111,0.4083333333333333,0.3277777777777778,0.325,0.44117647058823534,0.3,0.3416666666666667,0.35,0.37777777777777777,0.36944444444444446,0.4147058823529412,0.3611111111111111,0.4333333333333333,0.3638888888888889,0.275,0.48888888888888893,0.22777777777777777,0.6138888888888889,0.7233333333333334,0.6277777777777778
coconut,0.33611111111111114,0.3555555555555555,0.2833333333333333,0.29166666666666663,0.25,0.2861111111111111,1.0,0.3138888888888889,0.3555555555555555,0.30277777777777776,0.4333333333333333,0.4444444444444445,0.35277777777777775,0.48611111111111105,0.42058823529411765,0.3277777777777778,0.4166666666666667,0.4527777777777778,0.3388888888888889,0.3472222222222222,0.55,0.4083333333333333,0.35277777777777775,0.2694444444444445,0.5666666666666667,0.3611111111111111,0.33333333333333337,0.2972222222222222,0.3433333333333333,0.24444444444444446
dates,0.38055555555555554,0.5416666666666667,0.32222222222222224,0.4333333333333333,0.3888888888888889,0.39722222222222225,0.3138888888888889,1.0,0.7777777777777778,0.5027777777777778,0.36944444444444446,0.42777777777777776,0.38333333333333336,0.3555555555555555,0.55,0.32222222222222224,0.3638888888888889,0.3888888888888889,0.39722222222222225,0.3944444444444445,0.37058823529411766,0.4027777777777778,0.38055555555555554,0.4638888888888889,0.26666666666666666,0.611111111111111,0.2361111111111111,0.4027777777777778,0.3566666666666667,0.425
fig,0.4333333333333333,0.5472222222222223,0.2972222222222222,0.35277777777777775,0.42777777777777776,0.43611111111111106,0.3555555555555555,0.7777777777777778,1.0,0.5888888888888889,0.4027777777777778,0.4666666666666667,0.4305555555555555,0.40555555555555556,0.55,0.325,0.44722222222222224,0.4583333333333333,0.41944444444444445,0.48888888888888893,0.4147058823529412,0.4583333333333333,0.42777777777777776,0.4916666666666667,0.2972222222222222,0.611111111111111,0.24444444444444446,0.40555555555555556,0.43,0.4333333333333333
grape,0.38055555555555554,0.41944444444444445,0.3055555555555555,0.5305555555555556,0.5722222222222222,0.6555555555555556,0.30277777777777776,0.5027777777777778,0.5888888888888889,1.0,0.45555555555555555,0.4222222222222222,0.375,0.3388888888888889,0.5294117647058824,0.49444444444444446,0.3611111111111111,0.36944444444444446,0.39722222222222225,0.33055555555555555,0.4294117647058823,0.4027777777777778,0.4,0.33333333333333337,0.25833333333333336,0.5416666666666667,0.23888888888888887,0.538888888888889,0.5599999999999999,0.4527777777777778
