exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,12.0,6.0,4.0,4.0,5.0,4.0,5.0,8.0,9.0,7.0,9.0,7.0,8.0,4.0,9.0,8.0,8.0,9.0,8.0,8.0,6.0,8.0,8.0,5.0,11.0,4.0,4.0,6.0,6.0
apricot,12.0,20.0,8.0,5.0,6.0,7.0,5.0,12.0,11.0,8.0,9.0,6.0,7.0,5.0,8.0,16.0,14.0,11.0,17.0,11.0,12.0,9.0,17.0,8.0,8.0,14.0,6.0,4.0,5.0,8.0
banana,6.0,8.0,20.0,4.0,3.0,7.0,5.0,8.0,8.0,5.0,4.0,9.0,6.0,5.0,8.0,5.0,11.0,10.0,7.0,9.0,8.0,5.0,4.0,8.0,9.0,4.0,4.0,4.0,4.0,5.0
blackberry,4.0,5.0,4.0,20.0,18.0,7.0,3.0,11.0,11.0,8.0,6.0,8.0,6.0,4.0,6.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,15.0,4.0,4.0,7.0,4.0,17.0,18.0,11.0
blueberry,4.0,6.0,3.0,18.0,20.0,8.0,3.0,6.0,9.0,12.0,4.0,5.0,4.0,8.0,8.0,5.0,7.0,5.0,6.0,4.0,4.0,8.0,4.0,4.0,4.0,7.0,3.0,14.0,16.0,9.0
cherry,5.0,7.0,7.0,7.0,8.0,20.0,3.0,6.0,8.0,17.0,6.0,11.0,6.0,7.0,8.0,6.0,8.0,6.0,9.0,6.0,4.0,6.0,6.0,8.0,6.0,11.0,3.0,9.0,5.0,6.0
coconut,4.0,5.0,5.0,3.0,3.0,3.0,20.0,11.0,6.0,4.0,4.0,9.0,6.0,8.0,9.0,4.0,7.0,11.0,8.0,6.0,8.0,8.0,4.0,5.0,11.0,6.0,4.0,3.0,6.0,5.0
dates,5.0,12.0,8.0,11.0,6.0,6.0,11.0,20.0,15.0,14.0,6.0,6.0,6.0,9.0,14.0,7.0,9.0,9.0,7.0,4.0,8.0,12.0,9.0,7.0,7.0,11.0,4.0,7.0,7.0,6.0
fig,8.0,11.0,8.0,11.0,9.0,8.0,6.0,15.0,20.0,14.0,7.0,13.0,8.0,5.0,14.0,11.0,8.0,7.0,6.0,6.0,9.0,13.0,7.0,8.0,9.0,12.0,4.0,6.0,5.0,9.0
grape,9.0,8.0,5.0,8.0,12.0,17.0,4.0,14.0,14.0,20.0,6.0,5.0,11.0,5.0,8.0,5.0,11.0,6.0,11.0,5.0,6.0,8.0,9.0,9.0,4.0,11.0,4.0,12.0,12.0,7.0
grapefruit,7.0,9.0,4.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,20.0,5.0,16.0,15.0,6.0,16.0,11.0,14.0,7.0,18.0,7.0,5.0,9.0,16.0,9.0,4.0,6.0,9.0,5.0,4.0
kiwi,9.0,6.0,9.0,8.0,5.0,11.0,9.0,6.0,13.0,5.0,5.0,20.0,8.0,7.0,13.0,9.0,11.0,6.0,10.0,8.0,9.0,11.0,11.0,6.0,7.0,11.0,4.0,7.0,6.0,8.0
lemon,7.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,8.0,11.0,16.0,8.0,20.0,18.0,9.0,16.0,8.0,7.0,9.0,16.0,4.0,11.0,8.0,6.0,8.0,6.0,6.0,6.0,5.0,6.0
lime,8.0,5.0,5.0,4.0,8.0,7.0,8.0,9.0,5.0,5.0,15.0,7.0,18.0,20.0,14.0,16.0,6.0,9.0,12.0,17.0,6.0,8.0,12.0,8.0,4.0,8.0,2.0,6.0,8.0,7.0
lychee,4.0,8.0,8.0,6.0,8.0,8.0,9.0,14.0,14.0,8.0,6.0,13.0,9.0,14.0,20.0,8.0,11.0,11.0,8.0,10.0,4.0,11.0,8.0,8.0,8.0,12.0,3.0,6.0,7.0,6.0
mandarine,9.0,16.0,5.0,5.0,5.0,6.0,4.0,7.0,11.0,5.0,16.0,9.0,16.0,16.0,8.0,20.0,8.0,8.0,9.0,17.0,6.0,7.0,11.0,6.0,6.0,9.0,4.0,4.0,5.0,8.0
mango,8.0,14.0,11.0,6.0,7.0,8.0,7.0,9.0,8.0,11.0,11.0,11.0,8.0,6.0,11.0,8.0,20.0,15.0,13.0,7.0,15.0,8.0,14.0,8.0,6.0,14.0,7.0,4.0,4.0,5.0
melon,8.0,11.0,10.0,4.0,5.0,6.0,11.0,9.0,7.0,6.0,14.0,6.0,7.0,9.0,11.0,8.0,15.0,20.0,9.0,8.0,9.0,7.0,11.0,6.0,11.0,11.0,6.0,6.0,4.0,5.0
nectarine,9.0,17.0,7.0,5.0,6.0,9.0,8.0,7.0,6.0,11.0,7.0,10.0,9.0,12.0,8.0,9.0,13.0,9.0,20.0,9.0,8.0,7.0,18.0,8.0,7.0,17.0,7.0,4.0,5.0,6.0
orange,8.0,11.0,9.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,18.0,8.0,16.0,17.0,10.0,17.0,7.0,8.0,9.0,20.0,7.0,6.0,6.0,7.0,8.0,6.0,9.0,7.0,4.0,6.0
papaya,8.0,12.0,8.0,4.0,4.0,4.0,8.0,8.0,9.0,6.0,7.0,9.0,4.0,6.0,4.0,6.0,15.0,9.0,8.0,7.0,20.0,8.0,8.0,9.0,9.0,11.0,13.0,4.0,4.0,8.0
passion fruit,6.0,9.0,5.0,5.0,8.0,6.0,8.0,12.0,13.0,8.0,5.0,11.0,11.0,8.0,11.0,7.0,8.0,7.0,7.0,6.0,8.0,20.0,8.0,5.0,8.0,11.0,4.0,8.0,11.0,8.0
peach,8.0,17.0,4.0,15.0,4.0,6.0,4.0,9.0,7.0,9.0,9.0,11.0,8.0,12.0,8.0,11.0,14.0,11.0,18.0,6.0,8.0,8.0,20.0,8.0,12.0,17.0,9.0,7.0,8.0,9.0
