exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,5.0,6.0,5.0,3.0,4.0,10.0,9.0,2.0,4.0,5.0,12.0,3.0,4.0,6.0,2.0,6.0,7.0,3.0,1.0,4.0,3.0,3.0,3.0,6.0,4.0
bee,5.0,20.0,5.0,18.0,5.0,6.0,2.0,7.0,3.0,5.0,6.0,5.0,1.0,14.0,11.0,5.0,4.0,4.0,7.0,1.0,12.0,7.0,4.0,16.0,3.0,1.0
beetle,6.0,5.0,20.0,5.0,6.0,4.0,11.0,19.0,4.0,10.0,3.0,11.0,1.0,5.0,6.0,4.0,8.0,7.0,6.0,1.0,3.0,3.0,4.0,4.0,6.0,2.0
bumblebee,5.0,18.0,5.0,20.0,5.0,4.0,3.0,11.0,5.0,1.0,6.0,5.0,1.0,12.0,17.0,4.0,10.0,5.0,4.0,1.0,8.0,12.0,5.0,18.0,8.0,3.0
butterfly,3.0,5.0,6.0,5.0,20.0,10.0,4.0,4.0,3.0,2.0,7.0,3.0,1.0,10.0,5.0,5.0,9.0,10.0,2.0,1.0,7.0,11.0,4.0,6.0,3.0,1.0
caterpillar,4.0,6.0,4.0,4.0,10.0,20.0,15.0,2.0,7.0,2.0,2.0,7.0,1.0,5.0,3.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,10.0
centipede,10.0,2.0,11.0,3.0,4.0,15.0,20.0,10.0,6.0,6.0,7.0,12.0,1.0,6.0,4.0,11.0,6.0,9.0,8.0,1.0,6.0,5.0,6.0,2.0,14.0,6.0
cockchafer,9.0,7.0,19.0,11.0,4.0,2.0,10.0,20.0,3.0,10.0,3.0,9.0,1.0,3.0,3.0,5.0,5.0,7.0,5.0,1.0,4.0,5.0,7.0,5.0,10.0,3.0
cockroach,2.0,3.0,4.0,5.0,3.0,7.0,6.0,3.0,20.0,6.0,3.0,10.0,1.0,4.0,6.0,5.0,4.0,4.0,6.0,1.0,4.0,2.0,5.0,5.0,10.0,5.0
cricket,4.0,5.0,10.0,1.0,2.0,2.0,6.0,10.0,6.0,20.0,3.0,4.0,1.0,3.0,4.0,6.0,6.0,6.0,8.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0
dragonfly,5.0,6.0,3.0,6.0,7.0,2.0,7.0,3.0,3.0,3.0,20.0,5.0,1.0,13.0,6.0,16.0,5.0,3.0,1.0,1.0,18.0,12.0,15.0,6.0,4.0,1.0
earwig,12.0,5.0,11.0,5.0,3.0,7.0,12.0,9.0,10.0,4.0,5.0,20.0,1.0,9.0,6.0,15.0,9.0,4.0,8.0,1.0,6.0,2.0,4.0,4.0,10.0,3.0
flee,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,4.0,3.0,1.0,1.0,1.0,1.0,17.0,3.0,1.0,3.0,1.0,1.0,1.0
fly,4.0,14.0,5.0,12.0,10.0,5.0,6.0,3.0,4.0,3.0,13.0,9.0,4.0,20.0,18.0,8.0,15.0,6.0,7.0,1.0,14.0,14.0,6.0,12.0,6.0,4.0
fruit fly,6.0,11.0,6.0,17.0,5.0,3.0,4.0,3.0,6.0,4.0,6.0,6.0,3.0,18.0,20.0,3.0,15.0,6.0,6.0,3.0,8.0,12.0,3.0,9.0,6.0,1.0
grasshopper,2.0,5.0,4.0,4.0,5.0,6.0,11.0,5.0,5.0,6.0,16.0,15.0,1.0,8.0,3.0,20.0,9.0,4.0,6.0,1.0,10.0,6.0,13.0,5.0,4.0,2.0
horsefly,6.0,4.0,8.0,10.0,9.0,5.0,6.0,5.0,4.0,6.0,5.0,9.0,1.0,15.0,15.0,9.0,20.0,5.0,18.0,1.0,11.0,5.0,5.0,9.0,15.0,2.0
ladybug,7.0,4.0,7.0,5.0,10.0,2.0,9.0,7.0,4.0,6.0,3.0,4.0,1.0,6.0,6.0,4.0,5.0,20.0,6.0,1.0,5.0,3.0,4.0,3.0,6.0,2.0
leech,3.0,7.0,6.0,4.0,2.0,3.0,8.0,5.0,6.0,8.0,1.0,8.0,1.0,7.0,6.0,6.0,18.0,6.0,20.0,2.0,4.0,13.0,7.0,5.0,10.0,2.0
louse,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,17.0,1.0,3.0,1.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0
mosquito,4.0,12.0,3.0,8.0,7.0,3.0,6.0,4.0,4.0,2.0,18.0,6.0,3.0,14.0,8.0,10.0,11.0,5.0,4.0,1.0,20.0,15.0,11.0,10.0,3.0,2.0
