exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,10.0,4.0,3.0,10.0,2.0,2.0,7.0,6.0,12.0,7.0,6.0,3.0,7.0,8.0,4.0,7.0,9.0,8.0,16.0,4.0,10.0,4.0,3.0
bottle,4.0,20.0,3.0,4.0,9.0,8.0,6.0,14.0,13.0,5.0,2.0,3.0,4.0,10.0,2.0,2.0,7.0,2.0,12.0,4.0,3.0,10.0,9.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0
bowl,4.0,3.0,20.0,3.0,4.0,10.0,4.0,4.0,5.0,8.0,5.0,4.0,7.0,5.0,9.0,10.0,3.0,9.0,8.0,8.0,8.0,2.0,4.0,6.0,3.0,4.0,4.0,2.0,7.0,3.0,3.0,7.0,6.0
can opener,4.0,4.0,3.0,20.0,4.0,8.0,3.0,3.0,4.0,7.0,11.0,9.0,4.0,8.0,1.0,3.0,5.0,2.0,4.0,12.0,3.0,2.0,6.0,7.0,11.0,3.0,6.0,3.0,3.0,5.0,3.0,8.0,6.0
colander,3.0,9.0,4.0,4.0,20.0,14.0,5.0,4.0,11.0,6.0,6.0,2.0,12.0,7.0,1.0,6.0,3.0,9.0,8.0,9.0,8.0,6.0,3.0,6.0,2.0,8.0,6.0,2.0,3.0,3.0,4.0,6.0,5.0
electric kettle,3.0,8.0,10.0,8.0,14.0,20.0,5.0,2.0,4.0,3.0,15.0,3.0,7.0,2.0,7.0,9.0,6.0,4.0,3.0,10.0,18.0,6.0,2.0,16.0,4.0,3.0,7.0,4.0,10.0,3.0,8.0,5.0,7.0
fork,3.0,6.0,4.0,3.0,5.0,5.0,20.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,4.0,6.0,11.0,3.0,7.0,3.0,2.0,7.0,3.0,6.0,5.0,2.0,9.0,5.0,17.0,2.0,8.0
fridge,3.0,14.0,4.0,3.0,4.0,2.0,3.0,20.0,7.0,1.0,7.0,4.0,7.0,8.0,1.0,17.0,7.0,6.0,12.0,6.0,8.0,6.0,1.0,3.0,3.0,3.0,3.0,11.0,4.0,6.0,10.0,1.0,8.0
glass,5.0,13.0,5.0,4.0,11.0,4.0,4.0,7.0,20.0,4.0,10.0,2.0,2.0,12.0,3.0,3.0,7.0,5.0,16.0,5.0,4.0,4.0,3.0,1.0,13.0,2.0,6.0,4.0,4.0,3.0,9.0,4.0,9.0
grater,2.0,5.0,8.0,7.0,6.0,3.0,4.0,1.0,4.0,20.0,4.0,8.0,4.0,7.0,3.0,6.0,2.0,13.0,7.0,6.0,8.0,4.0,3.0,9.0,8.0,6.0,8.0,7.0,2.0,3.0,7.0,5.0,3.0
kettle,10.0,2.0,5.0,11.0,6.0,15.0,4.0,7.0,10.0,4.0,20.0,3.0,12.0,3.0,14.0,7.0,7.0,10.0,5.0,4.0,4.0,7.0,3.0,4.0,3.0,4.0,2.0,14.0,5.0,7.0,2.0,3.0,5.0
knife,4.0,3.0,4.0,9.0,2.0,3.0,3.0,4.0,2.0,8.0,3.0,20.0,14.0,4.0,3.0,4.0,5.0,3.0,7.0,8.0,9.0,2.0,3.0,7.0,6.0,5.0,2.0,8.0,8.0,4.0,2.0,3.0,5.0
microwave oven,3.0,4.0,7.0,4.0,12.0,7.0,5.0,7.0,2.0,4.0,12.0,14.0,20.0,3.0,8.0,3.0,12.0,9.0,5.0,8.0,9.0,8.0,7.0,5.0,4.0,4.0,4.0,12.0,5.0,5.0,4.0,2.0,3.0
mixer,10.0,10.0,5.0,8.0,7.0,2.0,2.0,8.0,12.0,7.0,3.0,4.0,3.0,20.0,4.0,14.0,3.0,5.0,10.0,2.0,3.0,7.0,4.0,9.0,3.0,17.0,15.0,2.0,6.0,3.0,2.0,11.0,3.0
mug,2.0,2.0,9.0,1.0,1.0,7.0,5.0,1.0,3.0,3.0,14.0,3.0,8.0,4.0,20.0,12.0,1.0,2.0,1.0,12.0,7.0,9.0,7.0,15.0,3.0,1.0,11.0,1.0,8.0,13.0,8.0,13.0,9.0
nutcracker,2.0,2.0,10.0,3.0,6.0,9.0,5.0,17.0,3.0,6.0,7.0,4.0,3.0,14.0,12.0,20.0,9.0,3.0,6.0,3.0,3.0,3.0,12.0,9.0,5.0,6.0,13.0,4.0,3.0,3.0,3.0,11.0,5.0
oven,7.0,7.0,3.0,5.0,3.0,6.0,4.0,7.0,7.0,2.0,7.0,5.0,12.0,3.0,1.0,9.0,20.0,5.0,15.0,1.0,2.0,9.0,8.0,5.0,4.0,2.0,5.0,9.0,7.0,5.0,6.0,5.0,8.0
pan,6.0,2.0,9.0,2.0,9.0,4.0,6.0,6.0,5.0,13.0,10.0,3.0,9.0,5.0,2.0,3.0,5.0,20.0,9.0,12.0,6.0,15.0,5.0,2.0,4.0,5.0,3.0,12.0,3.0,9.0,9.0,12.0,12.0
percolator,12.0,12.0,8.0,4.0,8.0,3.0,11.0,12.0,16.0,7.0,5.0,7.0,5.0,10.0,1.0,6.0,15.0,9.0,20.0,5.0,3.0,8.0,3.0,3.0,5.0,2.0,8.0,11.0,8.0,5.0,8.0,3.0,2.0
place mat,7.0,4.0,8.0,12.0,9.0,10.0,3.0,6.0,5.0,6.0,4.0,8.0,8.0,2.0,12.0,3.0,1.0,12.0,5.0,20.0,8.0,9.0,12.0,4.0,1.0,10.0,7.0,5.0,8.0,9.0,5.0,12.0,3.0
plate,6.0,3.0,8.0,3.0,8.0,18.0,7.0,8.0,4.0,8.0,4.0,9.0,9.0,3.0,7.0,3.0,2.0,6.0,3.0,8.0,20.0,7.0,11.0,2.0,9.0,1.0,5.0,8.0,9.0,4.0,6.0,3.0,4.0
pot,3.0,10.0,2.0,2.0,6.0,6.0,3.0,6.0,4.0,4.0,7.0,2.0,8.0,7.0,9.0,3.0,9.0,15.0,8.0,9.0,7.0,20.0,4.0,4.0,11.0,6.0,6.0,10.0,9.0,2.0,6.0,3.0,9.0
scales,7.0,9.0,4.0,6.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,7.0,4.0,7.0,12.0,8.0,5.0,3.0,12.0,11.0,4.0,20.0,3.0,2.0,3.0,3.0,3.0,14.0,9.0,2.0,2.0,8.0
scissors,8.0,5.0,6.0,7.0,6.0,16.0,7.0,3.0,1.0,9.0,4.0,7.0,5.0,9.0,15.0,9.0,5.0,2.0,3.0,4.0,2.0,4.0,3.0,20.0,3.0,7.0,4.0,9.0,8.0,6.0,2.0,7.0,11.0
sieve,4.0,5.0,3.0,11.0,2.0,4.0,3.0,3.0,13.0,8.0,3.0,6.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,1.0,9.0,11.0,2.0,3.0,20.0,4.0,5.0,3.0,5.0,3.0,14.0,2.0,18.0
spatula,7.0,5.0,4.0,3.0,8.0,3.0,6.0,3.0,2.0,6.0,4.0,5.0,4.0,17.0,1.0,6.0,2.0,5.0,2.0,10.0,1.0,6.0,3.0,7.0,4.0,20.0,13.0,2.0,9.0,4.0,9.0,8.0,6.0
spoon,9.0,4.0,4.0,6.0,6.0,7.0,5.0,3.0,6.0,8.0,2.0,2.0,4.0,15.0,11.0,13.0,5.0,3.0,8.0,7.0,5.0,6.0,3.0,4.0,5.0,13.0,20.0,2.0,15.0,4.0,3.0,7.0,6.0
stove,8.0,4.0,2.0,3.0,2.0,4.0,2.0,11.0,4.0,7.0,14.0,8.0,12.0,2.0,1.0,4.0,9.0,12.0,11.0,5.0,8.0,10.0,3.0,9.0,3.0,2.0,2.0,20.0,3.0,3.0,6.0,3.0,6.0
teaspoon,16.0,3.0,7.0,3.0,3.0,10.0,9.0,4.0,4.0,2.0,5.0,8.0,5.0,6.0,8.0,3.0,7.0,3.0,8.0,8.0,9.0,9.0,14.0,8.0,5.0,9.0,15.0,3.0,20.0,3.0,6.0,3.0,5.0
toaster,4.0,5.0,3.0,5.0,3.0,3.0,5.0,6.0,3.0,3.0,7.0,4.0,5.0,3.0,13.0,3.0,5.0,9.0,5.0,9.0,4.0,2.0,9.0,6.0,3.0,4.0,4.0,3.0,3.0,20.0,11.0,2.0,4.0
towel,10.0,5.0,3.0,3.0,4.0,8.0,17.0,10.0,9.0,7.0,2.0,2.0,4.0,2.0,8.0,3.0,6.0,9.0,8.0,5.0,6.0,6.0,2.0,2.0,14.0,9.0,3.0,6.0,6.0,11.0,20.0,8.0,5.0
whisk,4.0,5.0,7.0,8.0,6.0,5.0,2.0,1.0,4.0,5.0,3.0,3.0,2.0,11.0,13.0,11.0,5.0,12.0,3.0,12.0,3.0,3.0,2.0,7.0,2.0,8.0,7.0,3.0,3.0,2.0,8.0,20.0,2.0
wok,3.0,4.0,6.0,6.0,5.0,7.0,8.0,8.0,9.0,3.0,5.0,5.0,3.0,3.0,9.0,5.0,8.0,12.0,2.0,3.0,4.0,9.0,8.0,11.0,18.0,6.0,6.0,6.0,5.0,4.0,5.0,2.0,20.0
