exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,4.0,6.0,4.0,6.0,3.0,5.0,3.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,6.0,3.0,4.0,2.0,3.0,4.0,4.0
beaver,4.0,20.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,6.0
bison,6.0,4.0,20.0,4.0,1.0,4.0,3.0,6.0,4.0,1.0,3.0,3.0,3.0,4.0,5.0,10.0,3.0,4.0,6.0,3.0,5.0,3.0,6.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0
cat,4.0,5.0,4.0,20.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,5.0,15.0,5.0,4.0
cow,6.0,3.0,1.0,4.0,20.0,9.0,3.0,4.0,6.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,8.0,3.0,4.0,3.0,3.0,5.0,4.0,7.0,3.0,6.0,4.0,11.0
deer,3.0,4.0,4.0,3.0,9.0,20.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0
dog,5.0,4.0,3.0,2.0,3.0,4.0,20.0,3.0,5.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,4.0,7.0,4.0,4.0,6.0,5.0,4.0,4.0
donkey,3.0,3.0,6.0,2.0,4.0,2.0,3.0,20.0,3.0,2.0,3.0,5.0,3.0,5.0,4.0,15.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,14.0
dromedary,1.0,3.0,4.0,3.0,6.0,4.0,5.0,3.0,20.0,3.0,4.0,3.0,4.0,3.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0
elephant,5.0,4.0,1.0,4.0,5.0,4.0,3.0,2.0,3.0,20.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,6.0,7.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0
fox,4.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,20.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,5.0,3.0,5.0,13.0,5.0
giraffe,5.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,20.0,4.0,6.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,2.0,5.0,4.0
hamster,4.0,4.0,3.0,2.0,3.0,4.0,6.0,3.0,4.0,2.0,4.0,4.0,20.0,7.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0
hedgehog,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,6.0,7.0,20.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,6.0
hippopotamus,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,6.0,5.0,3.0,5.0,4.0,5.0,20.0,1.0,5.0,3.0,5.0,2.0,5.0,6.0,3.0,6.0,4.0,2.0,4.0,5.0,2.0,10.0
horse,3.0,3.0,10.0,4.0,4.0,2.0,4.0,15.0,6.0,4.0,3.0,5.0,5.0,5.0,1.0,20.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0
kangaroo,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,20.0,4.0,2.0,5.0,5.0,6.0,3.0,4.0,5.0,6.0,5.0,5.0,4.0,3.0
lion,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,20.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0
llama,2.0,3.0,6.0,2.0,8.0,4.0,3.0,3.0,4.0,7.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,5.0,20.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0
monkey,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,20.0,4.0,1.0,3.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0
mouse,4.0,3.0,5.0,1.0,4.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,20.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0
pig,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,1.0,5.0,20.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0
polar bear,4.0,2.0,6.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,20.0,4.0,5.0,2.0,2.0,3.0,3.0,5.0
rabbit,6.0,4.0,5.0,4.0,5.0,3.0,7.0,6.0,4.0,3.0,5.0,4.0,6.0,4.0,6.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,20.0,4.0,4.0,4.0,3.0,5.0,3.0
rhinoceros,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,20.0,5.0,4.0,3.0,2.0,11.0
