exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,4.0,6.0,6.0,4.0,7.0,4.0,8.0,7.0,6.0,6.0,4.0,7.0,3.0,6.0,6.0,7.0,7.0,5.0,9.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0
bagpipe,4.0,20.0,6.0,6.0,11.0,9.0,5.0,5.0,9.0,5.0,7.0,6.0,5.0,4.0,6.0,5.0,7.0,6.0,7.0,6.0,11.0,6.0,8.0,4.0,4.0,9.0,5.0
banjo,6.0,6.0,20.0,6.0,4.0,11.0,4.0,5.0,6.0,4.0,5.0,5.0,15.0,8.0,11.0,6.0,5.0,8.0,8.0,5.0,4.0,4.0,10.0,6.0,5.0,3.0,6.0
bass guitar,6.0,6.0,6.0,20.0,4.0,2.0,7.0,8.0,8.0,5.0,11.0,6.0,18.0,8.0,3.0,9.0,7.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,8.0,5.0,7.0
bassoon,4.0,11.0,4.0,4.0,20.0,2.0,17.0,3.0,5.0,5.0,5.0,10.0,7.0,12.0,5.0,6.0,6.0,14.0,5.0,12.0,12.0,5.0,6.0,7.0,8.0,13.0,5.0
cello,7.0,9.0,11.0,2.0,2.0,20.0,7.0,6.0,15.0,8.0,6.0,6.0,11.0,5.0,12.0,8.0,5.0,9.0,4.0,7.0,4.0,5.0,8.0,9.0,2.0,5.0,16.0
clarinet,4.0,5.0,4.0,7.0,17.0,7.0,20.0,4.0,7.0,5.0,5.0,14.0,6.0,11.0,3.0,2.0,5.0,13.0,6.0,10.0,15.0,6.0,6.0,6.0,12.0,12.0,8.0
cymbals,8.0,5.0,5.0,8.0,3.0,6.0,4.0,20.0,6.0,11.0,15.0,6.0,7.0,3.0,4.0,17.0,6.0,6.0,5.0,5.0,5.0,6.0,16.0,11.0,7.0,6.0,4.0
double bass,7.0,9.0,6.0,8.0,5.0,15.0,7.0,6.0,20.0,8.0,4.0,6.0,5.0,2.0,5.0,6.0,3.0,6.0,4.0,5.0,6.0,5.0,8.0,7.0,6.0,6.0,8.0
drum,6.0,5.0,4.0,5.0,5.0,8.0,5.0,11.0,8.0,20.0,18.0,8.0,5.0,5.0,8.0,5.0,5.0,5.0,8.0,5.0,6.0,5.0,11.0,8.0,4.0,5.0,8.0
drum set,6.0,7.0,5.0,11.0,5.0,6.0,5.0,15.0,4.0,18.0,20.0,4.0,5.0,4.0,5.0,8.0,5.0,6.0,8.0,5.0,5.0,11.0,12.0,16.0,6.0,4.0,3.0
