exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,10.0,16.0,20.0,17.0,16.0,20.0,18.0,16.0,15.0,16.0,17.0,18.0,14.0,16.0,17.0,17.0,18.0,16.0,17.0
blindworm,10.0,20.0,18.0,12.0,16.0,15.0,14.0,1.0,17.0,13.0,14.0,18.0,16.0,18.0,16.0,19.0,16.0,14.0,12.0,19.0
boa,16.0,18.0,20.0,16.0,14.0,19.0,17.0,15.0,17.0,15.0,18.0,13.0,13.0,19.0,14.0,20.0,15.0,15.0,17.0,19.0
caiman,20.0,12.0,16.0,20.0,15.0,16.0,20.0,16.0,16.0,17.0,16.0,18.0,17.0,16.0,15.0,16.0,15.0,14.0,15.0,14.0
chameleon,17.0,16.0,14.0,15.0,20.0,14.0,16.0,17.0,17.0,19.0,17.0,18.0,16.0,16.0,18.0,17.0,18.0,18.0,14.0,17.0
cobra,16.0,15.0,19.0,16.0,14.0,20.0,17.0,12.0,18.0,16.0,13.0,12.0,13.0,19.0,15.0,20.0,16.0,15.0,14.0,19.0
crocodile,20.0,14.0,17.0,20.0,16.0,17.0,20.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,17.0,12.0,14.0,18.0,13.0
dinosaur,18.0,1.0,15.0,16.0,17.0,12.0,17.0,20.0,12.0,16.0,18.0,19.0,18.0,16.0,18.0,16.0,15.0,17.0,17.0,13.0
frog,16.0,17.0,17.0,16.0,17.0,18.0,17.0,12.0,20.0,17.0,16.0,17.0,16.0,14.0,18.0,15.0,19.0,16.0,15.0,18.0
gecko,15.0,13.0,15.0,17.0,19.0,16.0,17.0,16.0,17.0,20.0,17.0,18.0,18.0,16.0,18.0,18.0,16.0,15.0,14.0,14.0
iguana,16.0,14.0,18.0,16.0,17.0,13.0,17.0,18.0,16.0,17.0,20.0,18.0,19.0,16.0,18.0,14.0,17.0,17.0,17.0,16.0
lizard,17.0,18.0,13.0,18.0,18.0,12.0,17.0,19.0,17.0,18.0,18.0,20.0,18.0,18.0,19.0,15.0,18.0,17.0,17.0,17.0
monitor lizard,18.0,16.0,13.0,17.0,16.0,13.0,17.0,18.0,16.0,18.0,19.0,18.0,20.0,15.0,17.0,16.0,9.0,18.0,16.0,16.0
python,14.0,18.0,19.0,16.0,16.0,19.0,16.0,16.0,14.0,16.0,16.0,18.0,15.0,20.0,13.0,20.0,17.0,16.0,15.0,18.0
salamander,16.0,16.0,14.0,15.0,18.0,15.0,17.0,18.0,18.0,18.0,18.0,19.0,17.0,13.0,20.0,18.0,18.0,16.0,18.0,18.0
snake,17.0,19.0,20.0,16.0,17.0,20.0,17.0,16.0,15.0,18.0,14.0,15.0,16.0,20.0,18.0,20.0,18.0,12.0,14.0,19.0
toad,17.0,16.0,15.0,15.0,18.0,16.0,12.0,15.0,19.0,16.0,17.0,18.0,9.0,17.0,18.0,18.0,20.0,14.0,17.0,17.0
tortoise,18.0,14.0,15.0,14.0,18.0,15.0,14.0,17.0,16.0,15.0,17.0,17.0,18.0,16.0,16.0,12.0,14.0,20.0,20.0,15.0
turtle,16.0,12.0,17.0,15.0,14.0,14.0,18.0,17.0,15.0,14.0,17.0,17.0,16.0,15.0,18.0,14.0,17.0,20.0,20.0,1.0
viper,17.0,19.0,19.0,14.0,17.0,19.0,13.0,13.0,18.0,14.0,16.0,17.0,16.0,18.0,18.0,19.0,17.0,15.0,1.0,20.0
