exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,5.0,5.0,9.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,6.0,6.0,2.0,5.0,9.0,7.0,2.0
ballet,3.0,20.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,17.0,11.0,10.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0
baseball,5.0,2.0,20.0,7.0,3.0,4.0,6.0,2.0,2.0,1.0,2.0,9.0,2.0,3.0,3.0,2.0,7.0,3.0,3.0,11.0,2.0,4.0,1.0,5.0,2.0,2.0,5.0,7.0,9.0,2.0
basketball,5.0,2.0,7.0,20.0,3.0,7.0,3.0,6.0,4.0,4.0,5.0,15.0,2.0,4.0,13.0,7.0,5.0,3.0,2.0,5.0,2.0,15.0,1.0,11.0,4.0,2.0,3.0,3.0,10.0,2.0
billiards,3.0,1.0,3.0,3.0,20.0,6.0,5.0,6.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,2.0,3.0,2.0,2.0,3.0,9.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0
boxing,3.0,1.0,4.0,7.0,6.0,20.0,1.0,4.0,8.0,2.0,2.0,4.0,2.0,3.0,12.0,3.0,4.0,5.0,1.0,6.0,2.0,2.0,1.0,6.0,3.0,2.0,3.0,2.0,5.0,3.0
chess,1.0,2.0,6.0,3.0,5.0,1.0,20.0,1.0,1.0,4.0,7.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,9.0,4.0,1.0,6.0
cycling,2.0,4.0,2.0,6.0,6.0,4.0,1.0,20.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,8.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0
fencing,5.0,2.0,2.0,4.0,2.0,8.0,1.0,5.0,20.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,7.0,6.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,8.0,3.0,1.0
golfing,5.0,4.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,20.0,2.0,11.0,2.0,10.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,9.0,10.0,4.0,2.0,2.0,5.0,7.0,5.0,2.0
gymnastics,9.0,17.0,2.0,5.0,2.0,2.0,7.0,4.0,3.0,2.0,20.0,6.0,5.0,2.0,3.0,12.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,15.0,2.0,4.0,2.0,2.0
handball,3.0,11.0,9.0,15.0,3.0,4.0,2.0,2.0,2.0,11.0,6.0,20.0,2.0,3.0,2.0,4.0,6.0,4.0,2.0,3.0,3.0,14.0,1.0,9.0,3.0,2.0,7.0,9.0,15.0,3.0
horseback riding,3.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,20.0,3.0,2.0,3.0,2.0,4.0,7.0,2.0,4.0,5.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0
ice hockey,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,10.0,2.0,3.0,3.0,20.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0,7.0,4.0,3.0,2.0,7.0,4.0,2.0
judo,1.0,5.0,3.0,13.0,2.0,12.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,20.0,3.0,4.0,1.0,6.0,2.0,4.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0
long jump,3.0,1.0,2.0,7.0,2.0,3.0,4.0,8.0,2.0,1.0,12.0,4.0,3.0,2.0,3.0,20.0,2.0,14.0,2.0,13.0,2.0,3.0,3.0,3.0,2.0,2.0,6.0,3.0,1.0,5.0
rugby,3.0,1.0,7.0,5.0,7.0,4.0,1.0,2.0,3.0,3.0,5.0,6.0,2.0,3.0,4.0,2.0,20.0,11.0,1.0,3.0,6.0,9.0,1.0,4.0,7.0,2.0,2.0,12.0,3.0,2.0
running,4.0,1.0,3.0,3.0,2.0,5.0,1.0,4.0,7.0,1.0,2.0,4.0,4.0,2.0,1.0,14.0,11.0,20.0,3.0,10.0,7.0,4.0,1.0,7.0,4.0,2.0,2.0,5.0,2.0,6.0
sailing,1.0,2.0,3.0,2.0,3.0,1.0,6.0,2.0,6.0,2.0,2.0,2.0,7.0,2.0,6.0,2.0,1.0,3.0,20.0,2.0,7.0,2.0,3.0,2.0,19.0,10.0,2.0,4.0,2.0,2.0
shot-put,4.0,1.0,11.0,5.0,2.0,6.0,2.0,2.0,2.0,7.0,2.0,3.0,2.0,2.0,2.0,13.0,3.0,10.0,2.0,20.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,8.0,2.0,8.0
skiing,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,4.0,2.0,6.0,7.0,7.0,1.0,20.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0
soccer,3.0,3.0,4.0,15.0,3.0,2.0,1.0,5.0,2.0,9.0,2.0,14.0,5.0,3.0,6.0,3.0,9.0,4.0,2.0,2.0,2.0,20.0,6.0,3.0,3.0,8.0,5.0,2.0,9.0,2.0
sport fishing,1.0,2.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,6.0,20.0,1.0,2.0,1.0,7.0,1.0,1.0,8.0
squash,6.0,1.0,5.0,11.0,2.0,6.0,2.0,1.0,2.0,4.0,2.0,9.0,8.0,7.0,3.0,3.0,4.0,7.0,2.0,3.0,2.0,3.0,1.0,20.0,1.0,4.0,9.0,5.0,3.0,2.0
surfing,6.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,7.0,4.0,19.0,1.0,4.0,3.0,2.0,1.0,20.0,8.0,2.0,6.0,3.0,3.0
swimming,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,15.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,8.0,1.0,4.0,8.0,20.0,3.0,2.0,2.0,3.0
table tennis,5.0,2.0,5.0,3.0,4.0,3.0,9.0,2.0,2.0,5.0,2.0,7.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,7.0,2.0,5.0,7.0,9.0,2.0,3.0,20.0,15.0,2.0,4.0
tennis,9.0,2.0,7.0,3.0,4.0,2.0,4.0,2.0,8.0,7.0,4.0,9.0,2.0,7.0,1.0,3.0,12.0,5.0,4.0,8.0,4.0,2.0,1.0,5.0,6.0,2.0,15.0,20.0,4.0,9.0
volleyball,7.0,2.0,9.0,10.0,1.0,5.0,1.0,2.0,3.0,5.0,2.0,15.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,9.0,1.0,3.0,3.0,2.0,2.0,4.0,20.0,1.0
