exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,20.0,3.0,5.0,17.0,,6.0,12.0,3.0,7.0,10.0,12.0,4.0,9.0,2.0,2.0,5.0,4.0,6.0,4.0,3.0,3.0,1.0,4.0,14.0,4.0,17.0,2.0,3.0,2.0,19.0
anvil,3.0,20.0,3.0,9.0,,4.0,4.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,11.0,3.0,1.0,1.0,3.0,6.0,3.0,4.0,1.0,3.0,2.0,3.0
axe,5.0,3.0,20.0,10.0,,14.0,17.0,2.0,4.0,5.0,8.0,7.0,19.0,15.0,3.0,6.0,1.0,3.0,16.0,6.0,9.0,1.0,16.0,8.0,3.0,6.0,2.0,3.0,3.0,4.0
chisel,17.0,9.0,10.0,20.0,,17.0,18.0,9.0,14.0,15.0,6.0,15.0,16.0,4.0,2.0,9.0,2.0,2.0,13.0,16.0,6.0,1.0,13.0,18.0,15.0,6.0,4.0,1.0,4.0,7.0
clamp,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
crowbar (breekijzer),6.0,4.0,14.0,17.0,,20.0,20.0,3.0,9.0,3.0,3.0,17.0,10.0,8.0,2.0,3.0,2.0,4.0,17.0,2.0,12.0,3.0,3.0,12.0,5.0,6.0,2.0,3.0,5.0,6.0
crowbar (koevoet),12.0,4.0,17.0,18.0,,20.0,20.0,3.0,5.0,5.0,13.0,8.0,8.0,3.0,2.0,3.0,2.0,8.0,15.0,7.0,11.0,1.0,7.0,8.0,5.0,8.0,1.0,2.0,2.0,7.0
drill,3.0,1.0,2.0,9.0,,3.0,3.0,20.0,4.0,3.0,14.0,2.0,12.0,12.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,11.0,2.0,3.0,4.0,4.0,1.0,2.0,11.0
file,7.0,1.0,4.0,14.0,,9.0,5.0,4.0,20.0,12.0,18.0,3.0,14.0,5.0,2.0,2.0,2.0,17.0,2.0,6.0,3.0,3.0,12.0,11.0,6.0,3.0,1.0,1.0,13.0,5.0
filling knife,10.0,1.0,5.0,15.0,,3.0,5.0,3.0,12.0,20.0,6.0,4.0,6.0,1.0,8.0,2.0,6.0,14.0,3.0,2.0,5.0,1.0,5.0,9.0,9.0,10.0,2.0,6.0,2.0,7.0
grinding disc,12.0,5.0,8.0,6.0,,3.0,13.0,14.0,18.0,6.0,20.0,4.0,3.0,16.0,2.0,3.0,1.0,6.0,5.0,7.0,2.0,1.0,12.0,4.0,9.0,3.0,2.0,2.0,2.0,2.0
