exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
Brussels sprouts,20.0,5.0,6.0,5.0,4.0,6.0,9.0,6.0,4.0,6.0,6.0,5.0,7.0,6.0,8.0,5.0,15.0,4.0,7.0,6.0,9.0,6.0,4.0,12.0,8.0,8.0,8.0,7.0,8.0,5.0
asparagus,5.0,20.0,9.0,5.0,13.0,7.0,4.0,6.0,6.0,4.0,6.0,5.0,7.0,7.0,4.0,6.0,4.0,3.0,6.0,8.0,6.0,4.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0
beans,6.0,9.0,20.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,9.0,7.0,6.0,8.0,12.0,6.0,7.0,5.0,6.0,6.0,13.0,6.0,6.0,6.0,5.0,5.0,7.0,4.0,4.0,7.0
beet,5.0,5.0,4.0,20.0,5.0,9.0,6.0,6.0,7.0,10.0,5.0,13.0,6.0,4.0,7.0,10.0,6.0,4.0,9.0,6.0,12.0,9.0,11.0,11.0,9.0,5.0,8.0,5.0,8.0,7.0
black salsify,4.0,13.0,6.0,5.0,20.0,4.0,13.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,8.0,12.0,3.0,4.0,6.0,5.0,5.0,4.0,7.0,5.0,5.0,6.0,4.0,4.0,7.0,6.0
carrot,6.0,7.0,6.0,9.0,4.0,20.0,5.0,12.0,5.0,7.0,7.0,5.0,10.0,4.0,6.0,8.0,7.0,5.0,6.0,9.0,14.0,7.0,6.0,12.0,7.0,6.0,5.0,7.0,6.0,6.0
cauliflower,9.0,4.0,6.0,6.0,13.0,5.0,20.0,8.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,8.0,7.0,5.0,8.0,5.0,7.0,5.0,10.0,6.0,9.0,5.0,7.0,5.0,16.0,5.0
celery,6.0,6.0,5.0,6.0,6.0,12.0,8.0,20.0,12.0,4.0,7.0,4.0,6.0,5.0,6.0,15.0,8.0,4.0,5.0,15.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,11.0,4.0,7.0
chervil,4.0,6.0,5.0,7.0,5.0,5.0,5.0,12.0,20.0,6.0,4.0,5.0,7.0,5.0,6.0,5.0,6.0,4.0,4.0,10.0,5.0,4.0,6.0,9.0,6.0,5.0,4.0,6.0,6.0,5.0
corn,6.0,4.0,5.0,10.0,6.0,7.0,5.0,4.0,6.0,20.0,14.0,8.0,16.0,4.0,4.0,7.0,6.0,5.0,6.0,5.0,10.0,6.0,8.0,4.0,5.0,3.0,5.0,4.0,6.0,5.0
cucumber,6.0,6.0,9.0,5.0,5.0,7.0,7.0,7.0,4.0,14.0,20.0,6.0,6.0,5.0,15.0,6.0,8.0,4.0,6.0,5.0,8.0,5.0,12.0,3.0,7.0,6.0,6.0,5.0,7.0,15.0
eggplant,5.0,5.0,7.0,13.0,6.0,5.0,5.0,4.0,5.0,8.0,6.0,20.0,6.0,6.0,9.0,7.0,4.0,4.0,4.0,4.0,4.0,10.0,9.0,7.0,6.0,5.0,1.0,5.0,4.0,7.0
endive,7.0,7.0,6.0,6.0,6.0,10.0,6.0,6.0,7.0,16.0,6.0,6.0,20.0,5.0,5.0,7.0,8.0,4.0,6.0,6.0,5.0,4.0,7.0,13.0,14.0,5.0,6.0,7.0,8.0,8.0
