exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,11.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,8.0,,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,6.0,5.0,3.0,15.0
airplane,11.0,20.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,16.0,,2.0,1.0,1.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0
bicycle,1.0,1.0,20.0,1.0,1.0,5.0,8.0,5.0,5.0,1.0,,5.0,15.0,12.0,6.0,1.0,7.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0
boat,1.0,2.0,1.0,20.0,9.0,6.0,10.0,5.0,1.0,1.0,,3.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,17.0,1.0,5.0,4.0,8.0,3.0,2.0,9.0,9.0,3.0,2.0
bus,2.0,3.0,1.0,9.0,20.0,5.0,3.0,5.0,3.0,3.0,,6.0,3.0,8.0,12.0,1.0,1.0,2.0,2.0,1.0,16.0,15.0,6.0,7.0,14.0,10.0,15.0,18.0,18.0,6.0
car,1.0,1.0,5.0,6.0,5.0,20.0,10.0,7.0,9.0,1.0,,17.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,18.0,7.0,6.0,4.0,3.0,3.0,7.0,15.0,1.0
carriage,5.0,1.0,8.0,10.0,3.0,10.0,20.0,15.0,8.0,1.0,,3.0,8.0,3.0,2.0,1.0,2.0,6.0,6.0,1.0,3.0,10.0,3.0,5.0,3.0,1.0,3.0,5.0,6.0,1.0
cart,1.0,2.0,5.0,5.0,5.0,7.0,15.0,20.0,8.0,1.0,,10.0,6.0,6.0,3.0,1.0,3.0,1.0,15.0,1.0,3.0,2.0,6.0,7.0,3.0,5.0,13.0,10.0,13.0,3.0
go-cart,1.0,1.0,5.0,1.0,3.0,9.0,8.0,8.0,20.0,2.0,,2.0,9.0,8.0,4.0,1.0,6.0,9.0,13.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0
helicopter,8.0,16.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,20.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,5.0,3.0,1.0,1.0,5.0,1.0,9.0
