exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,1.0,0.6033333333333333,0.21666666666666665,0.3066666666666667,0.26666666666666666,0.25,0.3466666666666667,0.26,0.24,0.5933333333333334,0.43928571428571433,0.24666666666666667,0.22333333333333333,0.26,0.2533333333333333,0.4133333333333334,0.26,0.21000000000000002,0.24333333333333332,0.27999999999999997,0.25,0.2733333333333333,0.22666666666666666,0.2566666666666667,0.24333333333333332,0.2533333333333333,0.30333333333333334,0.31,0.27666666666666667,0.8233333333333333
airplane,0.6033333333333333,1.0,0.24333333333333332,0.3566666666666667,0.4633333333333334,0.3466666666666667,0.30333333333333334,0.22999999999999998,0.24,0.7266666666666667,0.4428571428571429,0.31333333333333335,0.18666666666666668,0.29333333333333333,0.30333333333333334,0.6,0.25,0.24666666666666667,0.22999999999999998,0.31333333333333335,0.31666666666666665,0.3933333333333333,0.26666666666666666,0.2633333333333333,0.39666666666666667,0.32333333333333336,0.3433333333333333,0.37,0.33333333333333337,0.65
bicycle,0.21666666666666665,0.24333333333333332,1.0,0.27666666666666667,0.35,0.3933333333333333,0.44000000000000006,0.4066666666666666,0.58,0.24666666666666667,0.21428571428571427,0.31,0.6599999999999999,0.7133333333333334,0.6666666666666667,0.22666666666666666,0.7033333333333334,0.43666666666666665,0.32666666666666666,0.22666666666666666,0.27999999999999997,0.32,0.27999999999999997,0.32,0.3566666666666667,0.32666666666666666,0.2866666666666667,0.2833333333333333,0.2966666666666667,0.23666666666666666
boat,0.3066666666666667,0.3566666666666667,0.27666666666666667,1.0,0.4133333333333334,0.32999999999999996,0.36,0.31666666666666665,0.22333333333333333,0.2533333333333333,0.7821428571428571,0.31666666666666665,0.22666666666666666,0.2866666666666667,0.2533333333333333,0.26666666666666666,0.2633333333333333,0.24666666666666667,0.24,0.6866666666666666,0.29333333333333333,0.3,0.27999999999999997,0.4,0.37,0.2733333333333333,0.4033333333333333,0.37666666666666665,0.32333333333333336,0.37666666666666665
bus,0.26666666666666666,0.4633333333333334,0.35,0.4133333333333334,1.0,0.6033333333333333,0.45666666666666667,0.36,0.3566666666666667,0.32333333333333336,0.36428571428571427,0.48666666666666664,0.30333333333333334,0.3933333333333333,0.4,0.31333333333333335,0.38333333333333336,0.2633333333333333,0.2833333333333333,0.2833333333333333,0.6066666666666667,0.5866666666666667,0.44666666666666666,0.54,0.6433333333333333,0.7,0.6866666666666666,0.6599999999999999,0.63,0.37
car,0.25,0.3466666666666667,0.3933333333333333,0.32999999999999996,0.6033333333333333,1.0,0.5366666666666666,0.52,0.5533333333333333,0.31333333333333335,0.30357142857142855,0.86,0.32,0.44333333333333336,0.4833333333333333,0.2566666666666667,0.4766666666666667,0.2966666666666667,0.37666666666666665,0.31666666666666665,0.3566666666666667,0.9033333333333333,0.5033333333333333,0.48666666666666664,0.41,0.37666666666666665,0.6266666666666667,0.6433333333333333,0.7033333333333334,0.29
carriage,0.3466666666666667,0.30333333333333334,0.44000000000000006,0.36,0.45666666666666667,0.5366666666666666,1.0,0.75,0.4766666666666667,0.2633333333333333,0.31785714285714284,0.4633333333333334,0.32999999999999996,0.33999999999999997,0.29,0.22666666666666666,0.31333333333333335,0.35333333333333333,0.5466666666666666,0.24,0.4133333333333334,0.5433333333333333,0.44000000000000006,0.5066666666666666,0.4633333333333334,0.47000000000000003,0.43,0.43,0.45666666666666667,0.27
cart,0.26,0.22999999999999998,0.4066666666666666,0.31666666666666665,0.36,0.52,0.75,1.0,0.45999999999999996,0.2533333333333333,0.26785714285714285,0.44333333333333336,0.4133333333333334,0.36,0.32333333333333336,0.21000000000000002,0.33666666666666667,0.36333333333333334,0.5833333333333333,0.2533333333333333,0.33999999999999997,0.47000000000000003,0.44333333333333336,0.5166666666666667,0.4033333333333333,0.39666666666666667,0.4533333333333333,0.45666666666666667,0.4766666666666667,0.24
go-cart,0.24,0.24,0.58,0.22333333333333333,0.3566666666666667,0.5533333333333333,0.4766666666666667,0.45999999999999996,1.0,0.23333333333333334,0.25357142857142856,0.42333333333333334,0.5233333333333333,0.4166666666666667,0.42666666666666664,0.21666666666666665,0.49000000000000005,0.5333333333333333,0.5066666666666666,0.22666666666666666,0.27999999999999997,0.38333333333333336,0.37666666666666665,0.3,0.29333333333333333,0.2966666666666667,0.32999999999999996,0.36666666666666664,0.38333333333333336,0.23333333333333334
helicopter,0.5933333333333334,0.7266666666666667,0.24666666666666667,0.2533333333333333,0.32333333333333336,0.31333333333333335,0.2633333333333333,0.2533333333333333,0.23333333333333334,1.0,0.36428571428571427,0.29333333333333333,0.21000000000000002,0.2866666666666667,0.30333333333333334,0.4166666666666667,0.2833333333333333,0.22000000000000003,0.24,0.2733333333333333,0.2866666666666667,0.29,0.29333333333333333,0.2733333333333333,0.30333333333333334,0.29,0.27999999999999997,0.31666666666666665,0.2866666666666667,0.5599999999999999
