exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,1.0,8.0,2.0,4.0,10.0,5.0,1.0,4.0,1.0,5.0,1.0,8.0,1.0,1.0,8.0,3.0,4.0,6.0,5.0
bazooka,1.0,20.0,1.0,16.0,1.0,1.0,1.0,5.0,2.0,9.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,13.0,1.0
bow,8.0,1.0,20.0,1.0,10.0,5.0,2.0,3.0,2.0,2.0,8.0,2.0,10.0,12.0,9.0,8.0,2.0,5.0,1.0,2.0
canon,2.0,16.0,1.0,20.0,2.0,1.0,2.0,11.0,2.0,8.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,8.0,16.0,1.0
club,4.0,1.0,10.0,2.0,20.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,6.0,2.0,5.0,10.0,6.0,7.0,2.0,2.0
dagger,10.0,1.0,5.0,1.0,5.0,20.0,2.0,9.0,5.0,5.0,2.0,2.0,5.0,2.0,5.0,9.0,2.0,5.0,1.0,5.0
double-barreled shotgun,5.0,1.0,2.0,2.0,2.0,2.0,20.0,10.0,4.0,5.0,16.0,17.0,2.0,2.0,2.0,4.0,2.0,2.0,11.0,3.0
grenade,1.0,5.0,3.0,11.0,5.0,9.0,10.0,20.0,2.0,9.0,9.0,9.0,2.0,9.0,2.0,1.0,2.0,4.0,8.0,1.0
knuckle dusters,4.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,20.0,1.0,4.0,6.0,3.0,9.0,5.0,2.0,4.0,4.0,1.0,4.0
machine gun,1.0,9.0,2.0,8.0,1.0,5.0,5.0,9.0,1.0,20.0,15.0,6.0,2.0,1.0,1.0,3.0,4.0,4.0,18.0,4.0
pistol,5.0,2.0,8.0,8.0,1.0,2.0,16.0,9.0,4.0,15.0,20.0,13.0,2.0,3.0,2.0,1.0,1.0,5.0,9.0,1.0
rifle,1.0,1.0,2.0,4.0,1.0,2.0,17.0,9.0,6.0,6.0,13.0,20.0,2.0,4.0,4.0,5.0,1.0,4.0,9.0,4.0
rope,8.0,2.0,10.0,2.0,6.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,20.0,2.0,7.0,2.0,2.0,4.0,1.0,2.0
shield,1.0,1.0,12.0,2.0,2.0,2.0,2.0,9.0,9.0,1.0,3.0,4.0,2.0,20.0,5.0,6.0,2.0,11.0,1.0,2.0
slingshot,1.0,4.0,9.0,1.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,4.0,7.0,5.0,20.0,5.0,1.0,10.0,5.0,2.0
spear,8.0,1.0,8.0,1.0,10.0,9.0,4.0,1.0,2.0,3.0,1.0,5.0,2.0,6.0,5.0,20.0,5.0,8.0,6.0,8.0
stick,3.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,5.0,20.0,4.0,1.0,9.0
sword,4.0,3.0,5.0,8.0,7.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,11.0,10.0,8.0,4.0,20.0,3.0,3.0
tank,6.0,13.0,1.0,16.0,2.0,1.0,11.0,8.0,1.0,18.0,9.0,9.0,1.0,1.0,5.0,6.0,1.0,3.0,20.0,1.0
whip,5.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,8.0,9.0,3.0,1.0,20.0
