exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,1.0,0.20208333333333334,0.32,0.198,0.418,0.518,0.24130434782608695,0.194,0.25416666666666665,0.246,0.22799999999999998,0.21800000000000003,0.22799999999999998,0.284,0.242,0.446,0.43600000000000005,0.5780000000000001,0.22200000000000003,0.248
bazooka,0.20208333333333334,1.0,0.22291666666666665,0.675,0.19791666666666669,0.19791666666666669,0.49347826086956526,0.4770833333333333,0.17708333333333331,0.5666666666666667,0.4875,0.60625,0.12708333333333333,0.15,0.35208333333333336,0.19583333333333333,0.15208333333333332,0.27083333333333337,0.56875,0.15208333333333332
bow,0.32,0.22291666666666665,1.0,0.3,0.24,0.306,0.2347826086956522,0.22000000000000003,0.1875,0.178,0.298,0.264,0.442,0.33599999999999997,0.5780000000000001,0.46799999999999997,0.376,0.3,0.172,0.292
canon,0.198,0.675,0.3,1.0,0.19,0.172,0.3847826086956522,0.492,0.19583333333333333,0.41600000000000004,0.44000000000000006,0.488,0.13999999999999999,0.19,0.358,0.198,0.154,0.21000000000000002,0.5780000000000001,0.134
club,0.418,0.19791666666666669,0.24,0.19,1.0,0.27,0.25869565217391305,0.21800000000000003,0.35625,0.198,0.238,0.244,0.22599999999999998,0.34199999999999997,0.318,0.458,0.6719999999999999,0.40199999999999997,0.158,0.304
dagger,0.518,0.19791666666666669,0.306,0.172,0.27,1.0,0.23695652173913043,0.192,0.29166666666666663,0.22400000000000003,0.298,0.296,0.22799999999999998,0.32799999999999996,0.268,0.504,0.394,0.608,0.16399999999999998,0.24
double-barreled shotgun,0.24130434782608695,0.49347826086956526,0.2347826086956522,0.3847826086956522,0.25869565217391305,0.23695652173913043,1.0,0.33695652173913043,0.2,0.6282608695652174,0.7326086956521739,0.8217391304347826,0.15217391304347827,0.18043478260869567,0.3130434782608696,0.24130434782608695,0.22391304347826088,0.24130434782608695,0.41956521739130437,0.13043478260869565
grenade,0.194,0.4770833333333333,0.22000000000000003,0.492,0.21800000000000003,0.192,0.33695652173913043,1.0,0.22083333333333335,0.404,0.346,0.368,0.10800000000000001,0.184,0.292,0.236,0.186,0.25,0.514,0.16599999999999998
knuckle dusters,0.25416666666666665,0.17708333333333331,0.1875,0.19583333333333333,0.35625,0.29166666666666663,0.2,0.22083333333333335,1.0,0.21875,0.20208333333333334,0.21666666666666665,0.1875,0.25625,0.21458333333333335,0.24166666666666664,0.22708333333333336,0.25,0.175,0.23541666666666666
machine gun,0.246,0.5666666666666667,0.178,0.41600000000000004,0.198,0.22400000000000003,0.6282608695652174,0.404,0.21875,1.0,0.678,0.654,0.13,0.2,0.248,0.3,0.20800000000000002,0.32599999999999996,0.46399999999999997,0.182
pistol,0.22799999999999998,0.4875,0.298,0.44000000000000006,0.238,0.298,0.7326086956521739,0.346,0.20208333333333334,0.678,1.0,0.852,0.132,0.184,0.27799999999999997,0.262,0.194,0.274,0.33399999999999996,0.22200000000000003
rifle,0.21800000000000003,0.60625,0.264,0.488,0.244,0.296,0.8217391304347826,0.368,0.21666666666666665,0.654,0.852,1.0,0.152,0.172,0.33199999999999996,0.324,0.242,0.302,0.33799999999999997,0.198
rope,0.22799999999999998,0.12708333333333333,0.442,0.13999999999999999,0.22599999999999998,0.22799999999999998,0.15217391304347827,0.10800000000000001,0.1875,0.13,0.132,0.152,1.0,0.178,0.346,0.20400000000000001,0.318,0.182,0.154,0.63
shield,0.284,0.15,0.33599999999999997,0.19,0.34199999999999997,0.32799999999999996,0.18043478260869567,0.184,0.25625,0.2,0.184,0.172,0.178,1.0,0.20600000000000002,0.322,0.254,0.45,0.27,0.18
slingshot,0.242,0.35208333333333336,0.5780000000000001,0.358,0.318,0.268,0.3130434782608696,0.292,0.21458333333333335,0.248,0.27799999999999997,0.33199999999999996,0.346,0.20600000000000002,1.0,0.312,0.42800000000000005,0.256,0.266,0.29
spear,0.446,0.19583333333333333,0.46799999999999997,0.198,0.458,0.504,0.24130434782608695,0.236,0.24166666666666664,0.3,0.262,0.324,0.20400000000000001,0.322,0.312,1.0,0.648,0.43,0.19,0.244
stick,0.43600000000000005,0.15208333333333332,0.376,0.154,0.6719999999999999,0.394,0.22391304347826088,0.186,0.22708333333333336,0.20800000000000002,0.194,0.242,0.318,0.254,0.42800000000000005,0.648,1.0,0.466,0.142,0.386
sword,0.5780000000000001,0.27083333333333337,0.3,0.21000000000000002,0.40199999999999997,0.608,0.24130434782608695,0.25,0.25,0.32599999999999996,0.274,0.302,0.182,0.45,0.256,0.43,0.466,1.0,0.202,0.262
tank,0.22200000000000003,0.56875,0.172,0.5780000000000001,0.158,0.16399999999999998,0.41956521739130437,0.514,0.175,0.46399999999999997,0.33399999999999996,0.33799999999999997,0.154,0.27,0.266,0.19,0.142,0.202,1.0,0.148
whip,0.248,0.15208333333333332,0.292,0.134,0.304,0.24,0.13043478260869565,0.16599999999999998,0.23541666666666666,0.182,0.22200000000000003,0.198,0.63,0.18,0.29,0.244,0.386,0.262,0.148,1.0
