exemplar,angstaanjagend,behoort tot de natuur,bijt vaak,brengt ziektes voort,er zijn verschillende soorten,geleedpotig,heeft een exoskelet,heeft facetogen,heeft poten,heeft vleugels,heeft voelsprieten,is een delicatesse,is een dier,is een mier,is een mug,is irritant,is klein,is nuttig,kan bijten,kan vliegen,komt in grote aantallen voor,komt overal ter wereld voor,leeft in kolonies,leeft niet lang,leeft op het land,legt eieren,maakt heel vervelend geluid,ongedierte,steekt,vind je vaker in de zomer,vliegt of kruipt,wordt doodgeslagen door mensen,wordt gegeten door spinnen,wordt opgegeten door andere dieren,wordt verdelgd,zes poten,zoemt
bij,1,4,0,0,3,2,2,3,4,4,3,0,4,0,0,3,3,4,1,4,4,1,3,2,4,3,2,0,4,4,4,3,1,3,1,4,4
bloedzuiger,3,4,3,1,2,2,2,0,2,0,1,0,4,0,0,3,3,1,4,0,3,1,0,2,3,3,0,3,0,2,4,1,0,4,2,1,0
daas,2,4,2,1,1,2,2,3,4,4,2,0,4,0,1,4,3,1,3,4,3,1,0,2,4,3,1,2,2,3,4,3,1,4,2,4,3
duizendpoot,0,4,0,0,2,4,2,1,4,1,3,0,4,0,0,2,3,2,0,1,3,1,0,2,4,3,1,1,1,1,4,1,1,4,1,2,1
fruitvlieg,0,4,0,1,1,2,2,2,4,3,1,0,4,0,0,3,4,2,0,3,4,1,0,4,4,3,2,2,0,4,4,3,3,3,2,4,2
hommel,0,4,0,0,1,2,2,3,4,4,3,0,4,0,0,3,3,3,2,4,3,1,1,2,4,3,2,1,2,4,4,2,1,3,1,4,3
kakkerlak,1,4,0,2,1,2,3,1,4,1,4,0,4,0,0,3,3,1,0,1,3,1,1,2,4,3,1,3,0,1,4,1,1,4,4,4,0
kever,0,4,0,1,3,3,3,2,4,3,3,0,4,0,0,3,3,2,0,3,2,1,0,2,4,3,0,1,1,1,4,1,0,4,2,4,0
krekel,0,4,0,0,2,3,3,1,4,2,3,0,4,0,0,1,3,2,0,1,2,1,1,2,4,3,1,0,0,4,3,0,1,3,0,4,0
libel,0,4,0,0,2,2,2,2,4,3,3,0,4,0,0,3,2,2,1,3,1,1,0,2,4,3,2,1,2,3,4,1,1,3,2,4,2
lieveheersbeestje,0,4,0,0,2,2,3,2,4,4,4,0,4,0,0,0,4,2,0,4,3,0,0,2,4,3,0,0,0,3,4,0,1,3,1,4,0
luis,1,4,1,1,2,2,1,0,4,1,3,0,4,0,0,4,4,1,2,0,4,1,1,3,4,4,0,3,1,1,4,2,0,4,3,4,0
meikever,0,4,0,0,1,2,3,1,4,3,3,0,4,0,0,2,3,2,0,3,1,0,0,2,4,3,0,0,0,4,4,1,1,3,2,4,1
mier,0,4,2,2,4,3,3,2,4,1,3,0,4,4,0,2,4,3,2,1,4,1,3,3,4,3,0,1,2,3,4,3,1,4,4,4,1
mot,1,4,0,0,2,2,2,0,4,3,3,0,4,0,0,2,3,2,0,3,2,1,0,2,4,3,0,3,0,2,4,3,0,3,4,3,1
mug,0,4,3,2,4,0,2,1,4,3,3,0,4,0,4,3,4,1,3,3,4,2,0,3,4,3,3,2,2,4,4,3,3,4,4,4,3
oorworm,1,4,0,1,1,1,2,0,3,0,4,0,4,0,0,2,3,2,0,0,2,1,0,2,4,2,0,2,0,1,4,1,1,4,1,2,0
pissebed,0,4,0,1,1,2,3,0,4,0,2,0,4,0,0,2,4,2,0,0,3,1,0,2,4,3,0,4,1,1,4,2,1,4,3,2,0
rups,0,4,0,1,3,2,1,1,4,0,3,0,4,0,0,1,3,2,0,0,3,1,0,2,4,3,0,0,0,2,4,0,1,4,2,2,0
spin,3,4,3,1,4,2,2,2,4,1,0,0,4,0,0,3,3,3,4,1,4,1,0,3,4,4,1,0,1,1,4,4,0,4,2,1,1
sprinkhaan,0,4,0,1,1,2,2,1,4,2,4,0,4,0,0,1,3,1,0,2,2,1,0,2,4,3,1,1,0,2,3,0,0,4,2,4,0
vlieg,0,4,0,4,3,2,2,3,4,3,0,0,4,0,0,4,4,2,0,3,4,2,0,3,4,3,3,2,1,4,4,3,4,4,2,4,3
vlinder,0,4,0,0,4,2,2,0,4,4,3,0,4,0,0,1,3,2,0,4,1,1,0,3,4,3,0,0,1,4,4,1,1,4,1,4,1
vlo,1,4,2,0,2,1,1,1,3,2,1,0,4,0,0,3,4,1,3,2,3,1,1,2,4,3,0,2,0,1,3,1,0,4,3,3,0
wesp,3,4,1,0,2,1,2,4,4,4,4,0,4,0,0,4,3,2,2,4,4,2,3,2,4,3,2,0,4,4,4,4,1,4,4,3,3
worm,0,4,0,0,3,0,0,0,0,0,1,0,4,0,0,2,3,2,0,0,3,2,0,2,4,2,0,0,0,1,4,0,0,4,0,1,0
