exemplar,bepaalt je sociale status,bron van stress / frustraties,er zijn verschillende soorten van,heb je een speciale outfit voor nodig,heeft sterke invloed op de rest van je leven,is bij wet geregeld,is een activiteit,is een job,is iets dat je elke dag uitoefent,is iets voor volwassenen,is verschillend voor mannen en vrouwen,is voordelig voor staat/economie,moet je graag doen om het vol te houden,neemt veel tijd in beslag,oefen je je hele leven uit,oefen je niet thuis uit,oefen je uit,verdien je geld mee,vereist opleiding,vereist specifieke kennis,vereist specifieke vaardigheden
acteur,4,1,3,1,4,0,2,4,1,2,2,1,4,2,1,4,4,4,4,1,4
advocaat,4,2,4,3,3,3,2,4,1,4,0,2,4,4,1,3,4,4,4,4,3
apotheker,4,1,0,1,3,2,2,4,1,4,0,1,3,2,1,1,4,4,4,4,2
archeoloog,4,1,1,0,3,0,2,4,1,4,0,1,4,3,1,4,4,4,4,4,3
architect,4,1,4,0,3,1,2,4,1,4,0,1,3,4,1,2,4,4,4,4,4
bakker,4,1,1,1,3,0,2,4,1,4,0,2,4,4,1,2,4,4,4,4,4
boekhouder,4,3,1,0,3,2,2,4,1,4,0,2,3,2,1,3,4,4,4,4,2
brandweerman,4,2,1,4,4,0,2,4,1,4,0,1,4,3,1,4,4,4,3,3,4
dierenarts,4,1,2,1,3,1,2,4,1,4,0,1,3,4,1,1,4,4,4,4,4
directeur,4,3,3,0,4,0,2,4,1,4,0,2,4,4,1,4,4,4,3,3,2
dokter,4,2,4,3,4,1,2,4,1,4,0,1,4,4,1,2,4,4,4,4,4
informaticus,4,1,1,0,3,0,2,4,1,4,0,1,3,2,1,3,4,4,4,4,3
kinesist,4,1,1,0,3,2,2,4,1,4,0,1,4,3,1,1,4,4,4,4,4
kok,4,2,3,4,4,0,2,4,1,4,0,1,4,4,1,3,4,4,4,4,4
leraar,4,3,4,0,3,0,2,4,1,4,0,1,3,2,1,4,4,4,4,4,4
loodgieter,4,1,0,2,3,0,2,4,1,4,0,1,3,3,1,4,4,4,4,4,4
marktkramer,4,1,1,0,3,0,2,4,1,4,0,1,3,2,1,4,4,4,0,0,3
minister,4,3,4,0,4,2,2,4,2,4,1,1,4,4,1,4,4,4,3,4,3
opvoedster,4,2,0,0,3,1,2,4,1,4,0,1,4,3,1,4,3,4,4,3,4
piloot,4,1,3,3,4,1,2,4,1,4,0,1,4,3,1,4,4,4,4,4,4
politieagent,4,2,4,4,4,3,2,4,1,4,0,1,3,3,1,4,4,4,4,4,4
postbode,4,1,0,4,3,0,2,4,1,4,0,1,3,2,1,4,4,4,2,2,2
psycholoog,4,1,4,0,3,0,2,4,1,4,0,1,3,2,1,1,4,4,4,4,4
rechter,4,1,3,4,4,3,2,4,1,4,0,1,3,4,1,4,4,4,4,4,3
secretaresse,4,2,0,0,3,0,2,4,1,4,2,1,3,2,1,4,4,4,4,3,3
slager,4,1,0,2,3,0,2,4,1,4,0,1,3,3,1,1,4,4,4,4,4
stewardess,4,1,0,3,3,0,2,4,1,4,1,1,3,2,1,4,4,4,3,2,3
tandarts,4,1,2,0,3,1,2,4,1,4,0,1,4,4,1,1,4,4,4,4,4
vuilnisman,4,1,0,3,3,0,2,4,1,4,0,1,3,2,1,4,4,4,0,0,2
winkelbediende,4,1,2,0,3,0,2,4,1,4,0,1,3,2,1,4,4,4,0,0,2
