exemplar,bestaat in verschillende kleuren,bestaat in verschillende soorten,bevat vitaminen,bewaar je in de koelkast,eetbaar,gebruikt men voor soep,groeit in de grond,groeit in de tuin,groeit onder de grond,groene kleur,is een tomaat,is gezond,is niet altijd groen,is niet lekker,is niet zoet,is voedzaam,je kan het zelf kweken,kan je kopen op de markt,kan je rauw eten,kan verschillende smaken hebben,kan verschillende vormen aannemen,lekker,niet geliefd bij kinderen,plant,smaakt flauw,wordt besproeid,wordt gegeten bij een warme maaltijd,wordt gegeten door vegetariërs,wordt gekookt,wordt gekweekt
aardappel,2,0,1,0,2,0,4,0,0,2,0,4,4,0,4,1,0,0,0,3,4,0,1,1,4,3,4,4,2,2
ajuin,1,3,1,0,3,0,3,2,0,1,0,4,4,0,4,0,0,4,4,0,3,0,0,1,4,3,4,4,0,4
asperges,1,0,0,3,3,0,1,0,0,0,0,3,3,0,4,0,0,1,1,1,2,0,0,0,3,3,4,4,0,1
aubergine,1,0,1,3,1,0,1,2,2,0,0,1,4,0,4,0,0,1,0,0,3,0,0,0,3,3,4,4,0,0
augurken,1,0,1,3,0,0,1,1,2,0,0,0,0,3,4,0,0,0,1,0,3,2,0,0,3,2,2,4,0,2
biet,2,0,2,1,3,0,2,0,1,3,0,2,4,1,3,0,0,0,1,1,2,0,0,0,4,3,3,4,0,1
bloemkool,0,0,3,2,1,0,2,0,0,0,0,1,4,0,4,0,0,0,1,1,2,4,0,1,4,3,4,4,0,1
bonen,1,0,1,2,4,0,3,0,0,0,0,4,3,0,4,1,0,0,1,2,2,0,0,1,3,3,4,4,0,2
champignons,0,3,0,3,2,0,4,3,0,0,0,4,4,0,4,3,0,4,0,2,0,1,3,2,3,3,4,4,0,2
courgette,1,0,1,3,0,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,1,4,3,4,4,0,0
erwten,0,0,1,1,1,0,0,0,0,0,0,2,0,0,4,1,0,0,0,1,2,0,0,1,3,3,4,4,0,1
kervel,0,1,4,2,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,0,3,0,0,1,3,3,4,4,0,0
komkommer,2,0,1,3,0,0,1,3,0,0,0,1,0,0,4,1,0,0,0,0,3,3,0,1,3,3,1,4,0,4
look,2,3,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,0,3,0,0,1,3,3,4,4,0,3
maïs,0,0,1,2,0,0,2,0,0,4,0,1,4,1,2,0,0,1,0,0,3,0,0,0,4,3,3,4,3,4
paprika,0,2,1,3,4,0,2,2,0,0,0,4,4,0,4,0,2,4,0,2,3,2,0,0,3,3,4,4,0,3
peterselie,0,1,4,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,3,0,0,1,3,3,4,4,0,2
prei,0,1,3,2,0,1,0,2,0,0,0,0,3,0,4,1,0,0,2,0,3,0,0,2,3,3,4,4,0,0
radijs,1,0,2,3,1,0,0,0,0,0,0,0,4,0,4,1,0,0,1,0,2,2,0,1,4,3,2,4,0,2
rode kool,2,1,0,2,0,0,0,1,0,0,0,0,4,0,2,1,0,0,2,0,2,0,0,2,4,3,4,4,0,1
schorseneren,0,0,0,3,0,0,0,0,1,0,0,0,4,0,4,1,0,0,0,0,2,0,0,1,3,3,4,4,0,0
selder,0,2,4,3,1,0,1,0,1,0,0,1,1,0,4,1,0,0,1,0,2,2,0,1,3,3,4,4,0,0
sla,0,0,4,3,3,0,2,3,0,0,0,4,1,0,4,1,0,0,0,2,2,0,0,1,3,3,2,4,0,3
spinazie,0,1,3,3,0,0,0,2,0,0,0,0,0,0,4,1,0,2,0,0,3,0,0,1,3,3,4,4,0,2
spruiten,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,3,0,0,3,3,3,4,4,0,0
tomaat,0,3,1,3,1,0,4,2,0,0,4,3,4,0,3,1,0,4,0,2,4,1,0,1,3,3,4,4,0,3
waterkers,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,2,0,0,1,3,3,2,4,0,2
witloof,0,0,0,3,1,4,0,1,0,0,0,1,4,0,4,1,0,0,2,0,2,1,0,2,3,3,4,4,0,3
witte kool,1,1,0,2,1,0,1,1,0,0,0,0,4,0,4,1,0,0,0,0,2,1,0,2,4,3,4,4,0,1
wortel,4,1,3,3,0,0,4,0,0,0,0,2,4,0,3,1,4,0,0,0,2,4,0,2,3,3,4,4,0,3
