feature,freq
als tussendoortje,4
bestaat in verschillende kleuren,9
bestaat in verschillende soorten,7
bevat pitten,7
bevat veel vitaminen,15
eetbaar,10
gezond,20
groeit aan bomen,11
groeit aan een plant,3
groeit aan een struik,6
groeit in de natuur,3
heeft een felle kleur,2
heeft een schil,6
heeft veel zon nodig om te groeien,2
is duur,2
is een vrucht,4
is rond,2
is sappig,8
is seizoensafhankelijk,2
is zacht,2
kan je in de supermarkt kopen,2
kan verschillende vormen hebben,5
kleurrijk,3
lekker,14
rijpt,5
ruikt lekker,3
smaakt fris,2
wordt gebruikt in een fruitsalade,2
wordt gekweekt,4
wordt na een tijdje rot,6
wordt veel gebruikt bij desserts,5
zoete smaak,9
