feature,freq
bestaat in verschillende kleuren,12
bestaat in verschillende soorten,4
bevat vitaminen,14
bewaar je in de koelkast,3
eetbaar,14
gebruikt men voor soep,3
groeit in de grond,4
groeit in de tuin,7
groeit onder de grond,5
groene kleur,12
is een tomaat,2
is gezond,20
is niet altijd groen,2
is niet lekker,2
is niet zoet,2
is voedzaam,2
je kan het zelf kweken,4
kan je kopen op de markt,3
kan je rauw eten,5
kan verschillende smaken hebben,3
kan verschillende vormen aannemen,6
lekker,5
niet geliefd bij kinderen,5
plant,4
smaakt flauw,2
wordt besproeid,2
wordt gegeten bij een warme maaltijd,4
wordt gegeten door vegetariërs,2
wordt gekookt,11
wordt gekweekt,9
