feature,freq
ademen onder water,2
ademt,2
ademt door kieuwen,4
ademt door longen,3
ademt door middel van schubben,1
angstaanjagend,6
baart levende jongen,13
bakent zijn territorium af,1
bedreigde diersoort,4
behoort tot de natuur,2
bestaat al eeuwenlang,1
bevat omega 3,2
bevat proteïnen,1
bijt vaak,2
blinkt,1
bloedvatenstelsel is minder ontwikkeld dan dat van een zoogdier,1
bouwt nesten,17
brengt ziektes voort,2
bruin/zwart van kleur,1
dikke huid,1
eet,2
eet alles,1
eet bessen,1
eet graan,1
eet insecten,2
eet kleine dieren,2
eet planten,1
eet visvoer,1
eet wormen,8
eet zaad,1
er zijn verschillende soorten,15
fladdert,2
fluit,7
gaat dood,4
gebruikt zon om temperatuur op peil te houden,1
geleedpotig,2
gevaarlijk,6
graten,9
heeft 2 ogen,1
heeft acht poten,1
heeft armen,1
heeft centraal zenuwstelsel,1
heeft een bek,6
heeft een exoskelet,3
heeft een lange staart,1
heeft een lange tong,2
heeft een snavel,15
heeft een staart,6
heeft een vacht,14
heeft facetogen,2
heeft geen centraal zenuwstelsel,1
heeft geen poten,2
heeft geen vleugels,1
heeft hersenen,1
heeft huid,1
heeft kieuwen,15
heeft korte poten,1
heeft lidloze ogen,1
heeft longen,7
heeft luchtzakken,3
heeft mond,2
heeft ogen,8
heeft poten,10
heeft scherpe nagels,1
heeft schubben,29
heeft tanden,3
heeft tepels,2
heeft twee poten,3
heeft twee vleugels,3
heeft veren,20
heeft verticaal georiënteerde staart,1
heeft vier poten,10
heeft vinnen,13
heeft vleugels,14
heeft voelsprieten,3
houdt winterslaap,3
huppelt,1
in aquarium,3
in kooi,2
is aanhankelijk,1
is behaard,4
is bij geboorte nog niet zelfstandig,1
is bruin,1
is donker van kleur,1
is een delicatesse,3
is een dier,31
is een dolfijn,2
is een exotisch dier,4
is een haai,3
is een jager,1
is een kat,1
is een koe,1
is een levend wezen,4
is een mens,15
is een mier,2
is een mug,3
is een olifant,1
is een schildpad,2
is een sport,1
is een sterrebeeld,3
is een trekvogel,4
is een verzamelnaam,1
is een vleeseter,3
is een zoet- of zoutwatervis,6
is er in verschillende groottes,12
is er in verschillende vormen,2
is fascinerend,1
is fijn,1
is geen zoogdier,1
is gestroomlijnd,1
is gewerveld,7
is gezond,5
is glad,3
is glibberig,7
is goed voor de ogen,1
is griezelig,3
is groen,8
is irritant,8
is klein,21
is kleiner dan een meter,1
is kleurrijk,1
is lekker,10
is lelijk,2
is mooi,1
is niet behaard,1
is niet gevaarlijk,1
is nuttig,5
is ongewerveld,1
is rustig,1
is snel,1
is vastberaden,1
is vies,3
is warmbloedig,5
is zacht,1
is zeer vroeg wakker,1
kan bijten,4
kan gevaarlijk zijn,6
kan giftig zijn,4
kan je kopen,1
kan lopen,3
kan niet vliegen,3
kan staart verliezen,1
kan verschillende kleuren hebben,9
kan vliegen,31
kan zich voortplanten,9
kan ziek worden,4
kan zwemmen,13
komt af op licht,1
komt in grote aantallen voor,6
komt overal ter wereld voor,4
komt voor in de tuin,1
koudbloedig,13
kraait 's morgens,2
kraaloogjes,2
kruipt,2
lederachtige huid,1
leeft bij water,1
leeft in Afrika,1
leeft in de zee,4
leeft in de zoo,9
leeft in een moeras,1
leeft in groep,2
leeft in het wild,8
leeft in kolonies,2
leeft in warme landen,1
leeft in water,24
leeft in woestijn,1
leeft in zoet water,1
leeft niet lang,4
leeft niet op het land,2
leeft op het land,14
leeft op het land en in het water,10
legt eieren,46
legt geen eieren,8
lijkt niet op mens,1
maakt geluid,2
maakt heel vervelend geluid,3
maakt lawaai,1
maakt metamorfose door,1
niet erg geliefd bij de mens,1
niet lekker,1
ongedierte,3
parasiet,1
ruikt niet lekker,2
ruwe huid,1
soort kikker,1
soort slang,4
soort van krokodil,4
soort walvis,1
staat symbool voor vrijheid,1
stamt af van de dinosauriërs,3
stamt af van de reptielen,1
steekt,7
stinkt soms,4
trouw,1
tsjilpt,6
uitwerpselen vind je op straat,1
vind je  in een vispannetje,1
vind je in bomen,5
vind je vaker in de zomer,6
vliegt of kruipt,6
vogel,1
wordt  gevangen met netten,1
wordt doodgeslagen door mensen,3
wordt gegeten door insecteneter,1
wordt gegeten door planten,1
wordt gegeten door spinnen,2
wordt gegeten door vogels,2
wordt gegeten met witte wijn,1
wordt gevangen met aas,1
wordt gevangen met een hengel,1
wordt opgegeten door andere dieren,2
wordt soms als huisdier gehouden,15
wordt soms door mensen gegeten,12
wordt vaak de prooi van een kat,1
wordt verdelgd,2
zes poten,14
zilver,1
zingt,3
zoemt,2
zoogdier,1
zoogt de jongen,17
zorgt voor bestuiving planten,1
zowel mannetje als vrouwtje broeden,1
zwemt in scholen,4
