feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
angstaanjagend,0,-3,-2,-2,-2,0,1,1,1,-1,1,0,-0.5,1.4459976109624424
behoort tot de natuur,-3,0,-2,2,1,1,1,1,0,3,2,0,0.5,1.6787441193290353
bijt vaak,2,0,0,1,0,1,1,2,1,1,0,-2,0.5833333333333334,1.0836246694508316
brengt ziektes voort,1,2,2,1,2,2,0,0,3,3,1,2,1.5833333333333333,0.9962049198956218
er zijn verschillende soorten,2,0,-3,1,1,0,1,3,1,3,0,0,0.75,1.6025547785276542
geleedpotig,0,0,1,-1,1,3,1,0,-3,-2,2,0,0.16666666666666666,1.6422453217986943
heeft een exoskelet,3,2,1,2,2,1,3,-2,0,-3,2,1,1.0,1.8586407545691703
heeft facetogen,2,1,3,1,2,2,1,0,2,2,2,0,1.5,0.9045340337332909
heeft poten,1,1,-3,3,3,2,3,3,1,3,1,3,1.75,1.764549903980152
heeft vleugels,2,1,3,1,3,-3,1,0,-2,-2,-1,3,0.5,2.1105794120443453
heeft voelsprieten,2,2,1,1,1,1,1,0,1,2,-2,2,1.0,1.1281521496355325
is een delicatesse,-3,-2,-3,-1,-2,-2,-3,-3,1,-2,0,-2,-1.8333333333333333,1.2673044646258476
is een dier,-1,0,1,3,3,1,3,3,3,-2,3,3,1.6666666666666667,1.8257418583505538
is een mier,-2,2,-3,0,1,1,-1,2,-1,0,-3,1,-0.25,1.764549903980152
is een mug,-2,2,-3,0,1,1,-1,2,2,0,-3,1,0.0,1.8586407545691703
is irritant,-1,0,-3,1,-2,3,3,2,-3,3,2,3,0.6666666666666666,2.3868325657594203
is klein,1,0,0,3,3,3,2,2,3,3,2,2,2.0,1.1281521496355325
is nuttig,-2,1,-1,-1,-2,0,0,2,1,-1,2,1,0.0,1.4142135623730951
kan bijten,2,1,0,1,0,1,2,2,3,1,2,2,1.4166666666666667,0.90033663737852
kan vliegen,2,1,0,1,3,3,1,0,3,-1,-1,2,1.1666666666666667,1.4668044012461756
komt in grote aantallen voor,1,2,1,0,-1,3,1,0,1,2,1,1,1.0,1.044465935734187
komt overal ter wereld voor,2,2,2,1,3,3,3,2,-3,3,3,2,1.9166666666666667,1.6764862244009227
leeft in kolonies,1,2,2,0,3,0,2,0,-2,1,2,0,0.9166666666666666,1.378954368902449
leeft niet lang,1,1,2,-1,0,3,0,2,3,3,1,2,1.4166666666666667,1.3113721705515067
leeft op het land,1,1,2,1,3,0,2,-3,-1,1,2,-1,0.6666666666666666,1.6696942198734437
legt eieren,1,2,2,3,1,3,1,3,2,3,2,2,2.0833333333333335,0.7929614610987591
maakt heel vervelend geluid,-1,1,1,-2,0,3,0,-3,-3,3,2,1,0.16666666666666666,2.081665999466133
ongedierte,-1,-2,1,1,2,3,3,2,-3,3,2,2,1.0833333333333333,2.0207259421636903
steekt,3,2,1,1,3,2,3,0,3,3,1,3,2.0833333333333335,1.0836246694508316
vind je vaker in de zomer,-1,2,1,1,2,3,2,0,2,2,2,1,1.4166666666666667,1.0836246694508318
vliegt of kruipt,3,1,2,2,2,3,3,3,2,2,2,3,2.3333333333333335,0.6513389472789296
wordt doodgeslagen door mensen,-1,-3,-1,1,3,3,2,0,-3,1,0,1,0.25,2.0056737702645644
wordt gegeten door spinnen,1,2,2,0,0,3,1,0,3,-1,0,0,0.9166666666666666,1.3113721705515067
wordt opgegeten door andere dieren,1,1,-2,2,1,3,3,1,-2,3,2,2,1.25,1.712255291076124
wordt verdelgd,1,-3,-2,1,3,3,3,0,2,3,2,3,1.3333333333333333,2.0597146021777486
zes poten,2,-3,-2,0,0,3,0,3,-2,3,2,2,0.6666666666666666,2.1461734799546393
zoemt,0,1,0,-1,3,3,1,0,2,3,2,3,1.4166666666666667,1.4433756729740643
