feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bestaat al lang,3,-3,3,0,-2,-2,0,0,1,0,3,0,0.25,2.0056737702645644
bestaat in verschillende groottes,1,-3,1,3,0,-1,2,2,1,3,3,-2,0.8333333333333334,1.9924098397912438
bestaat in verschillende kleuren,0,-3,2,3,-2,-2,2,1,0,3,1,-2,0.25,2.0943647333651407
bestaat in verschillende soorten,1,-3,3,3,0,2,2,2,0,3,2,2,1.4166666666666667,1.729862492345632
bestaat in verschillende vormen,-1,0,-2,0,1,-1,0,1,0,1,0,0,-0.08333333333333333,0.90033663737852
gemaakt uit hout,0,-3,1,2,0,-1,0,2,2,-2,1,2,0.3333333333333333,1.669694219873444
gemaakt uit metaal,-3,-3,1,1,-2,-2,0,2,0,0,1,1,-0.3333333333333333,1.7232808737106584
heeft snaren,1,3,0,1,2,0,1,1,1,-3,1,1,0.75,1.4222261679238197
heeft toetsen,2,-3,0,-1,2,1,0,1,2,-2,1,2,0.4166666666666667,1.6764862244009227
is bedoeld om muziek mee te maken,3,3,3,3,3,3,3,3,3,3,2,3,2.9166666666666665,0.28867513459481287
is breekbaar,2,1,-2,0,-3,-1,0,-2,-1,0,1,1,-0.3333333333333333,1.497472618255253
is duur,2,-3,3,1,-3,-2,1,0,2,2,2,0,0.4166666666666667,2.0652243256245835
is een blokfluit,-1,0,-3,0,1,-1,-1,1,0,1,0,0,-0.25,1.1381803659589922
is een gitaar,-1,0,-3,0,1,-1,-1,1,0,1,0,0,-0.25,1.1381803659589922
is een harp,-1,0,-3,0,1,-1,-1,1,0,1,-3,0,-0.5,1.381698559415515
is een soort piano,1,2,0,-2,2,-2,1,1,1,-3,0,1,0.16666666666666666,1.6422453217986939
is een soort viool,1,2,0,-1,3,-2,0,2,1,-3,0,1,0.3333333333333333,1.7232808737106584
is er in alle prijsklassen,-1,-1,-3,-1,-1,-2,0,-2,-1,0,0,-2,-1.1666666666666667,0.9374368665610922
is er in verschillende materialen,-1,0,-2,0,1,1,0,-1,1,-1,0,0,-0.16666666666666666,0.9374368665610923
is moeilijk te bespelen,1,2,-2,1,0,1,1,1,-1,2,0,2,0.6666666666666666,1.2309149097933272
is te koop in een muziekwinkel,3,1,3,2,1,2,2,3,2,3,3,2,2.25,0.7537783614444091
je moet er noten voor kunnen lezen,1,2,3,3,2,1,1,3,3,-3,1,2,1.5833333333333333,1.6764862244009227
je moet erop blazen,1,-1,0,0,1,-2,-2,1,0,-3,0,2,-0.25,1.4847711791873706
kan je op spelen,3,2,3,3,1,3,3,2,2,3,3,3,2.5833333333333335,0.6685579234215214
kan je zelf maken,-2,-1,-3,0,-2,0,0,0,2,-2,0,-1,-0.75,1.3568010505999362
klinkt mooi,1,2,1,1,1,3,2,1,1,0,0,2,1.25,0.8660254037844386
komt voor in een fanfare,2,1,3,-1,1,1,1,1,1,2,3,2,1.4166666666666667,1.0836246694508316
maakt een apart geluid,2,1,1,0,1,2,2,1,1,3,1,1,1.3333333333333333,0.7784989441615229
maakt geluid,3,1,3,3,3,3,3,3,1,3,3,2,2.5833333333333335,0.7929614610987591
maakt verschillende geluiden,1,1,3,2,1,3,3,1,1,0,3,1,1.6666666666666667,1.0730867399773196
moet je leren bespelen,2,2,3,2,2,2,3,3,2,3,3,3,2.5,0.5222329678670935
werd al gebruikt in de oertijd,1,1,-3,-1,0,-2,0,0,-1,-2,1,1,-0.4166666666666667,1.378954368902449
wordt alleen door mensen gebruikt,3,1,-2,1,1,1,1,1,2,2,1,1,1.0833333333333333,1.1645001528813153
wordt bespeeld door muzikant,3,3,3,2,2,2,2,3,1,3,3,3,2.5,0.674199862463242
wordt gebruikt in orkesten,3,3,0,2,1,3,3,2,1,3,1,2,2.0,1.044465935734187
wordt gecombineert met andere instrumenten,2,-1,3,1,1,2,3,2,2,3,2,1,1.75,1.1381803659589922
wordt met de hand gemaakt,1,0,-3,0,0,0,1,-2,-2,-2,0,0,-0.5833333333333334,1.3113721705515067
wordt soms gebruikt om zang te begeleiden,1,1,3,0,1,3,2,2,2,2,2,1,1.6666666666666667,0.8876253645985945
zorgt voor ontspanning,2,0,-2,0,0,1,1,-1,2,1,1,1,0.5,1.1677484162422844
