exemplar,Eddy Wally zingt erover,acteert,arresteert mensen,babbelt graag,"bakt brood, koeken, taart",bedeelt de post,bedient de mensen,behandelt patiënten,behandelt spieren,beheert de agenda van de baas,behoort tot een politieke partij,bepaalt de straf,bereidt eten,bereidt medicijnen,bereidt vlees,berekent vanalles,bestrijdt de misdaad,bestudeert het menselijk gedrag,bestuurt een vliegtuig,bestuurt het land,bestuurt vuilniswagen,bijgestaan door jury,blust het vuur,boort,brengt eten en drinken,controleert het gebit,deelt boetes uit,doet administratief werk,doet de boekhouding,doet je pijn,doet klachten verdwijnen,doet onderzoek,doet veel papierwerk,doet vondsten,doet zwaar werk,draagt een bakkersmuts,draagt een blauw uniform,draagt een fluo pak,draagt een helm,draagt een hoed,draagt een kepie,draagt een koksmuts,draagt een kostuum,draagt een monddoekje,draagt een oranje pak,draagt een overall,draagt een pak,draagt een pet,draagt een schort,draagt een toga,draagt een uniform,draagt een witte jas,draagt een zwart kleed,draagt handschoenen,draagt hoge hakken,draagt laarzen,draagt speciale kledij,droeg vroeger een pruik,eet graag,er bestaan televisieprogramma's over,er is een eerste minister,er is er één in elk dorp,er zijn er in Hollywood,er zijn er te weinig,er zijn verschillende soorten,gaat door weer en wind,gaat vaak naar Egypte,gaat vaak naar het buitenland,gaat vreemd met getrouwde vrouwen,gebruikt allerlei instrumenten,gebruikt buizen,gebruikt een borsteltje,gebruikt een brandweerslang,gebruikt een computer,gebruikt een ladder,gebruikt krijt,gebruikt messen,gebruikt potten en pannen,gebruikt water,geeft advies,geeft bewegingsoefeningen,geeft huiswerk,geeft je een beugel,geeft les,geeft massages,geeft raad,geeft soms les,geeft spuitjes,geeft uitleg,geeft veiligheidsinstructies,geneest dieren,geneest mensen,graaft oude dingen op,haalt het vuilnis op,handhaaft de orde,heeft 3 jaar stage gelopen aan de balie,heeft 5 jaar gestudeerd,heeft 7 jaar gestudeerd,heeft assistenten,heeft doktersvoorschriften nodig,heeft ecomomie gestudeerd,heeft een aktentas,heeft een baas,heeft een bepaalde bevoegdheid,heeft een brieventas,heeft een bril op,heeft een chique auto,heeft een diploma,heeft een eigen praktijk,heeft een gereedschapskist,heeft een groen kruis als symbool,heeft een grote verantwoordelijkheid,heeft een hamer,heeft een hoge functie,heeft een knuppel,heeft een kraam,heeft een ligstoel,heeft een luide stem,heeft een naamplaatje,heeft een onduidelijk geschrift,heeft een onregelmatig leven,heeft een oven,heeft een revolver,heeft een speciale geur,heeft een speciale opleiding gevolgd,heeft een stethoscoop,heeft een tekentafel,heeft een wachtkamer,heeft gestudeerd,heeft gezag,heeft het druk,heeft lang gestudeerd,heeft lange werkdagen,heeft meestal vuile kleren aan,heeft opleiding Herman Teirlinck gevolgd,heeft pharmacie gestudeerd,heeft rechten gestudeerd,heeft veel geduld,heeft veel geld,heeft veel gereedschap,heeft veel vakantie,heeft veel werk,helpt,helpt bij bevallingen van dieren,helpt de baas,helpt de klanten,helpt mensen,helpt revalideren,herstelt defecten,houdt een pleidooi,houdt inkomsten en uitgaven bij,houdt toezicht,houdt van dieren,houdt van kinderen,is akelig,is behulpzaam,is betrokken bij rechtszaken,is creatief,is de baas,is deftig gekleed,is dik,is duur,is een beroep,is een beroep met aanzien,is een beroep met weinig aanzien,is een computerfreak,is een denker,is een dokter,is een gemeente-arbeider,is een gevaarlijk beroep,is een jongensdroom,is een luisterend oor,is een man,is een man of een vrouw,is een medisch beroep,is een mens,is een moeilijke job,is een moeilijke opleiding,is een nine-to-five job,is een oud beroep,is een recent beroep,is een studierichting,is een vakman,is een vertrouwenspersoon,is een vlotte spreker,is een vrouw,is een zelfstandig beroep,is een ééntonig beroep,is geen leuke job,is geïnteresseerd in geschiedenis,is goed in wiskunde,is handig,is het hoofd van iets,is in elk dorp te vinden,is intelligent,is laaggeschoold,is meertalig,is met mensen bezig,is mooi,is naar kokschool geweest,is noodzakelijk,is ongeschoold,is opgetut,is oud,is rijk,is saai,is serieus,is snel,is sociaal,is soms beroemd,is soms niet geliefd,is soms van wacht,is sterk,is streng,is universitair geschoold,is veel onderweg,is vriendelijk,is vuil na het werk,is weinig thuis,kan corrupt zijn,kan een prijs winnen,kan een vakantiejob zijn,kan een warme bakker zijn,kan gespecialiseerd zijn,kan je raadplegen als je ziek bent,kan ook advocaat zijn,kan pro deo optreden,kan verschillende dingen verkopen,kan voor het leger werken,kan worden opgebeld,kent veel mensen,kent veel van computers,komt aan huis,komt bij de mensen thuis,komt enkel voor in een democratie,komt in de media,komt op tv,krijgt bloemen op secretaressedag,krijgt hulp,krijgt veel kritiek,leeft zich in in personages,leert iets aan,leert tekst uit het hoofd,loopt achter vuilniswagen,lost computerproblemen op,lost problemen op,maakt brood,maakt elk half jaar een afspraak,maakt lekkernijen,maakt maquettes,maakt sites,maakt taarten,maakt tekeningen,mag geen hoogtevrees hebben,moet belangrijke beslissingen nemen,moet doktersgeschrift ontcijferen,moet een goed voorkomen hebben,moet fysiek in orde zijn,moet goed met kinderen kunnen omgaan,moet hygiënisch zijn,moet klanten lokken,moet soms dieren doden,moet vroeg opstaan,onder leiding van regisseur,onderwijst kinderen,onderzoekt patiënten,ontwerpt computerprogramma's,ontwerpt gebouwen,pleit in een rechtbank,praat met mensen,praat veel,prijst zijn goederen aan,programmeert,redt katten uit bomen,redt mensen,regelt afspraken voor baas,regelt de financiën,regelt het verkeer,reist veel,rijdt met een auto of een fiets,rijdt met een bestelwagen,rijdt met een brandweerauto,rijdt met een fiets,rijdt met een politiewagen,roept luid om klanten te lokken,ruikt lekker,schrijft geneesmiddelen voor,slacht dieren,sorteert de post,speelt een rol,speelt in een film,speelt in een theater,speelt toneel,spreekt vonnis uit,staat in voor de veiligheid,staat op de markt,staat op vuilniswagen,staat voor de klas,stinkt,tekent een plan,telefoneert,trekt rond,trekt tanden,typt,verdedigt zijn cliënt,verdient geld,verdient goed,verdient niet veel,verkoopt allerlei,verkoopt medicijnen,verkoopt verzorgingsproducten,verkoopt vlees,verzorgt dieren,vliegt,voedt kinderen op,voert operaties uit,vult gaatjes in tanden,vult rekken aan,weet veel over medicijnen,werkt 's morgens,werkt 's nachts,werkt hard,werkt in een apotheek,werkt in een bakkerij,werkt in een bedrijf,werkt in een instelling,werkt in een kazerne,werkt in een keuken,werkt in een politiekantoor,werkt in een rechtbank,werkt in een restaurant,werkt in een slagerij,werkt in een vliegtuig,werkt in een winkel,werkt in een ziekenhuis,werkt in het weekend,werkt in team,werkt met computers,werkt met internet,werkt met kinderen,werkt met kinderen of gehandicapten,werkt met sportmensen,werkt met zijn handen,werkt ook op zondag,werkt op een kantoor,werkt op een school,werkt soms op vrijwillige basis,werkt voor de staat,werkt voor vliegtuigmaatschappij,wordt beschouwd als een held,wordt bijgestaan door co-piloot,wordt gerespecteerd,wordt goed betaald,wordt in het straatbeeld gezien,wordt niet gerespecteerd,wordt niet goed betaald,wordt soms gebeten door een hond,wordt vaak ondergewaardeerd,wordt veel gevraagd,wordt verkozen,zet koffie,ziet goed,zit aan de kassa,zit aan een bureau,zit in de cockpit,zit in de politiek,zit in de regering,zit in een rechtszaal,zit in het parlement,zit veel voor de computer
acteur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
advocaat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
apotheker,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
archeoloog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
architect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakker,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boekhouder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
brandweerman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dierenarts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directeur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
