feature,freq
aangetrokken door blinkende dingen,6
aaseter,18
bedreigde diersoort,42
blauwgrijs,7
bouwt nesten,102
braakt braakballen,4
brengt kindjes,23
broedt andere eieren uit,6
bruin/zwart van kleur,5
dief,19
draagt ring,4
drijft op het water,5
eet bessen,4
eet brood,19
eet fruit,6
eet graan,21
eet insecten,33
eet kikkers,5
eet kleine dieren,20
eet muizen,23
eet vis,65
eet wormen,37
eet zaad,22
er zijn verschillende soorten,30
filtert met zijn snavel eten uit het water,4
fluit,39
gebruikt in wedstrijden,10
geel,23
gegeten op feestmalen,4
gevaarlijk,11
grijs,20
grijs-wit,13
heeft 2 ogen,11
heeft een donslaag,4
heeft een gele snavel,10
heeft een grote spanwijdte van de vleugels,28
heeft een grote staart,8
heeft een kam,16
heeft een kromme bek,9
heeft een lange nek,37
heeft een puntige bek,37
heeft een rood borstje,17
heeft een snavel,136
heeft een staart,10
heeft grote bek,18
heeft grote klauwen,6
heeft grote ogen,12
heeft klauwen,19
heeft korte poten,5
heeft lange poten,32
heeft mooie staart,5
heeft mooie veren,13
heeft oog op veer,6
heeft rode kwab hangen,10
heeft scherpe klauwen,12
heeft snavel met zak aan,5
heeft twee poten,115
heeft vele kleuren,43
heeft veren,158
heeft vleugels,122
heeft zwemvliezen,27
in een kippenhok,9
in kooi,42
in vijver,11
is akelig,6
is bruin,47
is de baas in het kippenhok,7
is dom,7
is donker van kleur,8
is een dier,63
is een huisdier,39
is een roofvogel,42
is een trekvogel,35
is een vleeseter,5
is eetbaar,53
is grappig,5
is grijs en zwart en wit,5
is groen,5
is groot,88
is groter dan een kip,11
is klein,91
is lekker,28
is lelijk,8
is lief,6
is mooi,33
is niet gevaarlijk,4
is schattig,10
is slim,7
is snel,25
is symbool voor vrede,13
is wit,59
is zeer mensenschuw,10
is zeer vroeg wakker,5
jaagt,5
kakelt,8
kan aggressief zijn,15
kan een groet zijn,7
kan goed duiken,10
kan je vangen,6
kan je voederen,4
kan mooi fluiten,5
kan niet vliegen,26
kan opgevuld worden,11
kan praten,22
kan slecht vliegen,5
kan staart openzetten,4
kan verschillende kleuren hebben,19
kan vliegen,203
kan worden gekweekt,12
kan zijn kop heel ver draaien,5
kan zwemmen,23
kleine snavel,5
koekoeksklok,15
komt veel voor,10
komt voor in belgië,24
komt voor in de tuin,7
komt voor in liedjes,7
komt voor in reclame of als merk,8
komt voor in sprookjes en verhalen,20
kraait,12
kraait 's morgens,7
kraaloogjes,7
krijgt kuikens,14
kwaakt,18
lange snavel,31
leeft aan de zee,24
leeft alleen,10
leeft in Afrika,7
leeft in Europa,4
leeft in bomen,28
leeft in de bergen,8
leeft in de natuur,12
leeft in de zoo,32
leeft in groep,34
leeft in het bos,31
leeft in het wild,13
leeft in koude gebieden,11
leeft in tropische gebieden,13
leeft in velden,7
leeft in warme landen,14
leeft in water,40
leeft niet in België,10
leeft ook in de stad,7
leeft op de boerderij,19
leeft op het land,4
leeft soms in kerktorens,6
leeft tussen de mensen,4
leeft vooral aan de kust,7
legt eieren,151
legt eieren in het nest van andere vogels,9
legt geen eieren,7
legt grote eieren,10
lijkt gemeen,8
maakt een 'oehoe'-geluid,12
maakt een koerend geluid,15
maakt gaten in bomen,12
maakt geluid,13
maakt heel vervelend geluid,13
maakt herkenbaar geluid,8
maakt nesten op grote hoogte,4
maakt scherp geluid,34
maakt veel lawaai,36
maakt veel vuil,13
maakt vreemd geluid,12
maakt wakker,10
mannelijke kip,11
mannetje- verschillende kleuren,10
meestal bruin-grijze kleur,4
meisjesnaam,13
middelgroot,5
mooie kleuren,4
nachtdier,23
opbergsnavel,5
oranje snavel,20
pikt,7
poolgebieden,9
rood,6
scherp zicht,14
sierlijk,17
slaapt op een stok,5
snatert,6
springt,8
staart open bij angst,4
staat soms op 1 poot,4
steekt kop in grond,14
stinkt,6
stripverhaal,4
tekenfilmfiguur,14
tok tok' als geluid,8
tokt op boom,7
trekt niet weg in de winter,23
trots,17
tsjilpt,23
vaak losgelaten na trouw (huwelijksmis),8
vaak stilzittend,5
vliegt hoog,8
vliegt in V-formatie,4
vogel,387
vooral op platte land,5
vooral te zien in de winter,6
vrouwtje is bruin,8
vrouwtje van de haan,5
waggelt,9
werd vroeger voor post te bezorgen gebruikt,6
worden vechtkampen mee georganiseerd,5
wordt gebruikt in shows,16
wordt gegeten met Kerstmis,17
wordt gegeten op thanksgiving,7
wordt gehouden door duivenmelkers,4
wordt met wijsheid geassocieerd,5
wordt niet opgegeten,6
wordt op gejaagd,26
wordt vaak de prooi van een kat,7
zeer prototypische vogel,4
zegt koekoek,15
zeldzaam,12
ziet in het donker,5
zingt,34
zit op draden van elektriciteitspalen,5
zit vaak in parken,10
zorgt goed voor haar kroost,8
zwart,49
zwart met wit,57
zwarte ogen,6
zweeft,14
