feature,freq
"""als sardines in een blik""",7
8 armen,10
Free Willy,16
ademen onder water,5
africhtbaar,12
als voedsel voor grotere dieren,8
bedreigde diersoort,12
bekenste dolfijn is flipper,4
bijt,5
blauw,5
blauwgrijs,9
doet blub,9
dolfinarium,4
duur,8
een haring kan ook een piket zijn om u tent op te zetten,7
eet mensen op,7
eet plankton,26
eet planten,7
eet vis,53
eet visvoer,4
eet zeehonden,5
er zijn verschillende soorten,15
gegeten op feestmalen,4
geliefd bij kinderen,4
gevaarlijk,35
gevaarlijk voor mensen,7
"graag gezien, geapprecieerd",4
graten,39
grijs,71
heeft een indringende geur,6
heeft een puntige bek,6
heeft een staart,42
heeft grote bek,4
heeft grote ogen,5
heeft grote tanden,4
heeft kieuwen,117
heeft luchtgat,11
heeft mond,5
heeft ogen,22
heeft scherpe tanden,24
heeft schubben,84
heeft stekels,9
heeft tanden,16
heeft tentakels,6
heeft vinnen,118
heeft zuignappen,6
in aquarium,8
in rivieren,10
in vijver,12
is bruin,13
is donker van kleur,11
is een delicatesse,6
is een dier,27
is een huisdier,14
is een roofdier,15
is een vis,273
is een vleeseter,17
is eetbaar,147
is gevlekt,5
is gezond,6
is glad,22
is glibberig,47
is goed gecamoufleerd,15
is groot,100
is intelligent,16
is klein,65
is lang,11
is lekker,69
is lelijk,8
is moeilijk te vangen,6
is mooi,4
is niet duur,5
is niet gevaarlijk,6
is oranje,15
is smal,5
is snel,15
is spectaculair,4
is te vinden in de viswinkel,15
is wit,24
jaagt mensen schrik aan,10
kan gerookt worden,7
kan in salade,5
kan je koken,6
kan je winnen op kermis,11
kan mensen doden,5
kan verschillende kleuren hebben,7
kan worden gekweekt,7
kan zwemmen,80
kleine en grote soorten,8
komen soms voor in films,14
komt veel voor,6
lange snuit i.d. vorm v. zwaard,8
leeft in Noordzee,9
leeft in de oceaan,28
leeft in de zee,158
leeft in de zoo,4
leeft in groep,46
leeft in tropische waters,11
leeft in water,119
leeft in zoet water,41
leeft in zout water,20
leeft niet in België,5
leeft niet in groep,4
leeft niet op het land,12
legt eieren,35
ligt op bodem,8
ligt op pizza,11
lijkt op een slang,9
log,4
maakt geen geluid,13
maakt geluid,17
moet boven water komen om lucht te happen,7
niet lekker,22
ook wel aal genoemd,4
ovale vorm,4
paling in 't groen,16
plat,58
roze,16
ruikt bloed,7
ruikt niet lekker,4
smaakt zout,19
soort walvis,10
speelt hoofdrol in 'Jaws',5
spoelt soms aan op het strand,14
springen in water,6
spuit inkt,15
spuwt water uit zijn spuitgat,14
stinkt,25
verkopen ze op de markt,6
verschillende bereidingswijzen,14
verstopt zich gemakkelijk,4
vettig,6
vin op de rug,14
voorgerecht,4
vriendelijk,7
worden opgelegd in olie,8
wordt gebakken klaargemaakt,6
wordt gebruikt in shows,4
wordt gegeten in tomatensaus,5
wordt gepekeld,5
wordt geserveerd als inktvisringen,4
wordt geserveerd in een restaurant,9
wordt levertraan van gemaakt,4
wordt niet opgegeten,6
wordt op gejaagd,16
wordt op gevist,89
zandkleur,5
ze communiceren met elkaar,9
zilver,11
zit in blik,24
zoogdier,50
zwaar,16
zwart,11
zwart met wit,15
zwemt in bokaal,19
zwemt stroomopwaarts om eitjes te leggen,6
