feature,freq
aarde,4
aaseter,5
andere naam: drosophilla,4
beweegt door zich samen te trekken,7
bij dieren,9
bijt,20
bijt gaten in kleren,16
bouwt nesten,10
brengt ziektes voort,9
bruin/zwart van kleur,11
doet pijn,26
een handig iemand,4
een imker kweekt ze,9
eet bladluizen,5
eet insecten,17
eet nectar,9
eet planten,33
eet van de bloemen,5
eet vliegen,4
er is een koningin,14
extern geraamte,4
familie van de wesp,4
fladdert,9
gaat van bloem tot bloem,5
gebruikt stuifmeel van bloemen,9
gebruikt voor onderzoek,8
geel,10
geel en zwart,43
gekleurd,4
gelede diersoort,6
geleedpotig,8
geliefd bij kinderen,4
geraakt moeilijk van je af,4
goed voor bodem,5
goed voor milieu,7
grijs,16
haalt nectar uit bloemen,10
hard,6
harig,24
hecht zich vast aan het lichaam,18
heeft 2 ogen,4
heeft acht poten,21
heeft een angel,27
heeft een kop,5
heeft een schild,30
heeft een slurf,4
heeft facetogen,14
heeft felle kleuren,4
heeft geen 1000  poten,5
heeft geen poten,11
heeft hiërarchie,5
heeft kleine pootjes,4
heeft lange achterpoten,4
heeft lange poten,14
heeft poten,29
heeft twee vleugels,13
heeft veel poten,30
heeft vele kleuren,25
heeft vier poten,8
heeft vleugels,103
heeft voelsprieten,54
het heeft ringen,8
het is rond,7
het is zeer actief,8
het laat plekken achter op je huid,4
houdt van vochtigheid,4
is akelig,8
is bruin,35
is dik,9
is donker van kleur,14
is een dier,69
is een insect,282
is een soort bij,14
is een soort kever,8
is een soort vlieg,4
is een soort vlinder,14
is eerst een rups,13
is geen huisdier,4
is gek op zoetigheid,23
is giftig,4
is groen,33
is groen-bruin,8
is groot,22
is irritant,45
is klein,235
is lang,20
is langwerpig,9
is lelijk,13
is licht,6
is lief,4
is mooi,16
is niet gevaarlijk,13
is oorzaak van arachnofobie,5
"is rood, bruin",8
is schattig,10
is seizoensgebonden,4
is smal,8
is sterk,6
is terug te vinden op planten,15
is traag,8
is tweeslachtig,7
is vies,61
is wit,4
je kan ze doden met een vliegenmepper,6
je kunt er beten van hebben,10
je vindt ze in huis,10
je vindt ze vaak onder stenen,8
kan agressief zijn,7
kan gevaarlijk zijn,14
kan giftig zijn,17
kan je vangen,5
kan nadelig zijn voor de oogst,5
kan niet vliegen,4
kan overgedragen worden,18
kan plaag vormen,10
kan snel lopen,23
kan soms dodelijk zijn voor mens,4
kan veel last veroorzaken,11
kan ver springen,42
kan verschillende kleuren hebben,5
kan vliegen,129
kietelt,14
kinderen vangen deze graag,4
komen soms voor in films,6
komt af op licht,20
komt boven als het regent,8
komt in verschillende maten en soorten voor,49
komt overal ter wereld voor,5
komt uit een cocon,13
komt veel voor,4
komt voor bij honden en katten,4
komt voor in belgië,5
komt voor in de tuin,7
komt voor in warme plaatsen,8
kraakt als je het dood doet,14
kruipt,38
kwetsbaar,7
leeft bij water,31
leeft buitenshuis,7
leeft door als je hem in twee snijdt,12
leeft in bomen,6
leeft in de natuur,18
leeft in een korf,9
leeft in grassen,32
leeft in groep,43
leeft in het bos,19
leeft in het donker,6
leeft in nesten,6
leeft in onhygiënische buurten,12
leeft in velden,6
leeft in warme landen,6
leeft in water,12
leeft niet lang,21
leeft onder de grond,19
leeft waar het vochtig is,15
legt eieren,22
legt neten,10
lente,6
lijkt op een worm,6
maakt geen geluid,23
maakt geluid,29
maakt heel vervelend geluid,10
maakt honing,22
maakt mierenhopen in zand/ aarde,4
maakt web,26
moeilijk te verdelgen,10
mooie kleuren,10
mottenballen als remedie,7
mugachtig beestje,4
nachtdier,31
neutrale geur,5
niet erg geliefd bij de mens,24
ongedierte,12
onhygiënisch,4
onopvallend,9
parasiet,8
plant zich snel voort,17
rood,17
rood met zwarte stippen,15
rood of zwart,8
slijmerig,26
sommige mensen zijn er allergisch voor,7
steekt,86
steekt niet,10
tjirpt,9
vleugels geven af,8
vooral in de zomer,83
vooral in zuiderse landen,5
wekt angst op,30
werd vroeger in geneeskunde gebruikt,5
wordt cocon,16
wordt doodgeslagen door mensen,13
wordt door sommige mensen verzameld,5
wordt een vlinder,9
wordt gebruikt als aas door vissers,8
wordt gebruikt als voedsel voor reptielen,4
wordt gegeten door vogels,27
wordt opgegeten door andere dieren,9
wordt soms door mensen gegeten,27
wordt verdelgd,30
ze communiceren met elkaar,4
zeldzaam,5
zes poten,76
ziet er slakachtig uit,4
zit in het haar,21
zit in kleren,5
zit op bloemen,20
zit op fruit,7
zit vaak onder stuk hout,5
zit veel op honden,6
zoemt,73
zorgt voor jeuk,50
zuigt bloed,46
zwart,74
