feature,freq
angstaanjagend,19
bedreigde diersoort,12
bestaat al eeuwenlang,11
bijt,14
blaast wangen op,7
de billetjes worden gegeten,7
dodelijk,11
eet insecten,43
eet kleine dieren,4
eet planten,11
eet ratten of muizen,15
eet sla,4
eet vliegen,5
er worden schoenen en handtassen van gemaakt,15
er wordt soep van gemaakt,5
er zijn verschillende soorten,13
"gebruikt voor spreekwoord ""onder het gras""",5
gevaarlijk,78
gevaarlijk voor mensen,9
graaft zich in op het land,5
grote muil,18
heeft 2 ogen,6
heeft bolle ogen,6
heeft een kraag in de nek,4
heeft een lange staart,45
heeft een lange tong,30
heeft een schild,41
heeft een staart,33
heeft een tong,6
heeft felle kleuren,5
heeft geen poten,23
heeft gespleten tong,26
heeft giftanden,7
heeft grote ogen,9
heeft grote tanden,9
heeft klauwen,8
heeft kleine oogjes,5
heeft korte poten,15
heeft ogen,4
heeft poten,8
heeft scherpe nagels,6
heeft scherpe tanden,31
heeft schubben,72
heeft schutkleur,12
heeft tanden,6
heeft veel tanden,6
heeft vele kleuren,6
heeft veren,10
heeft vier poten,59
heeft wratten,5
het is rond,4
hoofdrolspelers in Jurassic Parc,6
in aquarium,10
in terrarium,4
is akelig,7
is bruin,22
is dik,8
is een amfibie,35
is een dier,73
is een exotisch dier,8
is een huisdier,43
is een roofdier,15
is een vleeseter,21
is eerst kikkervisje,7
is eetbaar,16
is giftig,34
is glad,9
is glibberig,36
is grappig,9
is groen,129
is groen-bruin,45
is groot,59
is klein,43
is lang,50
is langwerpig,8
is lelijk,13
is mooi,5
is niet gevaarlijk,6
is niet giftig,4
is ook een sjaal,14
is smal,4
is snel,39
is sterk,13
is traag,36
is vies,20
jaagt mensen schrik aan,10
je vindt ze vaak onder stenen,5
kan giftig zijn,20
kan goed klimmen,4
kan lang zonder eten,4
kan mensen opeten,4
kan staart verliezen,10
kan tegen een muur opklimmen,7
kan verschillende kleuren hebben,15
kan zeer oud worden,16
kan zwemmen,29
klein kopje,4
kleine en grote soorten,15
komen soms voor in films,6
komt boven in de regen,4
komt voor in belgië,4
komt voor in reclame of als merk,4
komt voor in sprookjes en verhalen,5
koudbloedig,22
kronkelt,13
kruipt,36
kruipt in schild bij gevaar,13
kwaakt,27
"lange achterpoten, korte voorpoten",5
leeft alleen,5
leeft bij vijvers,9
leeft bij water,6
leeft door als je hem in twee snijdt,6
leeft in Afrika,6
leeft in bomen,8
leeft in de jungle,19
leeft in de zee,6
leeft in de zoo,23
leeft in droge gebieden,4
leeft in een moeras,8
leeft in het bos,15
leeft in tropische gebieden,19
leeft in warme landen,42
leeft in water,36
leeft in woestijn,16
leeft niet bij ons,19
leeft onder de grond,9
leeft op de grond,6
leeft op het land,14
leeft op het land en in het water,31
leeft waar het vochtig is,8
leggen eieren in zand,8
legt eieren,50
legt grote eieren,5
legt kikkerdril,4
ligt bewegingsloos in het water,6
lijkt op een kikker,4
lijkt op een salamander,5
lijkt op hagedis,9
lijkt op krokodil,7
maakt niet veel geluid,5
maakt sissend geluid,37
maakt veel lawaai,4
niet lekker,5
onopvallend,11
past kleur aan aan omgeving,35
platte kop,4
prehistorisch dier,11
reptiel,127
ringen,5
ruw,5
ruwe huid,9
schattig indien klein,4
schuw,6
skeletten in musea,6
slijmerig,8
slikt zijn prooi in zijn geheel in,9
soort alligator,4
soort hagedis,14
soort kikker,5
soort slang,53
soort van krokodil,14
springt,28
stamt af van de dinosauriërs,5
stinkt,5
uitgestorven,22
vaak overreden door auto's,7
verre landen,4
verstopt zich gemakkelijk,6
vervelt,24
vleeseters en planteneters,11
voelt zacht aan,4
wild dier,6
wordt gegeten door vogels,9
wordt soms in een mand gestoken,4
wurgt zijn prooi,23
zeldzaam,7
zijn te vinden in de Ardennen,4
zwaar,5
