feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
afrika,1,2,1,0,-1,-2,-1,1,0,-3,-1,-3,-0.5,1.6236882817719773
als tussendoortje,3,-3,3,2,0,0,3,2,0,-3,3,-3,0.5833333333333334,2.466441431158124
apen eten het graag,1,0,0,1,0,-1,-1,0,3,-3,0,1,0.08333333333333333,1.4433756729740643
beetje zurig,3,2,0,0,1,1,0,1,2,-3,2,-2,0.5833333333333334,1.7298624923456323
behaard,-2,2,0,1,1,-1,-1,-1,0,-2,1,-3,-0.4166666666666667,1.5050420310248864
bestaat in verschillende kleuren,3,2,1,0,2,0,1,1,1,1,2,-3,0.9166666666666666,1.5050420310248864
bestaat in verschillende soorten,2,3,3,1,3,0,3,2,1,3,3,-3,1.75,1.815338686155987
bestaat uit beentjes,-2,3,-3,1,0,-1,-3,-1,1,-3,-3,-3,-1.1666666666666667,2.0375267241229382
bestaat uit kleine bolletjes,-2,3,-1,1,0,-1,-1,-1,2,-3,-1,-3,-0.5833333333333334,1.8319554050414562
bestaat uit partjes,1,3,1,1,0,1,2,1,3,-3,1,-3,0.6666666666666666,1.9227505550564006
bevat kokosmelk,-2,0,3,1,-1,-1,0,-1,3,-3,1,-3,-0.25,2.0056737702645644
bevat pitten,1,3,2,2,3,1,2,0,2,-3,2,-3,1.0,2.04494943258218
bevat veel calorieën,-1,3,-3,-3,1,1,2,1,-1,-3,1,-3,-0.4166666666666667,2.1933093855190746
bevat veel vitaminen,3,3,2,3,3,2,3,2,1,3,3,2,2.5,0.674199862463242
bevordert de darmwerking,1,3,2,2,0,-1,1,1,-3,2,2,-3,0.5833333333333334,1.9752253419585197
bij assepoester wordt er een koets van gemaakt,-3,2,-1,-1,0,-2,-3,-2,3,-3,0,-3,-1.0833333333333333,2.0207259421636903
bijbels,-3,0,0,0,-3,-3,-3,-1,0,-3,-1,-3,-1.6666666666666667,1.4354811251305468
bruin aan de buitenkant,-1,-3,0,-2,2,-1,-1,-1,2,-3,-2,-3,-1.0833333333333333,1.729862492345632
de schil is bitter,-2,2,0,-2,0,-1,2,1,0,-3,0,-3,-0.5,1.7320508075688772
de schil is niet eetbaar,2,3,1,1,2,-1,1,-1,0,-3,1,-3,0.25,1.9128750375000738
"dik vanonder, smaller boven",-2,1,-1,0,0,-2,1,-1,1,-3,1,-3,-0.6666666666666666,1.556997888323046
dikke schil,-1,2,0,2,0,1,0,-1,1,-3,1,-3,-0.08333333333333333,1.6764862244009227
donkerrood,0,-3,1,-2,1,-1,-1,-1,2,-3,1,-3,-0.75,1.764549903980152
donzige schil,-2,3,0,1,1,-1,-3,-1,2,-3,1,-3,-0.4166666666666667,2.0652243256245835
dorstlessend,2,3,-1,2,3,-1,2,2,2,1,2,-3,1.1666666666666667,1.8504708655481241
draai om je oren,-3,1,0,1,1,-2,-3,-1,3,-3,-3,-3,-1.0,2.1320071635561044
een delicatesse,-1,-1,0,1,0,0,1,0,1,-3,2,-3,-0.25,1.5447859516333116
een gladde schil,-1,3,1,0,1,-1,0,-1,0,-3,1,-3,-0.25,1.712255291076124
eetbaar,3,3,3,2,3,1,3,2,-2,2,3,3,2.1666666666666665,1.4668044012461754
er zijn er in verschillende maten,2,-2,-2,1,3,-1,1,2,1,2,2,-3,0.5,1.9771421064483223
exotisch,2,1,1,2,3,1,1,2,1,-3,2,-3,0.8333333333333334,1.898963034411309
familie van de appelsien,1,1,2,1,0,1,1,-1,2,-3,1,0,0.5,1.381698559415515
familie van de citroen,2,-1,2,1,-3,2,0,-1,2,-3,1,0,0.16666666666666666,1.8504708655481241
familie van de perzik,0,1,2,1,0,2,1,-1,1,-3,1,0,0.4166666666666667,1.378954368902449
familie van mandarijn,1,1,2,1,0,2,1,-1,1,-3,1,0,0.5,1.381698559415515
fruit,3,3,3,3,3,3,3,2,-3,0,3,3,2.1666666666666665,1.8504708655481241
gebruikt bij halloween,-2,2,-1,0,-3,-2,0,-1,3,-3,0,-3,-0.8333333333333334,1.9462473604038073
gebruikt in fruitpap,2,0,2,2,3,-1,3,2,0,1,3,1,1.5,1.3142574813455419
gebruikt in spreekwoord,-2,-3,0,-1,-3,-3,-3,0,-1,-3,0,-3,-1.8333333333333333,1.337115846843043
gebruikt in yoghurt,-2,-3,2,1,0,-1,1,2,1,1,2,-3,0.08333333333333333,1.8809249819912512
gebruikt men in gerechten,0,2,1,1,0,1,0,0,0,1,2,-3,0.4166666666666667,1.3113721705515065
geel,1,-3,1,-2,0,0,1,1,1,-3,1,-3,-0.4166666666666667,1.781640374554423
geel vanbinnen,0,3,0,-1,1,0,1,-1,2,-3,1,-3,0.0,1.8090680674665818
gegeten bij kaasschotels,0,1,0,1,-1,-1,-3,1,1,0,1,-3,-0.25,1.4847711791873706
gerimpeld,-3,3,0,1,0,-1,-2,-1,1,-3,-1,-3,-0.75,1.864744681524183
gevaarlijk: kan op je hoofd vallen,-3,-3,2,0,-3,-3,-3,-1,2,-3,-2,-3,-1.6666666666666667,1.9694638556693238
