feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Eddy Wally zingt erover,-3,-2,0,-3,-3,2,-3,2,0,-3,0,0,-1.0833333333333333,1.97522534195852
acteert,1,2,0,-3,3,3,1,3,3,2,2,0,1.4166666666666667,1.7816403745544227
arresteert mensen,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
babbelt graag,-3,0,0,-3,-2,-2,-2,1,-2,1,1,0,-0.9166666666666666,1.5642792899510296
"bakt brood, koeken, taart",2,2,2,-3,3,3,1,3,2,2,2,0,1.5833333333333333,1.6764862244009224
bedeelt de post,1,2,1,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.6764862244009227
bedient de mensen,0,1,1,1,1,1,-2,2,2,2,1,1,0.9166666666666666,1.0836246694508316
behandelt patiënten,1,2,0,-1,1,2,2,2,2,2,2,0,1.25,1.0552897060221726
behandelt spieren,1,2,0,-3,3,1,2,3,1,2,2,0,1.1666666666666667,1.6422453217986943
beheert de agenda van de baas,1,2,1,-3,2,2,1,3,1,2,1,0,1.0833333333333333,1.5050420310248862
behoort tot een politieke partij,1,1,0,-3,3,-3,1,3,-1,-2,1,0,0.08333333333333333,2.0207259421636903
bepaalt de straf,-2,2,1,-3,3,3,1,3,2,2,2,0,1.1666666666666667,1.9462473604038075
bereidt eten,-1,1,0,-3,3,3,1,3,2,2,1,0,1.0,1.8090680674665818
bereidt medicijnen,1,2,0,-3,3,3,1,3,1,0,2,0,1.0833333333333333,1.729862492345632
bereidt vlees,1,2,0,-3,3,2,-2,3,2,2,1,0,0.9166666666666666,1.8809249819912512
berekent vanalles,1,2,0,-3,-1,1,1,2,1,0,1,1,0.5,1.381698559415515
bestrijdt de misdaad,-1,2,1,-3,3,2,1,3,2,2,2,0,1.1666666666666667,1.7494587907710375
bestudeert het menselijk gedrag,-1,2,0,-3,1,3,1,2,2,2,2,0,0.9166666666666666,1.6764862244009227
bestuurt een vliegtuig,2,2,0,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.729862492345632
bestuurt het land,2,2,0,-3,3,3,1,3,3,2,2,0,1.5,1.7837651700316894
bestuurt vuilniswagen,0,2,0,-3,3,3,1,3,1,2,1,0,1.0833333333333333,1.729862492345632
bijgestaan door jury,-2,2,1,-3,2,1,-2,3,1,2,1,0,0.5,1.8829377433825436
blust het vuur,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
boort,-2,1,0,-3,-3,3,1,3,-2,3,1,0,0.16666666666666666,2.2495790852081776
brengt eten en drinken,-2,1,0,-3,1,-2,-1,2,1,2,1,0,0.0,1.651445647689541
controleert het gebit,1,2,0,-3,3,3,2,3,2,2,3,0,1.5,1.7837651700316894
deelt boetes uit,-1,1,1,-3,3,3,1,3,2,2,2,0,1.1666666666666667,1.80067327475704
doet administratief werk,1,2,1,1,2,2,2,1,2,2,1,0,1.4166666666666667,0.6685579234215214
doet de boekhouding,0,1,0,-3,3,3,1,3,2,2,1,0,1.0833333333333333,1.729862492345632
doet je pijn,0,1,0,-3,-1,-3,-2,0,-2,0,1,0,-0.75,1.4222261679238197
doet klachten verdwijnen,1,1,0,-1,1,2,1,2,1,2,2,0,1.0,0.9534625892455924
doet onderzoek,1,2,1,-2,2,1,2,2,0,2,1,0,1.0,1.2060453783110545
doet veel papierwerk,0,1,1,0,1,1,2,2,1,2,1,0,1.0,0.7385489458759964
doet vondsten,0,2,1,-3,2,3,-1,2,0,2,2,0,0.8333333333333334,1.696699112626596
doet zwaar werk,0,1,0,-1,-2,-1,2,-1,-2,2,0,1,-0.08333333333333333,1.378954368902449
draagt een bakkersmuts,1,1,0,-3,3,3,1,3,2,2,1,0,1.1666666666666667,1.6966991126265962
draagt een blauw uniform,1,2,1,-2,3,3,1,2,2,-3,1,0,0.9166666666666666,1.8319554050414562
draagt een fluo pak,-2,1,0,-3,0,3,-1,1,1,2,1,0,0.25,1.6583123951777
draagt een helm,1,2,0,-2,0,2,1,2,3,-3,0,0,0.5,1.7320508075688772
draagt een hoed,-3,1,0,-3,-2,-3,-2,2,-2,-3,0,0,-1.25,1.764549903980152
draagt een kepie,0,1,1,-3,3,3,1,2,0,-2,2,0,0.6666666666666666,1.8257418583505536
draagt een koksmuts,1,2,0,-2,3,3,2,3,2,2,2,0,1.5,1.5075567228888183
draagt een kostuum,0,1,0,-3,-2,1,2,1,-2,-1,1,0,-0.16666666666666666,1.5275252316519465
draagt een monddoekje,-1,2,0,-3,1,3,-3,3,3,-3,1,0,0.25,2.3403573930647275
draagt een oranje pak,1,1,0,-3,2,3,-3,3,1,-1,1,0,0.4166666666666667,1.97522534195852
draagt een overall,-1,1,0,-1,0,1,1,1,1,-1,1,0,0.25,0.8660254037844386
draagt een pak,1,1,1,1,0,1,2,1,-2,-1,0,0,0.4166666666666667,1.0836246694508316
draagt een pet,-2,0,0,-3,0,-3,-2,0,-2,-3,1,0,-1.1666666666666667,1.4668044012461756
draagt een schort,0,0,1,-2,2,-1,1,1,-1,0,1,0,0.16666666666666666,1.1146408580454255
draagt een toga,2,2,0,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.729862492345632
draagt een uniform,2,1,0,1,1,1,1,0,1,1,1,0,0.8333333333333334,0.5773502691896257
draagt een witte jas,-1,1,1,-2,2,2,1,2,1,-3,1,0,0.4166666666666667,1.6213537179739277
draagt een zwart kleed,-2,0,0,-3,1,-3,-3,3,0,-3,1,0,-0.75,2.0056737702645644
draagt handschoenen,0,1,1,-3,1,-1,-2,1,0,2,1,0,0.08333333333333333,1.4433756729740643
draagt hoge hakken,-3,-3,0,-3,-2,-3,-3,0,-2,-2,0,0,-1.75,1.3568010505999362
draagt laarzen,-3,1,0,-3,-1,-2,-2,-3,-2,2,1,0,-1.0,1.7580981459830651
draagt speciale kledij,2,1,0,1,1,-3,1,1,1,1,0,1,0.5833333333333334,1.2401124093721456
droeg vroeger een pruik,-3,-1,0,-3,-2,-3,-3,2,-1,2,0,0,-1.0,1.8586407545691703
eet graag,-3,0,0,-3,-2,-3,-3,-3,-1,1,0,0,-1.4166666666666667,1.5642792899510294
er bestaan televisieprogramma's over,0,0,0,-3,3,-2,-2,1,-1,-2,0,1,-0.4166666666666667,1.6764862244009227
er is een eerste minister,0,2,2,-3,3,2,1,0,3,2,3,0,1.25,1.764549903980152
er is er één in elk dorp,-2,0,1,-1,1,0,1,2,-1,-2,1,0,0.0,1.2792042981336627
er zijn er in Hollywood,-1,1,1,-3,3,1,-1,3,-3,2,1,0,0.3333333333333333,2.015094553763188
er zijn er te weinig,-3,0,1,-2,-1,-3,-3,2,-3,2,0,0,-0.8333333333333334,1.9462473604038073
er zijn verschillende soorten,3,2,0,3,-3,-3,3,-1,1,2,1,3,0.9166666666666666,2.2343733444579583
gaat door weer en wind,-1,1,0,-3,1,-2,-2,2,0,1,0,0,-0.25,1.4847711791873706
gaat vaak naar Egypte,-2,-1,1,-3,1,2,-3,0,-1,3,0,0,-0.25,1.864744681524183
gaat vaak naar het buitenland,0,1,1,0,0,1,1,1,-1,0,1,0,0.4166666666666667,0.6685579234215214
gaat vreemd met getrouwde vrouwen,-3,-3,0,-3,-1,-3,-3,-1,-2,-3,0,0,-1.8333333333333333,1.337115846843043
gebruikt allerlei instrumenten,1,1,0,2,1,1,1,1,1,2,1,0,1.0,0.6030226891555273
gebruikt buizen,-1,1,1,-3,1,1,1,2,0,2,1,0,0.5,1.381698559415515
gebruikt een borsteltje,-3,1,0,-3,0,-2,-3,1,-2,1,1,0,-0.75,1.712255291076124
gebruikt een brandweerslang,1,2,1,-3,3,3,2,3,3,2,1,0,1.5,1.7320508075688772
gebruikt een computer,-2,1,0,1,1,-2,3,1,2,-2,0,0,0.25,1.6025547785276542
gebruikt een ladder,-2,1,1,-3,1,2,-2,2,1,2,1,0,0.3333333333333333,1.7232808737106584
gebruikt krijt,-1,0,0,-3,2,2,1,3,1,0,2,0,0.5833333333333334,1.6213537179739277
gebruikt messen,-2,0,0,-3,2,-2,-2,2,1,-1,1,0,-0.3333333333333333,1.669694219873444
gebruikt potten en pannen,0,1,0,-3,3,3,2,2,1,2,1,0,1.0,1.651445647689541
gebruikt water,-3,1,0,-3,3,-3,-3,1,-1,0,1,0,-0.5833333333333334,2.0207259421636903
geeft advies,-1,1,0,1,1,-2,2,2,2,2,1,0,0.75,1.2880570286640687
geeft bewegingsoefeningen,-1,2,0,-3,2,2,1,3,1,2,2,0,0.9166666666666666,1.6764862244009227
