feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
Popeye,-2,2,-3,2,2,1,-3,3,-3,-3,1,-2,-0.4166666666666667,2.4293034292807376
Vlaamse kost,2,2,0,1,2,3,-3,2,-3,3,-2,2,0.75,2.220769727328383
aantrekkelijk voor insecten,0,-1,1,3,-2,1,0,1,-3,3,2,2,0.5833333333333334,1.880924981991251
afgereden door landbouwmachines,-3,2,0,0,0,1,-3,1,-3,3,2,2,0.16666666666666666,2.124888588879783
afschrikmiddel voor vampieren,-3,-2,-2,1,-3,1,-3,-1,-3,-3,-3,-2,-1.9166666666666667,1.5050420310248864
als gerecht met hesp en kaas,1,0,-2,2,1,1,-3,2,-3,-3,1,-3,-0.5,2.1105794120443453
aperitiefhapje,-1,1,0,1,2,2,-3,1,-3,3,1,2,0.5,1.9306145983268455
bestaat in verschillende groottes,2,2,0,2,3,3,0,-3,-1,3,3,2,1.3333333333333333,1.9227505550564006
bestaat in verschillende kleuren,0,3,1,3,3,3,0,-3,-1,3,2,2,1.3333333333333333,1.9694638556693236
bestaat in verschillende soorten,1,3,1,2,3,3,0,-3,-3,3,3,3,1.3333333333333333,2.2696949467968492
bestaat uit draadjes,1,2,2,0,-3,1,-3,1,-3,-3,1,-1,-0.4166666666666667,2.0652243256245835
bevat veel ijzer,1,0,3,1,1,2,0,2,-2,2,1,0,0.9166666666666666,1.3113721705515067
bevat veel water,-2,2,1,3,1,3,2,-3,1,2,2,2,1.1666666666666667,1.8504708655481241
bevat vitaminen,3,3,2,3,3,3,2,0,2,3,2,3,2.4166666666666665,0.90033663737852
bevat zetmeel,0,-1,2,1,2,1,0,2,-3,0,-2,2,0.3333333333333333,1.669694219873444
bij de groentenboer kopen,2,3,-3,3,3,3,2,3,-3,3,2,2,1.6666666666666667,2.2292817160908514
bobbeltjes erop,-2,0,2,1,-3,-1,-3,-2,-3,-3,-2,-2,-1.5,1.6787441193290353
bruine kleur,-3,-2,1,-1,-3,-2,-3,-3,-3,0,0,-1,-1.6666666666666667,1.435481125130547
buisvormig,-1,-1,1,1,-2,0,-3,-3,-3,-3,0,1,-1.0833333333333333,1.6764862244009227
chips,-3,-1,-1,2,1,-3,-3,1,-3,-3,0,-3,-1.3333333333333333,1.9227505550564006
de wortel is een onderdeel van een plant,-3,3,2,2,1,3,0,0,-3,0,1,3,0.75,2.0943647333651407
doe je in het eten,2,3,-1,2,3,2,1,1,-2,3,3,3,1.6666666666666667,1.669694219873444
donkergroene kleur,-1,-1,1,-2,0,1,0,-3,-3,-3,0,2,-0.75,1.712255291076124
doordringende geur,2,0,2,0,0,0,-3,-3,-3,-3,0,-2,-0.8333333333333334,1.8989630344113086
een weinig bekende groente,1,-1,3,-1,0,0,-3,-1,-3,-3,-2,-3,-1.0833333333333333,1.880924981991251
eet het gehakt,1,0,-2,-1,-3,-2,-3,-3,-3,-3,-2,-3,-2.0,1.348399724926484
eet je met tomatensaus,3,2,-2,-1,1,2,-3,1,-3,-3,2,2,0.08333333333333333,2.314316444667973
eetbaar,3,3,0,3,3,3,1,0,3,3,2,2,2.1666666666666665,1.1934162828797101
er zitten vaak slakken op,1,1,0,1,1,2,-3,2,-3,1,1,1,0.4166666666666667,1.6764862244009227
eten met witte saus,1,1,-3,0,2,2,-3,1,-3,-3,-1,-2,-0.6666666666666666,2.059714602177749
eten met worteltjes,1,2,-3,1,3,1,-3,-3,-3,0,1,2,-0.08333333333333333,2.274696116900546
eten voor konijnen,-2,2,-3,1,1,1,2,2,-3,1,2,-2,0.16666666666666666,2.037526724122938
familie van de courgette,1,2,-1,1,1,1,-3,2,-3,-3,-2,1,-0.25,2.0056737702645644
familie van komkommer,1,2,-1,1,1,1,0,3,-3,-3,-1,2,0.25,1.9128750375000738
familie van kool,-1,2,0,1,1,1,-3,2,-3,-3,-2,2,-0.25,2.050498830661811
ge kunt ermee smijten,-2,1,-3,2,-3,1,0,-3,-3,-3,3,-3,-1.0833333333333333,2.3143164446679725
gebruikt men voor soep,2,3,-1,1,3,3,1,1,-3,3,3,2,1.5,1.8829377433825436
gebruikt tijdens maaltijden,2,3,-1,3,3,3,2,1,1,3,2,2,2.0,1.2060453783110545
gebruikt voor broodjes,1,3,-1,2,2,2,-3,-3,-3,3,1,2,0.5,2.354878881270658
geeft smaak aan gerechten,3,-1,1,1,3,1,1,-1,-2,0,3,2,0.9166666666666666,1.6764862244009227
gegeten met aardappelen,1,3,-3,1,3,3,-3,1,-3,3,-1,2,0.5833333333333334,2.466441431158124
gemalen tot witte bloem - maïzena,-2,-1,-1,1,0,-2,-3,2,-3,-3,0,-2,-1.1666666666666667,1.6422453217986943
geribbelde structuur,1,1,1,1,0,2,-3,-2,-3,-3,0,1,-0.3333333333333333,1.8748737331221843
geurloos,2,2,1,2,-3,-3,0,-3,-3,-3,-3,2,-0.75,2.41679727964699
glanzend,-2,0,0,-1,0,0,-3,-2,-3,-3,-2,0,-1.3333333333333333,1.3026778945578592
goed voor het bloed,1,1,2,3,2,2,-3,-2,-3,1,1,2,0.5833333333333334,2.0652243256245835
groeien in bossen,0,1,2,0,-1,1,-3,-3,-3,-3,-2,-2,-1.0833333333333333,1.8319554050414562
groeit,0,3,1,3,3,3,3,-2,0,3,3,2,1.8333333333333333,1.696699112626596
groeit aan bomen,0,1,1,1,-1,-2,-3,1,-3,-3,-2,-2,-1.0,1.7056057308448835
groeit aan een kolf,-2,-1,2,1,1,1,-3,2,-3,-3,0,-2,-0.5833333333333334,1.9752253419585197
groeit aan een plant,-1,1,2,1,3,1,2,1,-3,3,3,-2,0.9166666666666666,1.9752253419585197
groeit aan stengels,-1,1,1,1,1,1,-3,1,-3,-3,0,2,-0.16666666666666666,1.8504708655481243
groeit aan struik,0,1,1,1,1,0,2,1,-2,0,-1,2,0.5,1.1677484162422844
groeit in België,3,1,1,-1,2,1,-3,-3,-3,3,1,2,0.3333333333333333,2.2696949467968492
groeit in de grond,-2,2,1,2,2,1,2,1,-3,1,2,2,0.9166666666666666,1.6764862244009224
groeit in de moestuin,2,2,1,2,3,2,3,1,-2,3,2,2,1.75,1.3568010505999362
groeit in de tuin,-1,2,1,2,3,2,-3,1,-1,3,2,3,1.1666666666666667,1.898963034411309
groeit in de winter,0,0,2,2,1,1,0,-3,-3,-3,0,2,-0.08333333333333333,1.9286515936521478
groeit in een serre,1,1,1,2,3,2,1,1,-3,3,2,1,1.25,1.5447859516333116
groeit in gematigde streken,2,1,1,-1,1,1,-3,-3,-3,3,0,2,0.08333333333333333,2.108783937953269
groeit in het donker,1,-1,2,1,0,1,-3,-3,-3,0,-1,-2,-0.6666666666666666,1.775250729197189
groeit in kroppen,0,1,1,2,1,1,-3,2,-3,1,-2,2,0.25,1.864744681524183
groeit in mest,-2,0,2,1,-2,-3,-3,2,-3,3,2,-3,-0.5,2.393172105652397
groeit in trossen,-2,-1,2,1,1,-2,0,1,-3,0,-1,2,-0.16666666666666666,1.6422453217986943
groeit in warme streken,1,2,2,1,0,0,-3,1,-3,2,-2,1,0.16666666666666666,1.8504708655481241
groeit laag bij de grond,-2,1,2,2,3,2,3,1,-3,-3,1,2,0.75,2.179449471770337
groeit onder de grond,-2,1,3,2,2,1,2,1,-3,0,-1,2,0.6666666666666666,1.8257418583505538
groeit op het veld,0,2,1,1,3,3,2,2,-3,3,1,2,1.4166666666666667,1.6764862244009227
groeit op vochtige plekken,-1,-1,1,1,-1,1,1,-2,-3,0,-1,-1,-0.5,1.3142574813455419
groeit snel,2,0,1,1,3,3,0,-3,-3,0,0,-2,0.16666666666666666,2.0375267241229382
groen vanbinnen,-2,1,2,-2,0,0,-3,1,-3,-3,-2,2,-0.75,1.9598237397554634
groene kleur,-2,1,1,-2,2,2,-3,-3,-3,-3,0,2,-0.6666666666666666,2.1881222058831145
grote bladeren,-2,1,1,1,1,1,-3,-3,-3,-3,1,3,-0.4166666666666667,2.1933093855190746
heeft bladeren,0,-1,1,1,1,1,-3,1,-3,0,-1,2,-0.08333333333333333,1.6213537179739277
heeft bloemen,-2,-1,2,1,-1,1,-3,-2,-3,1,-1,2,-0.5,1.834021909257456
heeft een aparte smaak,2,1,0,0,0,2,-3,-2,-3,0,1,1,-0.08333333333333333,1.729862492345632
