exemplar,% known,age of acquisition
badminton,100.0,8.42
ballet,100.0,6.38
baseball,100.0,9.0
basketbal,100.0,7.58
biljarten,100.0,9.54
boksen,100.0,8.0
golf,95.83,8.04
handbal,100.0,9.3
hardlopen,95.83,8.04
ijshockey,100.0,9.71
judo,100.0,8.04
kogelstoten,95.83,10.52
paardrijden,100.0,6.65
rugby,95.83,9.87
schaken,100.0,9.0
schermen,95.83,10.39
skiën,95.83,8.04
sportvissen,100.0,9.5
squash,100.0,10.78
surfen,100.0,8.7
tafeltennis,100.0,8.48
tennis,100.0,7.04
turnen,100.0,4.45
verspringen,100.0,8.3
voetbal,100.0,5.83
volleybal,100.0,8.5
wandelen,100.0,3.6
wielrennen,100.0,7.1
zeilen,100.0,8.5
zwemmen,100.0,5.17
