exemplar,% known,age of acquisition
aambeeld,90.57,11.21
beitel,98.04,9.79
bijl,98.52,7.61
boormachine,98.28,6.5
breekijzer,94.94,9.65
engelse sleutel,89.12,11.72
grasmachine,99.75,5.05
hamer,98.29,6.75
houtklem,76.6,12.08
houweel,90.0,11.16
koevoet,96.58,10.26
kruiwagen,99.51,6.13
mes,98.48,4.67
moersleutel,98.03,10.48
oliespuit,88.96,11.42
plamuurmes,89.46,10.8
ploeg,99.01,7.2
schaaf,82.43,10.35
schop,98.78,4.0
schroevendraaier,97.82,8.67
slijpschijf,96.37,11.4
spijker,99.03,7.3
staalborstel,84.58,11.83
stofzuiger,99.5,4.85
tang,96.88,7.43
touw,96.71,5.0
verfborstel,98.5,4.55
vijl,97.55,9.7
waterpas,96.62,10.04
zaag,98.54,6.78
