exemplar,category strength,exemplar strength
aap,0.074,0.007
bever,0.000,0.000
bizon,0.000,0.007
dromedaris,0.000,0.004
eekhoorn,0.000,0.000
egel,0.000,0.004
ezel,0.000,0.008
giraf,0.011,0.007
hamster,0.004,0.004
hert,0.000,0.000
hond,0.078,0.000
ijsbeer,0.000,0.000
kangoeroe,0.004,0.000
kat,0.052,0.007
koe,0.033,0.000
konijn,0.004,0.000
lama,0.000,0.000
leeuw,0.000,0.000
muis,0.000,0.000
neushoorn,0.000,0.004
nijlpaard,0.000,0.004
olifant,0.015,0.011
paard,0.033,0.007
schaap,0.007,0.004
tijger,0.011,0.000
varken,0.007,0.000
vleermuis,0.000,0.007
vos,0.004,0.000
wolf,0.000,0.004
zebra,0.000,0.011
